time,rmsd
0.0,5.7508726e-07
0.1,0.7881663
0.2,0.9409908
0.3,0.76051825
0.4,0.9615157
0.5,0.80517966
0.6,1.0261742
0.7,0.8020716
0.8,0.7858576
0.9,0.87683916
1.0,0.75399363
1.1,0.7947941
1.2,0.5529799
1.3,0.44508395
1.4,0.6404097
1.5,0.5789666
1.6,0.7224808
1.7,0.65850157
1.8,0.49387676
1.9,0.6284366
2.0,0.4603459
2.1,0.49177802
2.2,0.76464254
2.3,0.889729
2.4,0.7867139
2.5,0.6549429
2.6,0.7973162
2.7,0.56315494
2.8,0.7682396
2.9,0.80352587
3.0,0.8446773
3.1,0.618756
3.2,0.9134763
3.3,0.67037874
3.4,0.9319395
3.5,0.7893185
3.6,0.7432751
3.7,0.6749247
3.8,0.7260947
3.9,0.6362898
4.0,0.68088263
4.1,0.71777076
4.2,0.69955844
4.3,0.6595147
4.4,0.63784397
4.5,0.70682114
4.6,0.81815964
4.7,0.5391969
4.8,0.59447265
4.9,0.61079615
5.0,0.8012313
5.1,0.8164049
5.2,0.8993525
5.3,0.72617644
5.4,0.71643895
5.5,1.0449042
5.6,0.57216316
5.7,0.651009
5.8,0.8891909
5.9,0.7061875
6.0,0.8504789
6.1,0.93074346
6.2,0.64682496
6.3,0.7175312
6.4,0.8410737
6.5,0.83967924
6.6,1.5897285
6.7,1.2779031
6.8,1.2270672
6.9,1.1037385
7.0,1.5579578
7.1,1.3029696
7.2,1.0511556
7.3,1.3710079
7.4,1.3296041
7.5,1.5494913
7.6,1.722169
7.7,1.6665365
7.8,1.3062327
7.9,1.680082
8.0,1.7480503
8.1,1.5795735
8.2,1.8557638
8.3,1.558669
8.4,1.605973
8.5,1.3953663
8.6,1.7131423
8.7,1.5419813
8.8,2.1900587
8.9,2.1138148
9.0,1.9462245
9.1,1.7411544
9.2,1.4528015
9.3,1.8256149
9.4,1.8995658
9.5,1.8925955
9.6,2.014934
9.7,1.5143142
9.8,1.9068505
9.9,1.6966735
10.0,1.6356833
10.1,1.4062772
10.2,1.8223803
10.3,1.6386671
10.4,1.9902785
10.5,2.0543418
10.6,1.6987462
10.7,0.65026593
10.8,0.8232828
10.9,0.88687116
11.0,0.93699723
11.1,0.5745272
11.2,0.48156852
11.3,1.6295118
11.4,1.7200013
11.5,1.7546574
11.6,1.7777455
11.7,1.7425009
11.8,1.5682725
11.9,1.1882659
12.0,1.8844715
12.1,1.3322382
12.2,1.2573915
12.3,2.215643
12.4,1.1642439
12.5,2.0004299
12.6,1.0988977
12.7,1.3632171
12.8,1.4777809
12.9,0.76896924
13.0,1.1920159
13.1,0.8782853
13.2,0.78794044
13.3,0.93647784
13.4,1.2665877
13.5,0.97403765
13.6,0.69488615
13.7,1.080738
13.8,1.4516957
13.9,0.758384
14.0,0.9495914
14.1,1.0061957
14.2,0.76898605
14.3,0.90872806
14.4,0.30294788
14.5,0.557033
14.6,0.44862628
14.7,0.9337078
14.8,0.8622306
14.9,0.9076187
15.0,0.9979971
15.1,0.817806
15.2,0.65494835
15.3,0.97663325
15.4,1.7984939
15.5,0.9867467
15.6,1.3343778
15.7,1.5104989
15.8,1.0620024
15.9,1.4708314
16.0,1.219049
16.1,1.6619035
16.2,1.3718706
16.3,1.2031564
16.4,1.3442124
16.5,1.1482733
16.6,1.2982146
16.7,1.768777
