time,rmsd
0.0,1.0190979e-06
0.1,0.9789273
0.2,0.8684461
0.3,0.95112824
0.4,1.0145802
0.5,1.0255132
0.6,1.0525872
0.7,1.0950507
0.8,0.86949384
0.9,0.88827336
1.0,0.98019624
1.1,1.1381276
1.2,0.98897
1.3,0.9793751
1.4,0.9667036
1.5,0.9293425
1.6,1.0132548
1.7,1.1938218
1.8,1.096006
1.9,1.4108647
2.0,1.3033571
2.1,1.6919795
2.2,1.611689
2.3,1.4877427
2.4,1.4267704
2.5,1.2062768
2.6,1.2902802
2.7,1.2260915
2.8,1.4286281
2.9,1.1062272
3.0,1.1714712
3.1,1.3521508
3.2,1.1738665
3.3,1.238095
3.4,1.5702798
3.5,1.4523835
3.6,1.3301142
3.7,1.3537503
3.8,1.4895177
3.9,1.1971058
4.0,1.1379418
4.1,1.4709668
4.2,1.4773153
4.3,1.2182932
4.4,1.4691902
4.5,1.155261
4.6,1.6413504
4.7,1.6702187
4.8,1.45927
4.9,1.5577817
5.0,1.8567015
5.1,1.4719143
5.2,1.9514931
5.3,1.8161693
5.4,2.143627
5.5,2.0307896
5.6,1.7288934
5.7,2.4903398
5.8,1.9433032
5.9,1.8463614
6.0,1.7316144
6.1,1.7117798
6.2,1.5692852
6.3,1.5952489
6.4,2.3235633
6.5,2.309883
6.6,2.2123804
6.7,2.2704353
6.8,2.0743194
6.9,2.4629211
7.0,1.7875168
7.1,1.6478418
7.2,1.8199677
7.3,1.8869146
7.4,1.7072417
7.5,1.6100878
7.6,1.6871536
7.7,1.6951241
7.8,1.9023902
7.9,2.082044
8.0,1.9120071
8.1,1.9726707
8.2,1.8035864
8.3,1.6659721
8.4,1.9415649
8.5,1.7983407
8.6,2.37617
8.7,2.138226
8.8,1.7854435
8.9,1.5418599
9.0,1.8546739
9.1,2.0647702
9.2,1.6965283
9.3,1.9088837
9.4,2.257227
9.5,2.1679518
9.6,2.148169
9.7,2.2915993
9.8,2.4327776
9.9,2.20074
10.0,2.7388575
10.1,2.0717964
10.2,1.9472883
10.3,2.519862
10.4,2.4021351
10.5,2.0150726
10.6,2.358325
10.7,2.326697
10.8,1.9887002
10.9,2.4501164
11.0,3.2830462
11.1,2.720502
11.2,2.5691931
11.3,3.0198398
11.4,2.6499276
11.5,3.2137475
11.6,3.0438309
11.7,3.194982
11.8,3.1398544
11.9,2.9375007
12.0,2.8599145
12.1,2.5733225
12.2,2.5089695
12.3,2.8536546
12.4,2.743068
12.5,2.8205671
12.6,2.578662
12.7,3.149775
12.8,2.7173076
12.9,2.5993598
13.0,2.8662765
13.1,2.8375504
13.2,2.653204
13.3,2.7213407
13.4,2.5553663
13.5,2.956594
13.6,3.212651
13.7,2.274353
13.8,2.613242
13.9,2.8377595
14.0,3.4735248
14.1,3.3671947
14.2,3.7344224
14.3,4.17421
14.4,4.030136
14.5,4.420485
14.6,5.744349
14.7,5.4884973
14.8,4.6294985
14.9,4.544774
15.0,4.5939717
15.1,4.0936394
15.2,5.29113
15.3,4.7375627
15.4,4.2583537
15.5,5.016114
15.6,5.6210976
15.7,4.8318615
15.8,4.5169625
15.9,5.0968738
16.0,5.130272
16.1,5.945864
16.2,5.32234
16.3,5.951786
16.4,5.243136
16.5,5.319666
16.6,6.0431104
16.7,5.69938
16.8,5.4199586
16.9,5.9332805
17.0,5.054109
17.1,5.2914615
17.2,5.8318644
17.3,5.7962284
17.4,5.64367
17.5,5.361008
17.6,5.6681166
17.7,4.7575574
17.8,5.1076574
17.9,6.105388
18.0,6.735354
18.1,6.3154025
18.2,6.3184967
18.3,6.509622
18.4,7.0515018
18.5,6.7742033
18.6,6.626212
18.7,6.9768414
18.8,7.7125397
18.9,6.9177876
19.0,7.0941043
19.1,7.3681636
19.2,7.328093
19.3,6.9107075
19.4,6.731152
19.5,7.067473
19.6,6.6498075
19.7,6.978212
19.8,7.13128
19.9,7.3005977
20.0,7.0688663
20.1,6.8503156
20.2,6.541402
20.3,7.0239697
20.4,6.6642075
20.5,6.950228
20.6,6.7230344
20.7,7.1660666
20.8,6.8555746
20.9,7.323248
21.0,7.2065783
21.1,6.9642506
21.2,6.826247
21.3,7.110599
21.4,6.298531
21.5,6.582036
21.6,6.5373635
21.7,6.456832
21.8,6.593917
21.9,6.1720953
22.0,6.796258
22.1,6.5786223
22.2,6.911237
22.3,5.8213897
22.4,6.116947
22.5,6.78421
22.6,6.6894054
22.7,5.9553733
22.8,6.53784
22.9,6.5785813
23.0,6.0164127
23.1,5.9224124
23.2,6.444031
23.3,6.4524984
23.4,5.99132
23.5,6.469892
23.6,6.5797524
23.7,6.0147696
23.8,6.095376
23.9,7.2687593
24.0,6.590864
24.1,6.4772954
24.2,6.1008086
24.3,7.7223787
24.4,6.868088
24.5,7.319877
24.6,6.675111
24.7,7.06645
24.8,7.3526893
24.9,7.610332
25.0,7.0102134
25.1,6.4416866
25.2,6.879048
25.3,6.9048905
25.4,7.7008715
25.5,7.596613
25.6,7.4192085
25.7,6.745465
25.8,7.289909
25.9,7.659577
26.0,7.337187
26.1,7.1349883
26.2,7.185098
26.3,7.0703616
26.4,7.2040887
26.5,6.94504
26.6,6.805993
26.7,7.199978
26.8,7.13515
26.9,7.492897
27.0,7.5625725
27.1,6.9126115
27.2,7.2210155
27.3,6.8046136
27.4,6.8389378
27.5,6.7783647
27.6,6.9393997
27.7,6.947149
27.8,7.3416195
27.9,7.7191443
28.0,7.3858914
28.1,7.03031
28.2,7.0648766
28.3,7.3666835
28.4,7.2356277
28.5,7.5923605
28.6,7.3530846
28.7,6.591395
28.8,6.4055157
28.9,6.8472037
29.0,6.9818115
29.1,7.335806
29.2,7.1174774
29.3,6.9284406
29.4,7.605163
29.5,7.3829503
29.6,6.655347
29.7,6.97348
29.8,7.0540957
29.9,6.932774
30.0,6.7660313
30.1,7.389937
30.2,6.982921
30.3,7.138297
30.4,6.828417
30.5,7.0622125
30.6,6.4916654
30.7,7.3685822
30.8,7.1114464
30.9,6.9141774
31.0,6.9634933
31.1,7.0395484
31.2,7.082887
31.3,6.5623784
31.4,6.6535053
31.5,6.422162
31.6,7.241769
31.7,7.2871103
31.8,6.517676
31.9,7.6350236
32.0,7.3899193
32.1,6.6981177
32.2,7.466809
32.3,7.360953
32.4,6.663254
32.5,7.9537797
32.6,7.8643503
32.7,6.9467907
32.8,6.946785
32.9,7.1263423
33.0,7.178004
33.1,7.7911177
33.2,7.9689054
33.3,7.6856008
33.4,7.2056317
33.5,6.8472195
33.6,6.322671
33.7,7.2022395
33.8,6.7453084
33.9,6.4666395
34.0,7.2633905
34.1,7.0684457
34.2,6.1463985
34.3,6.88021
34.4,7.0859904
34.5,6.557057
34.6,6.6885886
34.7,7.5223827
34.8,6.9326916
34.9,7.0082006
35.0,7.1359563
35.1,7.753832
35.2,6.771231
35.3,7.3070226
35.4,7.417204
35.5,7.217268
35.6,7.4496174
35.7,6.6705422
35.8,7.2081304
35.9,7.6398873
