time,rmsd
0.0,9.321739e-07
0.1,0.87310433
0.2,1.0571173
0.3,1.1612602
0.4,0.9001806
0.5,1.0457199
0.6,1.0810378
0.7,0.9798058
0.8,1.059411
0.9,1.1191661
1.0,1.0605901
1.1,0.9542829
1.2,1.0853813
1.3,0.9173948
1.4,1.1267644
1.5,1.0638243
1.6,0.9760737
1.7,1.0106694
1.8,0.81641084
1.9,1.0518581
2.0,1.5183282
2.1,1.2235342
2.2,1.4287292
2.3,1.1040945
2.4,1.5125896
2.5,1.3877484
2.6,1.9305842
2.7,1.3920451
2.8,1.1458415
2.9,1.7619203
3.0,1.5990437
3.1,1.9373846
3.2,1.7489156
3.3,2.0390348
3.4,1.3336389
3.5,1.6308359
3.6,1.9321284
3.7,1.9016814
3.8,2.151617
3.9,1.9451858
4.0,1.9121102
4.1,2.0156977
4.2,2.1501532
4.3,2.1221259
4.4,2.1472561
4.5,2.1035826
4.6,2.5518506
4.7,2.934114
4.8,2.2482681
4.9,1.9121543
5.0,2.1757767
5.1,1.9732441
5.2,1.3772156
5.3,1.8267581
5.4,1.873399
5.5,1.6654527
5.6,2.035947
5.7,1.5363874
5.8,2.144766
5.9,2.79766
6.0,2.3806849
6.1,1.7538594
6.2,2.2294378
6.3,1.7818564
6.4,1.8525865
6.5,1.685003
6.6,1.70081
6.7,2.0708997
6.8,1.8914664
6.9,1.8808429
7.0,2.1186078
7.1,2.0844374
7.2,1.997974
7.3,1.6220818
7.4,1.4591719
7.5,1.5293087
7.6,1.8358835
7.7,1.5937485
7.8,1.7160001
7.9,1.8439223
8.0,1.6371827
8.1,2.2467413
8.2,1.818338
8.3,1.7601123
8.4,1.6281203
8.5,2.0060422
8.6,2.094386
8.7,2.0726285
8.8,1.5856407
8.9,2.2503605
9.0,2.3106763
9.1,1.9851953
9.2,1.692885
9.3,1.7029291
9.4,1.7123474
9.5,1.3919843
9.6,1.6191047
9.7,1.8758537
9.8,1.9104668
9.9,2.1284428
10.0,2.0823054
10.1,1.9186516
10.2,2.1758933
10.3,1.4713498
10.4,2.0671217
10.5,1.9751203
10.6,2.0888755
10.7,1.7326102
10.8,2.1874034
10.9,1.6716526
11.0,2.2378213
11.1,2.2054796
11.2,2.2662709
11.3,2.0115347
11.4,2.0909674
11.5,1.9299277
11.6,2.1523979
11.7,1.9022117
11.8,2.307541
11.9,1.7849582
12.0,2.2515326
12.1,2.4811559
12.2,2.368772
12.3,2.022122
12.4,2.5864422
12.5,2.5866349
12.6,2.2887976
12.7,2.0475118
12.8,1.7134422
12.9,1.998256
13.0,2.3291323
13.1,1.7905079
13.2,1.9920433
13.3,1.8872675
13.4,2.253378
13.5,2.2076614
13.6,1.7417825
13.7,2.023142
13.8,2.1039097
13.9,2.059851
14.0,1.9331907
14.1,1.4118668
14.2,2.2851365
14.3,2.1140769
14.4,1.7340641
14.5,2.3509803
14.6,1.8760841
14.7,1.7981526
14.8,2.0553386
14.9,1.5966017
15.0,2.072472
15.1,1.5469127
15.2,1.6726899
15.3,1.5981016
15.4,1.4619361
15.5,1.5468488
15.6,1.6657057
15.7,1.6112185
15.8,1.4984967
15.9,1.9545125
16.0,2.350422
16.1,1.8569127
16.2,1.5882965
16.3,1.8619114
16.4,1.6951703
16.5,1.5703114
16.6,2.0106552
16.7,1.9227955
16.8,2.0215335
16.9,1.6808645
17.0,1.9976153
17.1,1.8119215
17.2,2.0461545
17.3,1.7987536
17.4,2.4926972
17.5,1.7631472
17.6,1.4972577
17.7,1.3726525
17.8,1.8890364
17.9,1.9583329
18.0,1.6180044
18.1,1.6708535
18.2,1.9016572
18.3,1.7330292
18.4,1.6666328
18.5,1.9999934
18.6,1.9873585
18.7,2.1735804
18.8,1.8386022
18.9,1.9688039
19.0,1.5186973
19.1,2.0359435
19.2,2.3998723
19.3,1.9409035
19.4,1.9359509
19.5,1.4223264
19.6,1.9235898
19.7,2.2444966
19.8,1.9126558
19.9,2.3946006
20.0,1.6912098
20.1,1.9931353
20.2,1.7322828
20.3,1.9750793
20.4,1.7906054
20.5,1.8280128
20.6,2.1572049
20.7,1.6744407
20.8,1.5959371
20.9,2.1399636
21.0,2.31166
21.1,1.7655083
21.2,1.5885203
21.3,1.4766626
21.4,1.9824923
21.5,1.5488458
21.6,1.5026399
21.7,1.4429114
21.8,1.7513968
21.9,1.90546
22.0,2.227454
22.1,1.9186012
22.2,1.8958551
22.3,1.4559873
22.4,1.2102594
22.5,1.5911365
22.6,1.6391077
22.7,1.5441926
22.8,1.5149806
22.9,1.5955083
23.0,2.0613863
23.1,1.5427214
23.2,1.5335271
23.3,1.8725439
23.4,2.2042816
23.5,1.9587917
23.6,1.6419318
23.7,1.5230765
23.8,1.8173811
23.9,2.3820186
24.0,1.447819
24.1,1.9718866
24.2,1.4757959
24.3,1.5641042
24.4,1.6574699
24.5,1.9022968
24.6,1.8165224
24.7,2.4608314
24.8,2.1766477
24.9,1.890777
25.0,1.6673216
25.1,2.1700099
25.2,1.8309267
25.3,2.0155444
25.4,2.3226407
25.5,1.2626113
25.6,1.5290351
25.7,1.5138627
25.8,1.8349683
25.9,1.8197792
26.0,1.4531212
26.1,1.3764172
26.2,1.5643982
26.3,1.4283838
26.4,2.0035503
26.5,2.0659478
26.6,1.8994217
26.7,1.9359263
26.8,1.9280621
26.9,1.8818995
27.0,1.8733971
27.1,2.336843
27.2,1.9259852
27.3,1.8556712
27.4,2.1259859
27.5,1.6678092
27.6,1.5921465
27.7,1.5550048
27.8,1.5711485
27.9,1.8946828
28.0,1.7873669
28.1,2.0024586
28.2,2.2796986
28.3,1.6605705
28.4,1.8288895
28.5,2.2273276
28.6,2.1071107
28.7,1.6704502
28.8,1.7820879
28.9,1.547175
29.0,1.8643855
29.1,1.4972212
29.2,1.7128154
29.3,1.7321104
29.4,1.9822192
29.5,1.4742314
29.6,2.037009
29.7,1.9585257
29.8,1.6175325
29.9,2.0508552
30.0,1.652346
30.1,1.9370981
30.2,1.6209921
30.3,1.7467977
30.4,2.4040473
30.5,2.2282004
30.6,1.7548991
30.7,1.5614426
30.8,1.762145
30.9,1.5983822
31.0,2.2268689
31.1,1.8117281
31.2,1.8064146
31.3,1.5594503
31.4,1.794442
31.5,1.4145004
31.6,2.2526836
31.7,1.9546286
31.8,2.0903614
31.9,2.265355
32.0,2.4939263
32.1,2.7967048
32.2,2.3264332
32.3,2.4188178
32.4,3.1725163
32.5,2.9976575
32.6,2.6391869
32.7,1.7558385
32.8,1.8193011
32.9,2.2772362
33.0,3.4456806
33.1,4.22982
33.2,4.6091967
33.3,5.4810205
33.4,5.052533
33.5,5.4451394
33.6,6.305928
33.7,5.3334675
33.8,5.3113956
33.9,6.0892315
34.0,6.1894903
34.1,5.640361
34.2,6.012735
34.3,5.869791
34.4,6.622021
34.5,5.914341
34.6,6.1298876
34.7,5.492533
34.8,5.4410043
34.9,5.485613
35.0,5.168391
35.1,5.9911876
35.2,5.3570876
35.3,6.1310434
35.4,6.6964965
35.5,5.6909432
35.6,4.7615156
35.7,5.0156684
35.8,5.8023953
35.9,6.801517
36.0,6.264359
36.1,5.478456
36.2,5.9048524
36.3,5.5043144
36.4,6.0792356
36.5,6.4374604
36.6,5.8118277
36.7,4.6455336
36.8,4.586176
36.9,5.6370025
37.0,5.8262296
37.1,4.748491
37.2,4.803777
37.3,3.2902386
37.4,2.6448228
37.5,2.552848
37.6,2.7078931
37.7,2.7059379
37.8,2.32731
37.9,3.005415
38.0,2.606159
38.1,2.072352
38.2,1.6573465
38.3,1.7836869
38.4,1.5323064
38.5,2.0382168
38.6,2.077769
38.7,2.5099883
38.8,2.97729
38.9,2.1768172
39.0,2.111453
39.1,2.6756613
39.2,2.8565972
39.3,2.3776057
39.4,2.917439
39.5,2.255648
39.6,1.7846754
39.7,2.4972804
39.8,2.9228542
39.9,1.9424363
40.0,2.8199542
40.1,1.6950502
40.2,1.5297767
40.3,1.5702645
40.4,2.1115208
40.5,2.6675646
40.6,2.339066
40.7,1.9725631
40.8,1.513241
40.9,1.9013983
41.0,1.4751226
41.1,1.5830412
41.2,1.7852843
41.3,1.8798535
41.4,1.2523504
41.5,1.923689
41.6,1.6879263
41.7,1.6882809
41.8,1.7751591
41.9,1.4295458
42.0,2.3732274
42.1,1.678259
42.2,1.7085923
42.3,2.0454454
42.4,2.0149128
42.5,1.6646448
42.6,1.905349
42.7,1.9039675
42.8,1.7275492
42.9,1.9457508
43.0,1.6315292
43.1,2.0952563
43.2,1.7334317
43.3,1.5183223
43.4,1.4751118
43.5,1.5725523
43.6,1.6979827
43.7,1.814553
43.8,1.7640775
43.9,1.7114391
44.0,1.8059381
44.1,1.3924686
44.2,1.5888203
44.3,1.3945078
44.4,2.0372124
44.5,1.7335502
44.6,1.4596375
44.7,1.7018082
44.8,1.5866426
44.9,2.4183342
45.0,1.9576318
45.1,2.364447
45.2,1.8827466
45.3,1.7118866
45.4,1.5867325
45.5,2.0484552
45.6,1.8508166
45.7,1.8914788
45.8,2.0693185
45.9,1.8371162
46.0,1.9929693
46.1,2.3919504
46.2,2.3177412
46.3,1.6803963
46.4,1.7920911
46.5,1.7596033
46.6,1.7246143
46.7,1.7697695
46.8,2.0911813
46.9,1.8572358
47.0,1.6773946
47.1,1.4243188
47.2,1.7116313
47.3,1.9544324
47.4,1.8101733
47.5,1.8738467
47.6,1.5264704
47.7,1.4196225
47.8,1.7563652
47.9,1.7788478
48.0,1.6640841
48.1,1.4423872
48.2,1.7894411
48.3,1.9619455
48.4,2.6158671
48.5,2.2216942
48.6,2.1275685
48.7,2.3558393
48.8,2.4043827
48.9,1.850322
49.0,1.4857523
49.1,2.1785839
49.2,2.1127698
49.3,2.017452
49.4,2.6700587
49.5,2.1610818
49.6,2.1325393
49.7,1.9583886
49.8,1.7232435
49.9,1.6383238
50.0,2.3714132
50.1,1.8761461
50.2,2.0168176
50.3,2.15577
50.4,1.8596487
50.5,1.7703251
50.6,2.0058038
50.7,1.7103177
50.8,2.0768015
50.9,1.9638172
51.0,2.1315842
51.1,1.9128072
51.2,2.1499238
51.3,1.6267972
51.4,2.159379
51.5,2.317717
51.6,2.172734
51.7,2.0649178
51.8,2.625867
51.9,1.9690456
