time,rmsd
0.0,0.0
0.1,2.587524
0.2,2.1013358
0.3,3.1856594
0.4,2.5866573
0.5,2.1623862
0.6,2.9981492
0.7,2.7957826
0.8,4.3584146
0.9,14.724672
1.0,33.10779
1.1,25.39037
1.2,38.98502
1.3,51.541504
1.4,59.736336
1.5,72.38593
1.6,77.182335
1.7,57.541054
1.8,50.75814
1.9,88.06761
2.0,97.58053
2.1,81.22511
2.2,92.62696
2.3,57.935963
2.4,56.3911
2.5,75.5356
2.6,89.02916
2.7,66.50772
2.8,69.8459
2.9,84.74137
3.0,89.066574
3.1,91.096695
3.2,85.04544
3.3,72.637344
3.4,89.8214
3.5,52.162876
3.6,49.015312
3.7,72.39741
3.8,67.61913
3.9,58.40332
4.0,81.860855
4.1,80.554886
4.2,44.820766
4.3,46.29477
4.4,55.563786
4.5,64.94471
4.6,81.03573
4.7,70.83894
4.8,66.442314
4.9,63.219746
5.0,74.52882
5.1,51.504017
5.2,61.94472
5.3,72.181564
5.4,87.01861
5.5,82.994385
5.6,93.943115
5.7,93.1772
5.8,78.0518
5.9,76.80554
6.0,98.87816
6.1,67.5204
6.2,65.80128
6.3,74.32215
6.4,68.755806
6.5,104.60787
6.6,59.76626
6.7,69.66729
6.8,65.63381
6.9,80.31954
7.0,102.58769
7.1,111.012794
7.2,90.34277
7.3,113.39225
7.4,79.560715
7.5,81.83613
7.6,78.981544
7.7,65.82405
7.8,72.20036
7.9,82.45989
8.0,91.32581
8.1,107.57118
8.2,96.15952
8.3,84.52627
8.4,81.5451
8.5,89.25997
8.6,71.39511
8.7,83.94093
8.8,75.38173
8.9,72.20825
9.0,53.556953
9.1,64.31408
9.2,51.430656
9.3,49.6092
9.4,40.057083
9.5,47.439774
9.6,69.21889
9.7,64.08097
9.8,73.33872
9.9,66.275375
10.0,60.202446
10.1,41.55597
10.2,39.771492
10.3,38.375458
10.4,38.68739
10.5,39.174557
10.6,41.808743
10.7,41.25436
10.8,40.012096
10.9,38.44133
11.0,41.182304
11.1,60.65175
11.2,69.397766
11.3,71.833855
11.4,58.437794
11.5,81.506
11.6,57.800175
11.7,50.191006
11.8,56.044785
11.9,64.1459
12.0,81.72053
12.1,88.26138
12.2,68.722595
12.3,62.83374
12.4,52.879917
12.5,64.86332
12.6,62.904346
12.7,60.67767
12.8,83.613525
12.9,85.34671
13.0,106.807304
13.1,91.66641
13.2,87.136406
13.3,69.1172
13.4,82.38671
13.5,74.90239
13.6,58.15175
13.7,59.823334
13.8,63.734398
13.9,68.12414
14.0,64.16319
14.1,56.04634
14.2,52.783737
14.3,63.17525
14.4,61.407856
14.5,56.239758
14.6,60.098713
14.7,60.041668
14.8,64.42401
14.9,81.24558
15.0,68.98662
15.1,52.36748
15.2,51.953735
15.3,56.68028
15.4,54.377876
15.5,52.86611
15.6,49.125687
15.7,40.59721
15.8,48.09812
15.9,34.638523
16.0,48.97853
16.1,30.693813
16.2,30.112825
16.3,49.67885
16.4,58.42941
16.5,39.957893
16.6,35.957977
16.7,46.945805
16.8,48.61464
16.9,48.209423
17.0,43.69379
17.1,50.639015
17.2,52.892414
17.3,45.694424
17.4,64.81836
17.5,73.87504
17.6,46.423275
17.7,59.736046
17.8,45.774994
17.9,31.38452
18.0,47.66474
18.1,59.298294
18.2,58.56912
18.3,55.29674
18.4,60.71334
18.5,83.23635
18.6,61.63855
18.7,52.233307
18.8,64.89055
18.9,66.539635
19.0,58.224586
19.1,45.628212
19.2,50.489758
19.3,51.754654
19.4,62.906933
19.5,55.73483
19.6,67.41882
19.7,65.53702
19.8,70.19474
19.9,68.470024
20.0,42.13368
20.1,20.039976
20.2,30.556557
20.3,94.29979
20.4,46.58012
20.5,61.120117
20.6,111.89697
20.7,65.932
20.8,64.5979
20.9,49.014545
21.0,37.339676
21.1,29.395779
21.2,29.728767
21.3,32.417336
21.4,42.26378
21.5,59.450245
21.6,43.720043
21.7,39.516964
21.8,37.598278
21.9,43.265667
22.0,49.852325
22.1,68.192024
22.2,77.14188
22.3,72.59845
22.4,66.41789
22.5,70.96158
22.6,74.24659
22.7,60.46551
22.8,69.35712
22.9,83.715225
23.0,97.81435
23.1,101.969124
23.2,98.91343
23.3,79.13644
23.4,80.10064
23.5,86.64776
23.6,90.955864
23.7,74.10686
23.8,65.30274
23.9,81.54911
24.0,102.12332
24.1,100.49141
24.2,70.65409
24.3,68.0342
24.4,81.45445
24.5,66.50589
24.6,56.993942
24.7,92.88825
24.8,75.40412
24.9,74.95788
25.0,70.33317
25.1,105.99548
25.2,104.97587
25.3,90.06701
25.4,73.656975
25.5,75.536316
25.6,66.576416
25.7,59.485683
25.8,54.755497
25.9,60.744682
26.0,78.445145
26.1,49.23782
26.2,68.20751
26.3,71.130226
