time,rmsd
0.0,2.0539783e-06
0.1,0.97430176
0.2,0.9891941
0.3,1.4080511
0.4,1.263098
0.5,1.209209
0.6,1.2463909
0.7,1.4038278
0.8,1.6656812
0.9,1.6377444
1.0,1.2509378
1.1,1.5422505
1.2,1.3586711
1.3,1.292677
1.4,1.4947891
1.5,1.528279
1.6,1.390768
1.7,1.5368127
1.8,1.447155
1.9,1.404708
2.0,1.1706276
2.1,1.7585143
2.2,1.40593
2.3,1.4693161
2.4,1.4780253
2.5,1.629767
2.6,1.5544455
2.7,2.0935981
2.8,1.8962295
2.9,1.8130667
3.0,1.8328809
3.1,1.6222919
3.2,1.7772242
3.3,1.3026202
3.4,1.5153277
3.5,1.4081022
3.6,1.3648057
3.7,2.0512044
3.8,1.7790128
3.9,1.4867413
4.0,1.93474
4.1,2.2016466
4.2,1.763021
4.3,2.2614563
4.4,2.2641623
4.5,2.4265208
4.6,1.9882412
4.7,2.6495624
4.8,2.7038028
4.9,2.2186978
5.0,1.731209
5.1,2.3255823
5.2,2.8068736
5.3,2.3537412
5.4,3.2871373
5.5,2.7360804
5.6,3.063868
5.7,3.358631
5.8,2.9837313
5.9,2.9373913
6.0,2.5509162
6.1,2.2811854
6.2,2.7651606
6.3,2.7233262
6.4,2.815042
6.5,2.1426861
6.6,3.5699534
6.7,3.0532
6.8,2.82842
6.9,2.2361655
7.0,2.5887628
7.1,2.692481
7.2,2.0645475
7.3,2.2382877
7.4,2.8534915
7.5,2.6025589
7.6,2.3374107
7.7,2.5445507
7.8,2.448012
7.9,2.1755056
8.0,2.4528675
8.1,2.9181025
8.2,2.6076636
8.3,2.8540583
8.4,2.7170758
8.5,3.2567046
8.6,2.916395
8.7,2.6032374
8.8,2.411105
8.9,2.3130631
9.0,2.488721
9.1,2.552725
9.2,4.2278156
9.3,4.8710527
9.4,4.2231894
9.5,3.6160748
9.6,3.9942105
9.7,3.8399098
9.8,3.2245739
9.9,2.9221475
10.0,3.1834228
10.1,3.6606004
10.2,1.7079031
10.3,2.4749548
10.4,2.6546454
10.5,2.8510487
10.6,3.1450098
10.7,2.4183934
10.8,2.3942559
10.9,2.1137798
11.0,2.3395364
11.1,2.4920352
11.2,2.6148338
11.3,2.8828316
11.4,2.932738
11.5,3.1528134
11.6,2.8312762
11.7,2.9727213
11.8,2.9428008
11.9,2.6376123
12.0,2.5825942
12.1,2.575477
12.2,2.3873658
12.3,2.4811602
12.4,2.1842794
12.5,2.5845819
12.6,2.0047777
12.7,2.7458885
12.8,2.1373572
12.9,2.5458481
13.0,2.623901
13.1,2.4484344
13.2,2.2448444
13.3,2.5596569
13.4,2.1402507
13.5,2.5873265
13.6,2.1245248
13.7,2.4523578
13.8,2.281283
13.9,1.8791102
14.0,2.309672
14.1,2.5487082
14.2,1.9824661
14.3,1.9467556
14.4,2.1454365
14.5,1.8885266
14.6,1.9713665
14.7,2.062813
14.8,1.90264
14.9,2.4702508
15.0,3.1802049
15.1,3.0547109
15.2,2.754905
15.3,2.9136202
15.4,3.0367622
15.5,2.6234071
15.6,2.1667032
15.7,2.9716053
15.8,2.8255315
15.9,2.9418316
16.0,2.3777044
16.1,2.280501
16.2,2.8772922
16.3,2.746335
16.4,2.4682145
16.5,2.2874143
16.6,3.04434
16.7,3.1818292
16.8,3.3701959
16.9,2.9338734
17.0,2.838915
17.1,2.9717216
17.2,3.0767112
17.3,2.7394094
17.4,2.9157133
17.5,3.0951972
17.6,2.7343097
17.7,2.6925385
17.8,2.4187713
17.9,2.7863262
18.0,2.7225919
18.1,2.0829382
18.2,2.7312548
18.3,2.135923
18.4,2.584266
18.5,2.4904406
18.6,2.292785
18.7,2.4289784
18.8,2.3929284
18.9,2.4927602
19.0,2.6944962
19.1,2.1623871
19.2,2.6766305
19.3,2.3748357
19.4,2.9872885
19.5,2.5537963
19.6,2.6575701
19.7,2.3803148
19.8,3.0080643
19.9,2.7941453
20.0,2.589375
20.1,3.422037
20.2,2.3060064
20.3,2.9483647
20.4,2.6857972
20.5,2.8308525
20.6,2.7807498
20.7,2.75222
20.8,2.5279343
20.9,2.565248
21.0,2.8948853
21.1,2.6266966
21.2,2.763319
21.3,3.1361017
21.4,2.5346313
21.5,2.7421885
