time,rmsd
0.0,0.0
0.1,0.4874718
0.2,0.50825655
0.3,0.4521121
0.4,0.5332384
0.5,0.40656954
0.6,0.5484707
0.7,0.4604298
0.8,0.2967438
0.9,0.258963
1.0,0.36779878
1.1,0.37872288
1.2,0.2326377
1.3,0.6817277
1.4,0.5033682
1.5,0.6688308
1.6,0.68333626
1.7,0.473908
1.8,0.44441074
1.9,0.56230706
2.0,0.4862728
2.1,0.5438733
2.2,1.2834185
2.3,0.43653393
2.4,0.23216772
2.5,0.31842938
2.6,0.38201296
2.7,0.50526196
2.8,0.65952194
2.9,0.44050217
3.0,0.45314184
3.1,0.53557473
3.2,0.39341414
3.3,0.30194488
3.4,0.5047478
3.5,0.551901
3.6,0.42416775
3.7,0.42719418
3.8,0.39278856
3.9,0.68518233
4.0,0.5978379
4.1,0.6236116
4.2,0.6544183
4.3,0.40491003
4.4,0.28329945
4.5,0.29977122
4.6,0.47382697
4.7,0.34930828
4.8,0.45902237
4.9,0.5409316
5.0,0.39994642
5.1,0.45899752
5.2,0.55507135
5.3,0.43858063
5.4,0.27820808
5.5,0.26993752
5.6,0.581053
5.7,0.58685553
5.8,0.2413395
5.9,0.28850073
6.0,0.27584967
6.1,0.42660066
6.2,0.32054588
6.3,0.48581275
6.4,0.3656896
6.5,0.6844084
6.6,0.29171494
6.7,0.46276644
6.8,0.7150454
6.9,0.5195014
7.0,0.40677932
7.1,0.41392392
7.2,0.4149728
7.3,0.48197109
7.4,0.5783944
7.5,0.6791023
7.6,0.8054839
7.7,0.8110241
7.8,0.868062
7.9,1.4194578
8.0,1.0460725
8.1,0.97867566
8.2,0.7879836
8.3,1.7667638
8.4,1.6450995
8.5,1.1702334
8.6,1.2582558
8.7,0.8144995
8.8,1.0043604
8.9,1.2677785
9.0,0.72614706
9.1,0.92170364
9.2,0.67053044
9.3,0.9226273
9.4,1.3484243
9.5,0.9289596
9.6,0.70570207
9.7,0.7227409
9.8,0.7629239
9.9,0.7089064
10.0,0.9339845
10.1,0.85935986
10.2,0.7604389
10.3,0.76579005
10.4,0.89095783
10.5,0.87422806
10.6,0.89776754
10.7,0.87946117
10.8,0.69355977
10.9,0.8466448
11.0,0.78109163
11.1,1.0451868
11.2,0.7638863
11.3,0.8755847
11.4,0.70248693
11.5,0.6459033
11.6,0.7146286
11.7,0.6906713
11.8,0.7991305
11.9,0.88677806
12.0,0.9609066
12.1,0.7325224
12.2,0.642578
12.3,0.7191583
12.4,0.69143784
12.5,0.9833257
12.6,0.5711384
12.7,0.53805274
12.8,0.8921272
12.9,1.9160082
13.0,1.3887084
13.1,1.298393
13.2,1.4501168
13.3,1.4122971
13.4,1.6503996
13.5,1.2979912
13.6,1.8155257
13.7,1.1873969
13.8,1.3485537
13.9,1.6957184
14.0,1.3909643
14.1,1.1723459
14.2,1.35358
14.3,1.6042905
14.4,1.3700998
14.5,1.6933146
14.6,1.591665
14.7,1.5849093
14.8,1.2788078
14.9,1.341792
15.0,1.6044215
15.1,1.2622817
15.2,1.5445138
15.3,1.6483194
15.4,1.3446198
15.5,1.7649763
15.6,1.32948
15.7,1.4336789
15.8,1.9183193
15.9,1.3794266
16.0,2.06353
16.1,2.3265784
16.2,2.4864013
16.3,2.4865339
16.4,2.3471832
16.5,2.1549091
16.6,2.335395
16.7,2.224721
16.8,2.2029214
16.9,2.361597
17.0,2.2228794
17.1,2.8557289
17.2,2.664482
17.3,2.3954678
17.4,2.4239707
17.5,2.9354868
17.6,2.4679797
17.7,2.5885355
17.8,2.9558024
17.9,2.4902143
18.0,2.277648
18.1,2.528977
18.2,2.2673507
18.3,2.1705601
18.4,3.398156
18.5,3.5115755
18.6,3.011825
18.7,2.9438965
18.8,2.709002
18.9,2.5510767
19.0,2.7012453
19.1,2.680178
19.2,2.4086628
19.3,2.1765978
19.4,2.2194617
19.5,2.1605606
19.6,2.2727456
19.7,2.3831582
19.8,2.666478
19.9,3.0647452
20.0,3.3035178
20.1,2.7964447
20.2,2.6836553
20.3,2.1531875
20.4,2.3741443
20.5,2.425055
20.6,3.2027118
20.7,2.0454793
20.8,2.1900463
20.9,2.4374201
21.0,2.2200058
21.1,2.0057287
21.2,2.0020301
21.3,1.897291
21.4,2.3462234
21.5,2.1012332
21.6,2.4889727
21.7,2.2063606
21.8,2.308103
21.9,2.63459
22.0,2.5081093
22.1,2.768321
22.2,2.5396502
22.3,2.018567
22.4,2.2105722
22.5,2.1557972
22.6,2.2312791
22.7,2.0333018
22.8,2.032699
22.9,1.727922
23.0,1.8138008
23.1,2.2097776
23.2,2.221487
23.3,2.148495
23.4,1.7674333
23.5,2.4117093
23.6,2.8422546
23.7,2.2734852
23.8,2.2855077
23.9,2.5239995
24.0,2.5465162
24.1,3.3865855
24.2,2.393343
24.3,3.01144
24.4,2.5905871
24.5,2.4874032
24.6,2.7179685
24.7,2.772475
24.8,2.8333068
24.9,2.5969303
25.0,2.4831743
25.1,2.4587414
25.2,2.498176
25.3,2.5631118
25.4,3.0608566
25.5,2.5552926
25.6,2.3831332
25.7,2.4678366
25.8,2.685991
25.9,2.4159126
26.0,2.702235
26.1,2.5168676
26.2,2.5092766
26.3,2.855323
26.4,2.2270272
26.5,2.3395288
26.6,2.532412
26.7,2.5275903
26.8,2.1357393
26.9,2.6606705
27.0,2.557113
27.1,2.1116583
27.2,2.7671106
27.3,2.366024
27.4,2.6758392
27.5,2.498096
27.6,2.6027846
27.7,2.40709
27.8,2.6431496
27.9,2.7313018
28.0,3.2544825
28.1,2.4324381
28.2,2.6663892
28.3,2.7804735
28.4,2.8569107
28.5,2.608026
28.6,2.5129018
28.7,3.0013292
28.8,2.1840806
28.9,2.6645858
29.0,2.8367133
29.1,2.5865426
29.2,2.773915
29.3,2.635562
29.4,2.143389
29.5,2.448476
29.6,2.798852
29.7,2.797592
29.8,2.8945758
29.9,3.3116522
30.0,2.7902894
30.1,4.6142707
30.2,13.1529665
30.3,15.711461
30.4,10.786913
30.5,12.0637045
30.6,20.973383
30.7,21.1192
30.8,13.747868
30.9,15.808163
31.0,14.121741
31.1,10.996084
31.2,11.446374
31.3,17.132435
31.4,15.614838
31.5,14.822934
31.6,23.917326
31.7,25.63148
31.8,18.797121
31.9,22.714043
32.0,33.548336
32.1,28.516214
32.2,32.285088
32.3,20.548834
32.4,19.184305
32.5,20.308355
32.6,41.826286
32.7,30.584114
32.8,27.889204
32.9,52.02726
33.0,57.232243
33.1,59.335796
33.2,81.50822
33.3,96.79475
33.4,87.29015
33.5,82.80295
33.6,78.39668
33.7,87.80647
33.8,67.92825
33.9,73.03938
34.0,46.055527
34.1,40.524857
34.2,26.866556
34.3,22.993198
34.4,25.326
34.5,56.741104
34.6,65.01003
34.7,62.569687
34.8,72.56425
34.9,74.24286
35.0,65.59116
35.1,78.684525
35.2,47.340054
35.3,47.502125
35.4,31.128748
35.5,29.206161
35.6,30.916193
35.7,28.89978
35.8,26.548306
35.9,30.431274
36.0,27.562098
36.1,30.181303
36.2,18.526653
36.3,17.986042
36.4,15.890341
36.5,36.236988
36.6,30.457754
36.7,37.88283
36.8,38.599567
36.9,38.39554
37.0,36.97544
37.1,33.312756
37.2,31.937605
37.3,8.560682
37.4,32.493073
37.5,52.66159
37.6,54.9913
37.7,53.029263
37.8,37.931816
37.9,32.781925
38.0,32.651413
38.1,39.281784
38.2,60.582798
38.3,71.85807
38.4,45.08278
38.5,56.51774
38.6,48.613655
38.7,34.544273
38.8,28.12652
38.9,34.956776
39.0,43.63397
39.1,49.89434
39.2,47.49931
39.3,33.978012
39.4,51.77475
39.5,61.02928
39.6,55.81623
39.7,61.060204
39.8,64.76222
39.9,85.29196
40.0,85.14198
40.1,75.47715
40.2,75.524925
40.3,71.518394
40.4,69.81445
40.5,109.35868
40.6,52.89233
40.7,57.030754
40.8,33.96658
40.9,39.68605
41.0,29.089487
41.1,33.813293
41.2,50.390244
41.3,60.36301
41.4,57.97888
41.5,57.026085
41.6,66.35462
41.7,66.96476
41.8,44.197876
41.9,54.831512
42.0,62.700897
42.1,81.12436
42.2,59.72159
42.3,39.2626
42.4,28.797567
42.5,44.833298
42.6,61.913628
42.7,56.51651
42.8,92.72173
42.9,79.90433
43.0,115.60207
43.1,86.90598
43.2,72.093094
43.3,56.20155
43.4,57.727932
43.5,62.387383
43.6,52.56476
43.7,61.757206
43.8,59.424633
43.9,41.426914
44.0,36.794376
44.1,37.29439
44.2,47.691364
44.3,43.74417
44.4,53.06428
44.5,47.335167
44.6,39.144836
44.7,28.243725
44.8,45.60773
44.9,39.721485
45.0,34.848587
45.1,33.207405
45.2,29.622272
45.3,28.681177
45.4,30.803076
45.5,30.162998
45.6,30.592888
45.7,48.093163
45.8,40.800713
45.9,39.357872
46.0,53.96244
46.1,47.37761
46.2,50.661606
46.3,46.01002
46.4,44.209515
46.5,50.568
46.6,61.977383
46.7,61.593052
46.8,66.5834
46.9,62.860996
47.0,43.402634
47.1,32.664234
47.2,24.0589
47.3,30.324911
47.4,46.370975
47.5,77.14574
47.6,56.33847
47.7,47.419735
47.8,47.23363
47.9,49.171116
48.0,89.65564
48.1,79.73001
48.2,79.79561
48.3,84.49106
48.4,70.23047
48.5,85.174835
48.6,74.00265
48.7,91.02774
48.8,64.88487
48.9,88.57399
49.0,74.09118
49.1,66.110466
49.2,68.34188
49.3,61.28154
49.4,70.01691
49.5,80.15785
49.6,74.65955
49.7,89.59183
49.8,75.515755
49.9,86.95364
50.0,81.13681
50.1,84.31926
50.2,59.272217
50.3,58.426926
50.4,58.511414
50.5,90.20663
50.6,53.748886
50.7,19.70618
50.8,20.015636
50.9,21.82435
51.0,35.77879
51.1,67.291435
51.2,72.316345
51.3,88.14934
51.4,85.75156
51.5,99.4911
51.6,98.5361
51.7,78.81703
51.8,95.328064
51.9,114.39726
52.0,113.00388
52.1,92.80665
52.2,88.133156
52.3,87.27829
52.4,78.67844
52.5,74.258
52.6,80.01631
52.7,54.06418
52.8,66.0912
52.9,55.086643
53.0,98.96711
53.1,80.33767
53.2,53.71592
53.3,55.770588
53.4,56.02766
53.5,56.06237
53.6,44.059418
53.7,64.00047
53.8,74.67248
53.9,82.27149
54.0,70.19774
54.1,40.936863
54.2,40.84694
54.3,47.654217
54.4,48.71324
54.5,46.96608
54.6,49.149284
54.7,55.028522
54.8,44.49909
54.9,39.27477
55.0,29.099041
55.1,21.269625
55.2,38.725605
55.3,18.379795
55.4,16.82299
55.5,12.209846
55.6,14.037948
55.7,16.433622
55.8,15.8177
55.9,25.057716
56.0,13.4812565
56.1,9.750136
56.2,12.82022
56.3,24.50319
56.4,22.543392
56.5,19.458452
56.6,14.040042
56.7,9.633815
56.8,12.788129
56.9,9.384941
57.0,10.412531
57.1,8.824855
57.2,8.840589
57.3,26.718119
57.4,45.499992
57.5,46.979897
57.6,67.183075
57.7,69.07007
57.8,91.99136
57.9,78.772705
58.0,82.4747
58.1,80.036804
58.2,79.6925
58.3,64.91897
58.4,76.54312
58.5,71.32468
58.6,51.892216
58.7,66.4813
58.8,86.56567
58.9,96.08313
59.0,77.26793
59.1,75.76271
59.2,73.98618
59.3,75.52314
59.4,70.59809
59.5,75.05539
59.6,49.079117
59.7,60.5549
59.8,49.981472
59.9,42.066704
60.0,45.9874
60.1,46.36578
60.2,56.534252
60.3,76.25041
60.4,97.952644
60.5,87.58344
60.6,86.82776
60.7,103.65527
60.8,95.54085
60.9,90.65267
61.0,37.536987
61.1,92.99379
61.2,46.68361
61.3,56.53325
61.4,66.23231
61.5,47.205627
61.6,99.35378
61.7,57.06411
61.8,49.79452
61.9,41.47305
62.0,75.52922
62.1,73.993744
62.2,68.03242
62.3,57.10395
62.4,41.633835
62.5,59.515198
62.6,48.009727
62.7,43.75343
62.8,49.885147
62.9,35.43087
63.0,35.989777
63.1,28.128172
63.2,96.76128
63.3,86.50584
63.4,95.48067
63.5,82.04325
63.6,110.17231
63.7,104.41715
63.8,104.49374
63.9,91.04082
64.0,92.651726
64.1,91.311195
64.2,86.911644
64.3,82.02728
64.4,74.24769
64.5,50.185272
64.6,53.393795
64.7,64.77537
64.8,52.67037
64.9,64.15001
65.0,49.07178
65.1,57.697624
65.2,56.674976
65.3,50.545452
65.4,76.72516
65.5,69.76686
65.6,89.330795
65.7,97.741455
65.8,108.61431
65.9,97.09608
66.0,79.529755
66.1,73.8051
66.2,53.0242
66.3,68.62564
66.4,74.17997
66.5,73.32604
66.6,102.075516
66.7,95.78635
66.8,58.09846
66.9,49.245033
67.0,51.888393
67.1,47.05439
67.2,56.80896
67.3,36.18833
67.4,37.62363
67.5,30.595663
67.6,31.446087
67.7,95.29566
67.8,91.474976
67.9,80.16955
68.0,65.20523
68.1,60.547066
68.2,79.96772
68.3,70.55231
68.4,106.29475
68.5,81.51162
68.6,88.50039
68.7,78.90726
68.8,62.46619
68.9,43.883686
69.0,33.7177
69.1,71.57956
69.2,78.62083
69.3,96.84324
69.4,68.51868
69.5,94.840416
69.6,85.28918
69.7,88.92038
69.8,93.01871
69.9,66.22973
70.0,63.441414
70.1,65.84711
70.2,59.105316
70.3,51.170948
70.4,65.36083
70.5,61.46662
70.6,48.17881
70.7,53.12651
70.8,63.396606
70.9,71.239456
71.0,79.76773
71.1,63.25952
71.2,84.524925
71.3,93.39977
71.4,87.35748
71.5,69.53067
71.6,55.459705
71.7,62.117
71.8,79.56478
71.9,82.50693
72.0,43.143692
72.1,82.25028
72.2,69.28818
72.3,84.1245
72.4,78.77915
72.5,86.92448
72.6,70.36016
72.7,43.55849
72.8,48.27169
72.9,64.08409
73.0,94.6282
73.1,53.251415
73.2,77.25346
73.3,82.89773
73.4,50.197388
73.5,35.971684
73.6,52.177895
73.7,81.21558
73.8,75.37355
73.9,72.835
74.0,56.142616
74.1,86.96721
74.2,72.49541
74.3,91.35484
74.4,94.174835
74.5,66.84689
74.6,79.95802
74.7,68.8359
74.8,55.925316
74.9,78.382774
75.0,76.66721
75.1,79.26112
75.2,70.18811
75.3,62.62676
75.4,68.74826
75.5,94.4181
75.6,106.78701
75.7,95.161896
75.8,82.62522
75.9,86.93233
76.0,96.22043
76.1,81.203606
76.2,78.851265
76.3,94.20997
76.4,81.785416
76.5,100.31303
76.6,86.99994
76.7,93.98868
76.8,58.007298
76.9,59.460243
77.0,36.439068
77.1,40.310616
77.2,68.102684
77.3,71.155815
77.4,71.694214
77.5,42.14324
77.6,28.691286
77.7,30.93577
77.8,39.725937
77.9,46.304085
78.0,55.496937
78.1,57.95357
78.2,66.5415
78.3,61.24996
78.4,67.56097
78.5,79.69879
78.6,87.83958
78.7,40.902218
78.8,39.02913
78.9,48.19515
79.0,41.61308
79.1,30.418873
79.2,47.229614
79.3,55.665554
79.4,77.92169
79.5,76.820854
79.6,72.87588
79.7,44.930622
79.8,38.611206
79.9,66.188675
80.0,67.38268
80.1,51.97269
80.2,51.115414
80.3,62.643158
80.4,53.178116
80.5,37.639664
80.6,48.33561
80.7,54.25624
80.8,42.881126
80.9,43.788517
81.0,91.215294
81.1,90.5758
81.2,67.01593
81.3,73.79931
81.4,81.983055
81.5,74.70408
81.6,77.24952
81.7,70.61559
81.8,78.46013
81.9,92.295
82.0,66.19499
82.1,55.44992
82.2,47.358425
82.3,34.71798
82.4,28.93036
82.5,31.080097
82.6,38.019512
82.7,42.226776
82.8,58.066975
82.9,70.960304
83.0,61.2059
83.1,74.86844
83.2,57.992374
83.3,67.32482
83.4,74.716064
83.5,39.037563
83.6,73.25057
83.7,77.529106
83.8,74.94035
83.9,75.543945
84.0,69.26859
84.1,31.3107
84.2,34.658665
84.3,25.661142
84.4,26.132723
84.5,27.069702
84.6,36.2905
84.7,59.491024
84.8,57.02464
84.9,49.065765
85.0,43.306187
85.1,51.07307
85.2,32.265198
85.3,37.13761
85.4,35.703026
85.5,41.743614
85.6,36.257412
85.7,62.52207
85.8,51.747566
85.9,43.289497
86.0,46.89862
86.1,34.773605
86.2,42.283386
86.3,37.164616
86.4,46.0397
86.5,51.365547
86.6,59.301075
86.7,50.209843
86.8,49.893284
86.9,73.60524
87.0,76.04896
87.1,79.40792
87.2,93.33221
87.3,36.19132
87.4,23.1782
87.5,26.739176
87.6,26.02716
87.7,25.473627
87.8,30.306278
87.9,30.276735
88.0,65.50267
88.1,65.280594
88.2,57.82573
88.3,34.78707
88.4,48.073452
88.5,78.93515
88.6,74.83945
88.7,60.734325
88.8,72.213936
88.9,84.92193
89.0,67.44738
89.1,45.523087
89.2,62.360577
89.3,54.17553
89.4,40.17986
89.5,49.90965
89.6,75.06434
89.7,65.349915
89.8,51.891994
89.9,40.08469
90.0,33.771225
90.1,31.531523
90.2,35.63593
90.3,33.2587
90.4,42.295746
90.5,60.404377
90.6,67.18948
90.7,64.62427
90.8,60.925915
90.9,69.02538
91.0,77.11026
91.1,73.20638
91.2,70.51928
91.3,65.24221
91.4,66.50771
91.5,59.280537
91.6,66.738754
91.7,66.903366
91.8,88.00761
91.9,71.56338
92.0,65.678444
92.1,76.923645
92.2,84.46559
92.3,79.07186
92.4,68.050934
92.5,79.67842
92.6,73.10436
92.7,69.850975
92.8,57.898632
92.9,73.609955
93.0,57.940365
93.1,71.72937
93.2,82.26779
93.3,83.406685
93.4,49.88123
93.5,86.23786
93.6,77.20365
93.7,78.92373
93.8,65.49507
93.9,73.35877
94.0,85.28235
94.1,34.106293
94.2,33.594246
94.3,50.683216
94.4,50.05174
94.5,42.387268
94.6,54.78254
94.7,45.62823
94.8,89.45637
94.9,100.964676
95.0,93.71298
95.1,86.52623
95.2,90.06485
95.3,79.047646
95.4,85.40748
95.5,66.5429
95.6,46.221188
95.7,38.868267
95.8,36.49778
95.9,29.058601
96.0,48.651997
96.1,53.0721
96.2,51.033337
96.3,36.72449
96.4,43.408077
96.5,73.827965
96.6,56.93078
96.7,66.00764
96.8,67.78007
96.9,72.49569
97.0,63.80007
97.1,59.609814
97.2,70.379196
97.3,62.65184
97.4,71.34595
97.5,72.265335
97.6,81.66833
97.7,83.70458
97.8,63.451347
97.9,82.82647
98.0,78.97588
98.1,58.110172
98.2,59.048954
98.3,84.419975
98.4,91.80888
98.5,83.64892
98.6,64.15193
98.7,63.908993
98.8,78.84244
98.9,82.0479
99.0,77.8824
99.1,76.3093
99.2,80.63271
99.3,90.542244
99.4,80.56191
99.5,65.62469
99.6,75.35004
99.7,85.44544
99.8,91.0679
99.9,97.85406
