time,rmsd
0.0,2.4961394e-06
0.1,1.0144584
0.2,1.1817889
0.3,1.1187587
0.4,0.93384516
0.5,0.76127416
0.6,1.2946559
0.7,1.048952
0.8,0.9569318
0.9,1.054443
1.0,1.0622828
1.1,0.87977934
1.2,0.87778395
1.3,1.0997777
1.4,1.0228038
1.5,1.0437647
1.6,1.1049002
1.7,0.9581425
1.8,1.2394295
1.9,1.2619776
2.0,1.2725539
2.1,1.0452213
2.2,1.245556
2.3,1.4791796
2.4,1.2488292
2.5,1.1313118
2.6,1.6571314
2.7,1.3045034
2.8,1.1269621
2.9,1.1058891
3.0,1.1570642
3.1,1.2041465
3.2,1.590069
3.3,1.7382606
3.4,0.9884547
3.5,0.9751904
3.6,0.9880224
3.7,1.1630962
3.8,1.2840866
3.9,1.3235081
4.0,1.2098454
4.1,1.3302733
4.2,1.6603527
4.3,1.145955
4.4,1.1966447
4.5,1.1557274
4.6,1.182414
4.7,1.1997105
4.8,1.2083809
4.9,1.2577672
5.0,1.3724067
5.1,1.1634823
5.2,1.2624104
5.3,1.1469997
5.4,1.5574796
5.5,1.4919337
5.6,1.1641065
5.7,1.4076715
5.8,1.2026409
5.9,1.3478476
6.0,1.2896016
6.1,1.3650504
6.2,0.9922429
6.3,1.1459684
6.4,1.228868
6.5,1.4162201
6.6,1.1688362
6.7,1.2614136
6.8,1.4950675
6.9,1.3810155
7.0,1.44977
7.1,1.135445
7.2,1.1390879
7.3,1.1046132
7.4,1.3229321
7.5,1.2924627
7.6,1.1627953
7.7,1.3498621
7.8,1.4406533
7.9,1.4056634
8.0,1.1561215
8.1,1.8769426
8.2,1.8587688
8.3,1.3788862
8.4,1.2143663
8.5,1.2783118
8.6,1.1231648
8.7,1.2981868
8.8,1.2641923
8.9,1.294621
9.0,1.7027043
9.1,1.3300073
9.2,1.198491
9.3,1.3091278
9.4,1.3460109
9.5,1.3530749
9.6,1.179177
9.7,1.1469023
9.8,1.103561
9.9,1.4516556
10.0,1.5014203
10.1,1.3295461
10.2,1.2518727
10.3,1.9021802
10.4,1.3924749
10.5,1.2991152
10.6,1.192886
10.7,1.0819407
10.8,1.1181893
10.9,1.2653067
11.0,1.4077171
11.1,1.2807883
11.2,1.4244376
11.3,1.0931436
11.4,1.3425851
11.5,1.2426176
11.6,1.687196
11.7,1.2503946
11.8,1.2356373
11.9,1.1920649
12.0,1.2466651
12.1,1.2266468
12.2,1.238692
12.3,1.1381539
12.4,1.488876
12.5,1.256448
12.6,1.3808784
12.7,1.3708113
12.8,1.5573194
12.9,1.4538629
13.0,1.3944404
13.1,1.4917008
13.2,1.4727813
13.3,1.2466289
13.4,1.2746323
13.5,1.4557045
13.6,1.4289547
13.7,1.3993566
13.8,1.3132629
13.9,1.2081482
14.0,1.398716
14.1,1.4365894
14.2,1.3315902
