time,rmsd
0.0,7.128014e-07
0.1,0.84011954
0.2,0.9184901
0.3,0.80869675
0.4,0.89110357
0.5,1.0600828
0.6,1.2036898
0.7,1.4876531
0.8,1.4485388
0.9,1.2447761
1.0,2.1739435
1.1,1.2996688
1.2,1.0539677
1.3,1.0209088
1.4,1.1936288
1.5,0.8378569
1.6,1.0544817
1.7,1.1226699
1.8,1.1242934
1.9,1.7883954
2.0,1.1854982
2.1,1.3939863
2.2,1.9875578
2.3,1.6456566
2.4,1.379144
2.5,1.6810647
2.6,1.6324145
2.7,1.6338675
2.8,1.334534
2.9,2.213231
3.0,1.8321373
3.1,1.9507027
3.2,1.9743311
3.3,2.136163
3.4,1.9675187
3.5,1.7964885
3.6,1.7904841
3.7,1.7036655
3.8,1.5917464
3.9,1.9273828
4.0,1.9443243
4.1,1.7214148
4.2,1.534116
4.3,1.8933487
4.4,1.5929141
4.5,2.0904627
4.6,2.1312125
4.7,1.4345202
4.8,1.7001832
4.9,1.8890449
5.0,2.0037615
5.1,2.0782723
5.2,1.8396481
5.3,2.0051298
5.4,1.9991403
5.5,1.6447006
5.6,1.193612
5.7,1.6728406
5.8,1.3907272
5.9,1.1423287
6.0,1.5990707
6.1,2.0783148
6.2,2.3669658
6.3,2.1335578
6.4,2.2950952
6.5,2.8601303
6.6,2.2671204
6.7,1.756868
6.8,2.4476187
6.9,2.4671624
7.0,2.5083246
7.1,2.5047019
7.2,2.0815346
7.3,2.2161367
7.4,2.2548988
7.5,1.7866738
7.6,1.9089286
7.7,2.660074
7.8,2.4466827
7.9,1.9213059
8.0,2.058204
8.1,2.159393
8.2,1.849092
8.3,2.333123
8.4,1.82418
8.5,1.8571521
8.6,1.3936757
8.7,1.9994216
8.8,2.0897942
8.9,2.5236979
9.0,1.9314178
9.1,2.08121
9.2,2.3960557
9.3,2.464924
9.4,2.672178
9.5,2.050253
9.6,1.9418025
9.7,2.4611146
9.8,1.909931
9.9,1.805325
10.0,1.6707958
10.1,1.9477873
10.2,2.0123506
10.3,2.36774
10.4,2.7391908
10.5,2.31504
10.6,2.2644327
10.7,2.2135892
10.8,2.3060431
10.9,2.447043
11.0,2.2618444
11.1,2.107753
11.2,1.6135856
11.3,2.067954
11.4,1.3975188
11.5,2.1399662
11.6,1.7217801
11.7,1.8031131
11.8,1.5586128
11.9,1.9858755
12.0,2.605368
12.1,1.950231
12.2,1.7417986
12.3,2.317553
12.4,1.5985172
12.5,1.6822592
12.6,1.7277654
12.7,1.8346776
12.8,1.7916598
12.9,1.743372
13.0,1.6514405
13.1,1.6421597
13.2,1.5599915
13.3,1.8622942
13.4,1.6840214
13.5,2.2769442
13.6,2.0386348
13.7,2.0297296
13.8,1.8725578
13.9,2.2284646
14.0,1.9163405
14.1,2.1150486
14.2,3.046996
14.3,2.1959121
14.4,2.374453
14.5,2.3249307
14.6,2.5546403
14.7,2.4177535
14.8,2.4335835
14.9,2.5516784
15.0,2.4261982
15.1,2.304843
15.2,2.6139715
15.3,2.3554828
15.4,2.5971286
15.5,2.41377
15.6,1.7905165
15.7,2.1427639
15.8,1.9225651
15.9,2.1500468
16.0,2.4297411
16.1,2.3254387
16.2,2.3447053
16.3,2.2106693
16.4,2.6028101
16.5,2.2289536
16.6,2.1810572
16.7,1.9485121
16.8,2.6569617
16.9,2.0426595
17.0,2.736587
17.1,2.1793542
17.2,2.308893
17.3,2.6460276
17.4,1.6851115
17.5,2.3059592
17.6,2.0529737
17.7,2.5461273
17.8,2.2183769
17.9,1.9695432
18.0,2.6656182
18.1,2.503113
18.2,2.6451814
18.3,2.6036491
18.4,2.7805963
18.5,2.9551663
18.6,2.6232352
18.7,2.2142286
18.8,2.4143913
18.9,2.2707686
19.0,2.3073184
19.1,2.4175384
19.2,2.453551
19.3,2.15014
19.4,2.4405553
19.5,3.1234365
19.6,2.8498335
19.7,2.8385854
19.8,2.3647468
19.9,2.6037843
20.0,2.2851596
20.1,2.0853183
20.2,2.921906
20.3,3.0194118
20.4,2.9338963
20.5,2.2236862
20.6,2.2273917
20.7,2.257394
20.8,2.1429625
20.9,1.867532
21.0,2.5789652
21.1,1.6999142
21.2,1.9754592
21.3,2.4442601
21.4,2.0397418
21.5,2.4946985
21.6,2.7273092
21.7,2.8743527
21.8,2.1464462
21.9,2.4727736
22.0,2.5534785
22.1,2.168074
22.2,2.1973662
22.3,2.5792513
22.4,2.491527
22.5,2.1486323
22.6,2.0626714
22.7,2.295168
22.8,1.5294131
22.9,2.1992176
23.0,2.285763
23.1,2.3578224
23.2,2.5921562
23.3,2.8430598
23.4,2.3775077
23.5,2.905179
23.6,3.048238
23.7,2.6967578
23.8,2.7789712
23.9,2.2789464
24.0,2.2368562
24.1,2.586404
24.2,2.2061923
24.3,2.2544463
24.4,2.1921132
24.5,2.4531865
24.6,2.464256
24.7,1.8381081
24.8,1.9545668
24.9,2.265354
25.0,1.9818313
25.1,2.2021244
25.2,2.2195582
25.3,2.480607
25.4,2.1548903
25.5,2.919664
25.6,2.0173182
25.7,2.2373137
25.8,1.8157086
25.9,1.9973606
