time,rmsd
0.0,1.6350492e-06
0.1,1.0703015
0.2,1.2008293
0.3,1.0214069
0.4,0.9749917
0.5,0.88056636
0.6,0.9452809
0.7,1.0531098
0.8,0.75449544
0.9,0.9816966
1.0,0.9658466
1.1,1.0608943
1.2,1.0003986
1.3,0.9827374
1.4,0.9995234
1.5,1.1744753
1.6,0.8660361
1.7,1.5193199
1.8,1.1172558
1.9,1.1080732
2.0,1.0741421
2.1,1.1101985
2.2,1.2282202
2.3,1.1448706
2.4,1.0167824
2.5,1.0092355
2.6,1.115447
2.7,1.0242789
2.8,1.0862296
2.9,1.0718418
3.0,1.0065581
3.1,0.9512668
3.2,1.1443566
3.3,1.2928898
3.4,1.262934
3.5,0.94971764
3.6,1.0123357
3.7,1.1127454
3.8,1.4138304
3.9,1.1174451
4.0,1.3295524
4.1,1.2800295
4.2,1.0303066
4.3,1.408568
4.4,1.5400366
4.5,1.5996747
4.6,1.4608173
4.7,1.4614117
4.8,1.2354286
4.9,1.8621296
5.0,1.3640866
5.1,1.1375655
5.2,1.7143823
5.3,1.6658213
5.4,2.2359314
5.5,3.1076505
5.6,2.2972586
5.7,2.406136
5.8,2.093291
5.9,2.3202615
6.0,2.2214258
6.1,2.4185598
6.2,2.3334424
6.3,2.7978797
6.4,2.3509955
6.5,2.8290591
6.6,3.420062
6.7,3.147533
6.8,2.2729986
6.9,2.7418528
7.0,2.5659013
7.1,3.6193993
7.2,4.345452
7.3,4.9501953
7.4,4.692207
7.5,4.51223
7.6,4.7941055
7.7,4.707323
7.8,4.767569
7.9,4.8460655
8.0,4.6069098
8.1,4.9367647
8.2,4.4305916
8.3,5.5921116
8.4,6.9268303
8.5,6.3077984
8.6,4.8577056
8.7,5.0646687
8.8,3.7597678
8.9,4.2792125
9.0,5.4547977
9.1,5.5262456
9.2,5.9528728
9.3,5.0056877
9.4,5.0119095
9.5,4.562433
9.6,4.5947194
9.7,5.2319365
9.8,5.253251
9.9,5.467542
10.0,5.931172
10.1,5.0168266
10.2,5.661934
10.3,5.0973825
10.4,5.214188
10.5,4.9111624
10.6,5.182221
10.7,6.172031
10.8,6.2764244
10.9,5.650028
11.0,6.00598
11.1,6.0531454
11.2,5.824448
11.3,5.9778595
11.4,5.903227
11.5,5.995451
11.6,5.8353696
11.7,5.0219016
11.8,6.0250626
11.9,6.2792335
12.0,6.9578524
12.1,7.1851616
12.2,6.3536277
12.3,6.0071096
12.4,5.842785
12.5,6.403302
12.6,5.750151
12.7,5.5133486
12.8,5.431257
12.9,5.9061456
13.0,5.3996506
13.1,6.010981
13.2,6.1366987
13.3,6.21235
13.4,6.0677633
13.5,6.829361
13.6,6.5570126
13.7,7.2004204
13.8,6.957343
13.9,6.259184
14.0,5.901246
14.1,6.423221
14.2,5.849063
14.3,5.0325646
14.4,5.830572
14.5,5.34126
14.6,5.1008506
14.7,5.5301986
14.8,4.8950944
14.9,5.130242
15.0,6.7486205
15.1,4.933891
15.2,5.0770755
15.3,5.530013
15.4,5.4898195
15.5,5.866536
15.6,5.5075746
15.7,5.713107
15.8,5.8601346
15.9,5.941956
16.0,5.712299
16.1,6.3082266
16.2,5.946012
16.3,5.8927903
16.4,6.0565557
16.5,5.442989
16.6,6.030873
16.7,5.9825873
16.8,5.8182416
16.9,5.8794093
17.0,5.2088118
17.1,5.9294553
17.2,6.1073914
17.3,6.602645
17.4,6.507184
17.5,6.111698
17.6,5.6122303
17.7,5.562513
17.8,5.8883166
17.9,5.1234875
18.0,5.798941
18.1,5.577352
18.2,5.455155
18.3,5.2956176
18.4,5.570107
18.5,6.6532035
18.6,6.71105
18.7,6.1631713
18.8,6.3933687
18.9,6.535137
19.0,6.662461
19.1,6.058804
19.2,6.3809633
19.3,6.8625693
19.4,5.966352
19.5,5.6831365
19.6,5.8654065
19.7,5.8694205
19.8,6.4541645
19.9,5.5469556
20.0,6.0072403
20.1,6.1427894
20.2,6.5476236
20.3,6.5720663
20.4,6.622973
20.5,6.696606
20.6,6.6166177
20.7,6.1294374
20.8,7.319968
20.9,6.4842467
21.0,5.8826466
21.1,6.726327
21.2,6.3731384
21.3,6.427432
21.4,7.3058352
21.5,6.951955
21.6,5.918234
21.7,6.36639
21.8,5.4564633
21.9,6.0984793
22.0,5.559846
22.1,6.000423
22.2,5.8402796
22.3,5.9161444
22.4,5.6292124
22.5,5.4679337
22.6,5.57719
22.7,5.099228
22.8,5.344778
22.9,6.272688
23.0,5.556508
23.1,5.2269764
23.2,6.305905
23.3,5.2926116
23.4,4.818453
23.5,5.246463
23.6,5.2064843
23.7,4.955161
23.8,4.976679
23.9,4.7835665
24.0,4.1748652
24.1,5.0599704
24.2,4.959603
24.3,5.200771
24.4,5.730368
24.5,4.8055024
24.6,5.953928
24.7,5.0419817
24.8,4.917948
24.9,5.159506
25.0,6.8620105
25.1,6.4208984
25.2,6.053226
25.3,5.5816855
25.4,3.9641092
25.5,4.1442423
25.6,4.9483047
25.7,4.484805
25.8,3.8804562
25.9,4.9259777
26.0,5.381183
26.1,5.539771
26.2,5.141311
26.3,5.778779
26.4,5.3202124
26.5,5.2320137
26.6,5.5264525
26.7,6.648496
26.8,6.2131944
26.9,6.223082
27.0,6.7436433
27.1,6.4610243
27.2,6.9642973
27.3,7.0506563
27.4,6.9108305
27.5,7.144619
27.6,6.7365265
27.7,6.7894144
27.8,6.4676924
27.9,5.4826856
28.0,5.8534355
28.1,5.725547
28.2,5.8441024
28.3,6.173218
28.4,6.4289
28.5,6.0951595
28.6,6.0488834
28.7,5.789473
28.8,6.0172753
28.9,6.3598967
29.0,5.3991747
29.1,5.8594556
29.2,5.8824515
29.3,6.355256
29.4,6.173061
29.5,6.5889187
29.6,6.434699
29.7,5.4436297
29.8,5.713422
29.9,5.1658716
30.0,5.175175
30.1,4.956475
30.2,5.344586
30.3,6.4273124
30.4,6.077636
30.5,6.098065
30.6,5.6847844
30.7,6.522087
30.8,6.277584
30.9,6.4203596
31.0,6.618367
31.1,5.9766607
31.2,5.7191668
31.3,5.801119
31.4,6.180711
31.5,5.894923
31.6,6.1074195
31.7,6.073052
31.8,5.9409847
31.9,6.023111
32.0,6.3979025
32.1,6.406923
32.2,6.129382
32.3,7.0986495
32.4,7.1743746
32.5,6.8636246
32.6,7.2111583
32.7,6.942966
32.8,6.8010564
32.9,6.7796607
33.0,6.969514
33.1,7.1782584
33.2,7.367916
33.3,7.2784786
33.4,7.152801
33.5,7.0887322
33.6,7.167881
33.7,7.0266643
33.8,7.1045976
33.9,7.309469
34.0,6.967206
34.1,6.3596883
34.2,6.774293
34.3,7.143997
34.4,6.444326
34.5,7.1887918
34.6,7.391168
34.7,6.9089785
34.8,6.181098
34.9,6.652086
35.0,6.5931406
35.1,7.294058
35.2,7.0502806
35.3,6.9834604
35.4,7.343222
35.5,7.148906
35.6,6.9294195
35.7,6.693633
35.8,6.484808
35.9,6.5131774
36.0,6.4512405
36.1,6.4809704
36.2,6.3256364
36.3,7.24044
36.4,7.2932515
36.5,6.8846626
36.6,7.063758
36.7,6.986812
36.8,7.1699734
36.9,7.1507936
37.0,6.712134
37.1,7.1849117
37.2,6.6950774
37.3,7.239411
37.4,7.142598
37.5,6.7673826
37.6,6.374302
37.7,6.885571
37.8,6.6184125
37.9,6.9975357
38.0,7.3065653
38.1,6.9355683
38.2,7.2723727
38.3,6.7923727
38.4,7.2759004
38.5,6.6545777
38.6,6.742708
38.7,6.536109
38.8,7.28184
38.9,7.0232797
39.0,6.8605556
39.1,6.7959657
39.2,7.1078725
39.3,6.86067
39.4,6.6077347
39.5,6.154569
39.6,6.7273407
39.7,7.567493
39.8,6.992032
39.9,6.8882337
40.0,6.5346637
40.1,7.016219
40.2,6.6625032
40.3,6.5688925
40.4,6.893498
40.5,6.939059
40.6,6.11008
40.7,6.847566
40.8,6.8265452
40.9,6.657785
41.0,6.835537
41.1,6.8147955
41.2,6.539481
41.3,6.764555
41.4,6.4195375
41.5,6.065536
41.6,5.6785727
41.7,5.6248264
41.8,5.861553
41.9,5.751525
42.0,5.781185
42.1,5.41256
42.2,5.0333967
42.3,6.59609
42.4,6.390718
42.5,6.421083
42.6,6.1009517
42.7,6.127116
42.8,6.485414
42.9,7.0730257
43.0,6.080292
43.1,5.774796
43.2,5.6992326
43.3,6.1097145
43.4,6.368596
43.5,7.227121
43.6,7.037778
43.7,7.5886307
43.8,7.6346207
43.9,7.5141654
44.0,7.5069327
44.1,7.3155813
44.2,7.417313
44.3,7.4939175
44.4,6.8406262
44.5,6.8917623
44.6,6.468395
44.7,6.6119413
44.8,6.867941
44.9,7.166103
45.0,6.8177557
45.1,7.2685184
45.2,7.6554694
45.3,7.1799197
45.4,7.2286806
45.5,7.0249767
45.6,7.278337
45.7,7.157312
45.8,7.4280596
45.9,7.31777
46.0,7.4596004
46.1,7.2477717
46.2,7.0213604
46.3,7.347185
46.4,7.4305854
46.5,7.4698586
46.6,7.728034
46.7,7.708275
46.8,7.5974593
46.9,7.36699
47.0,7.0814996
47.1,7.267227
47.2,7.031224
47.3,7.367047
47.4,7.133545
47.5,5.820591
47.6,6.154346
47.7,6.1263914
47.8,6.655471
47.9,6.883387
48.0,6.2224507
48.1,7.2444587
48.2,7.136674
48.3,7.288419
48.4,7.3635316
48.5,7.746194
48.6,7.2479916
48.7,7.9928718
48.8,7.6089277
48.9,7.383265
49.0,7.437355
49.1,7.340642
49.2,6.3071775
49.3,7.2959585
49.4,7.3195386
49.5,7.292973
49.6,7.542633
49.7,7.2742023
49.8,7.3457866
49.9,7.350477
50.0,7.064303
50.1,7.298102
50.2,7.3519664
50.3,7.5170197
50.4,7.6412
50.5,7.225919
50.6,7.103697
50.7,7.175517
50.8,7.331207
50.9,7.3897305
51.0,7.50414
51.1,7.558423
51.2,6.4670224
51.3,6.734751
51.4,7.27669
51.5,7.078404
51.6,7.0603566
51.7,5.9609838
51.8,6.7569885
51.9,6.9362803
52.0,7.4272957
52.1,7.990085
52.2,7.311769
52.3,6.4436274
52.4,6.939303
52.5,6.893491
52.6,7.1766644
52.7,6.685667
52.8,7.0683775
52.9,7.637019
53.0,7.445605
53.1,7.3215613
53.2,7.959892
53.3,7.7910643
53.4,7.4505663
53.5,7.351131
53.6,7.47861
53.7,7.8127275
53.8,7.0503497
53.9,6.6520624
54.0,6.7630053
54.1,7.281817
54.2,7.3246064
54.3,7.317226
54.4,7.5249825
54.5,7.1239295
54.6,6.899037
54.7,7.27441
54.8,6.9807134
54.9,6.5022573
55.0,6.2209816
55.1,5.9545045
55.2,6.8803983
55.3,6.8892922
55.4,6.3122187
55.5,7.534743
55.6,7.122908
55.7,7.6819553
55.8,7.1495647
55.9,7.042397
56.0,6.50383
56.1,6.516731
56.2,5.4258676
56.3,5.1664696
56.4,5.600932
56.5,5.8237467
56.6,5.7264757
56.7,5.633086
56.8,5.702915
56.9,5.5644627
57.0,5.3193903
57.1,5.6841617
57.2,5.49688
57.3,6.0950365
57.4,5.621792
57.5,4.55412
57.6,5.7927136
57.7,5.067504
57.8,5.2730403
57.9,5.6802115
58.0,6.124926
58.1,5.4597483
58.2,5.8919306
58.3,6.413035
58.4,6.30556
58.5,6.1596417
58.6,6.023454
58.7,6.524956
58.8,7.2842746
58.9,6.98547
59.0,6.672639
59.1,6.423125
59.2,6.6648335
59.3,6.3986154
59.4,6.291305
59.5,6.648512
59.6,6.896325
59.7,5.898503
59.8,5.423879
59.9,5.04944
60.0,5.240741
60.1,5.3583455
60.2,4.53573
60.3,5.746099
60.4,6.529736
60.5,7.0184755
60.6,7.140977
60.7,7.267797
60.8,7.3000717
60.9,7.015339
61.0,6.1699677
61.1,5.439968
61.2,4.915571
61.3,5.3441744
61.4,6.273755
61.5,5.9669147
61.6,5.4186707
61.7,5.9662495
61.8,5.934678
61.9,5.706402
62.0,5.6845574
62.1,5.588736
62.2,5.864787
62.3,5.604692
62.4,5.75796
62.5,5.5431676
62.6,5.8365498
62.7,5.96076
62.8,5.6432524
62.9,5.8717976
63.0,6.6774006
63.1,6.271188
63.2,6.691501
63.3,7.030364
63.4,7.2524495
63.5,6.4790545
63.6,7.115
63.7,7.002736
63.8,7.0456114
63.9,7.177653
64.0,7.3067675
64.1,7.4403653
64.2,6.883855
64.3,7.4611573
64.4,7.0876284
64.5,7.1239834
64.6,7.1512504
64.7,6.9968343
64.8,6.8081837
64.9,7.1628823
65.0,7.561916
65.1,6.9635353
65.2,6.713499
65.3,7.416082
65.4,6.9515967
65.5,7.2178397
65.6,7.4392037
65.7,7.439431
65.8,7.200922
65.9,6.9039617
66.0,7.1534204
66.1,7.455508
66.2,7.35955
66.3,7.2390876
66.4,7.870274
66.5,7.2972755
66.6,7.603388
66.7,7.3145185
66.8,7.5476503
66.9,7.3710666
67.0,7.0389915
67.1,7.1848464
67.2,7.281683
67.3,7.6404257
67.4,7.736846
67.5,7.9294314
67.6,8.184398
67.7,8.226195
67.8,7.483015
67.9,8.215048
68.0,7.753667
68.1,8.03465
68.2,7.981343
68.3,7.7317314
68.4,8.336404
68.5,7.9275565
68.6,7.8031397
68.7,8.027011
68.8,8.063036
68.9,7.530527
69.0,7.6749864
69.1,8.313918
69.2,7.9041004
69.3,7.777549
69.4,7.9886346
69.5,7.898563
69.6,7.4197392
69.7,7.5035915
69.8,6.5173907
69.9,6.317421
70.0,7.8705053
70.1,7.6378646
70.2,6.8314576
70.3,6.1457453
70.4,6.8641834
70.5,7.402713
70.6,8.222208
70.7,7.985567
70.8,7.7015266
70.9,8.565591
71.0,8.288969
71.1,7.9415216
71.2,7.573588
71.3,7.454208
71.4,7.511086
71.5,7.1830974
71.6,7.21699
71.7,7.380578
71.8,6.952723
71.9,6.1667466
72.0,6.093909
72.1,6.802988
72.2,6.603693
72.3,5.806213
72.4,5.3533916
72.5,5.3102
72.6,5.298928
72.7,5.0913544
72.8,4.8818126
72.9,5.5182757
73.0,5.702753
73.1,5.975708
73.2,6.369041
73.3,6.4013433
73.4,5.6782775
73.5,6.094514
73.6,5.2770624
73.7,5.2840486
73.8,5.2865796
73.9,5.0075946
74.0,4.7916446
74.1,5.7012825
74.2,5.171409
74.3,6.4708214
74.4,5.091543
74.5,5.0888824
74.6,5.885193
74.7,5.88697
74.8,5.5673532
74.9,4.3854113
75.0,4.3535814
75.1,5.214313
75.2,5.1510916
75.3,4.6428366
75.4,3.5306988
75.5,3.8181195
75.6,3.5517955
