time,rmsd
0.0,4.4821297e-07
0.1,0.5754162
0.2,0.2837836
0.3,0.5601811
0.4,0.87575465
0.5,1.0399022
0.6,0.4474123
0.7,0.7912215
0.8,0.72462773
0.9,0.34734234
1.0,0.5288999
1.1,0.8561289
1.2,0.5724845
1.3,1.025258
1.4,0.86338055
1.5,0.8211388
1.6,0.87245655
1.7,0.7943693
1.8,0.7136661
1.9,0.486152
2.0,0.65393895
2.1,0.7822021
2.2,0.7045088
2.3,0.7184242
2.4,0.73546535
2.5,0.7108912
2.6,0.743968
2.7,0.76408684
2.8,0.73357373
2.9,0.91971606
3.0,0.8019016
3.1,1.6579453
3.2,1.742892
3.3,2.0376852
3.4,1.5700012
3.5,1.8616437
3.6,1.5259082
3.7,1.9919854
3.8,1.3751365
3.9,1.894806
4.0,1.8468728
4.1,1.5686657
4.2,1.9610897
4.3,1.9126499
4.4,1.6770192
4.5,1.8612591
4.6,1.643086
4.7,1.997474
4.8,1.8658625
4.9,1.9016178
5.0,1.6683004
5.1,1.5437417
5.2,1.6888592
5.3,2.263927
5.4,1.7531468
5.5,1.8741701
5.6,1.8270605
5.7,1.859029
5.8,1.5302843
5.9,1.7249972
6.0,1.9520063
6.1,1.6842053
6.2,1.662692
6.3,1.8508264
6.4,1.7396767
6.5,1.6103622
6.6,1.6216501
6.7,1.7198962
6.8,1.9021169
6.9,1.6955277
7.0,2.031188
7.1,2.509484
7.2,1.9726763
7.3,2.4875436
7.4,2.1427221
7.5,2.3497608
7.6,2.3973348
7.7,2.1758528
7.8,2.7625568
7.9,3.158347
8.0,2.7969859
8.1,2.7749264
8.2,3.0714765
8.3,2.61797
8.4,2.668709
8.5,2.3966417
8.6,2.2752771
8.7,2.5928428
8.8,3.4640465
8.9,3.5867934
9.0,4.08869
9.1,5.667361
9.2,9.470785
9.3,10.969498
9.4,22.493994
9.5,34.941223
9.6,38.34427
9.7,45.49855
9.8,57.379288
9.9,47.862427
10.0,51.646194
10.1,39.67462
10.2,32.04722
10.3,43.776787
10.4,63.98612
10.5,67.1247
10.6,61.370117
10.7,79.406265
10.8,88.72278
10.9,90.943665
11.0,85.880104
11.1,76.258896
11.2,81.318085
11.3,81.641266
11.4,102.85763
11.5,104.64713
11.6,81.85712
11.7,79.80748
11.8,88.11621
11.9,77.71081
12.0,90.53229
12.1,76.02563
12.2,59.34075
12.3,79.41272
12.4,105.872246
12.5,90.37386
12.6,90.34571
12.7,87.17072
12.8,89.38197
12.9,73.13525
13.0,58.318092
13.1,54.13054
13.2,45.00128
13.3,59.85097
13.4,50.905853
13.5,68.73407
13.6,61.0488
13.7,56.35622
13.8,81.52894
13.9,81.51947
14.0,44.305477
14.1,61.592968
14.2,81.02104
14.3,85.722946
14.4,70.7699
14.5,68.97526
14.6,41.69916
14.7,36.892147
14.8,35.32036
14.9,32.644447
15.0,30.850285
15.1,36.856403
15.2,50.378574
15.3,62.54537
15.4,71.43823
15.5,76.16735
15.6,93.02256
15.7,98.89495
15.8,97.77539
15.9,46.72454
16.0,54.346462
16.1,46.222713
16.2,48.197887
16.3,51.506805
16.4,57.251896
16.5,51.598007
16.6,70.08638
16.7,66.81664
16.8,65.99786
16.9,46.059834
17.0,46.735054
17.1,68.95617
17.2,62.802067
17.3,46.322933
17.4,32.30163
17.5,43.541172
17.6,49.629555
17.7,36.24598
17.8,34.607605
17.9,43.55406
18.0,50.566174
18.1,66.96011
18.2,82.013565
18.3,84.31412
18.4,82.11908
18.5,75.27733
18.6,63.124832
18.7,48.71828
18.8,47.83161
18.9,46.019806
19.0,51.319504
19.1,49.39188
19.2,49.27472
19.3,54.5553
19.4,53.310097
19.5,52.789486
19.6,57.293026
19.7,67.96569
19.8,74.58992
19.9,75.67694
20.0,52.032757
20.1,39.26175
20.2,62.54151
20.3,66.05436
20.4,68.177536
20.5,85.625755
20.6,81.24142
20.7,77.902916
20.8,98.46194
20.9,82.4987
21.0,69.82168
21.1,74.48285
21.2,77.716415
21.3,79.21153
21.4,77.27721
21.5,88.533775
21.6,64.598755
21.7,65.84809
21.8,74.001114
21.9,74.6779
22.0,72.085724
22.1,51.002216
22.2,47.308765
22.3,44.94001
22.4,81.50175
22.5,58.355843
22.6,57.172695
22.7,79.39686
22.8,69.18549
22.9,78.25221
23.0,78.60176
23.1,75.21326
23.2,82.50555
23.3,80.49305
23.4,68.209984
23.5,101.498955
23.6,73.22172
23.7,98.10246
23.8,64.68808
23.9,89.401085
24.0,47.044
24.1,49.74048
24.2,68.66963
24.3,72.76762
24.4,61.777004
24.5,88.79073
24.6,86.31591
24.7,65.46894
24.8,82.2373
24.9,94.09187
25.0,73.40791
25.1,70.29709
25.2,61.830193
25.3,36.75733
25.4,47.512352
25.5,69.05907
25.6,88.20346
25.7,80.9018
25.8,71.8385
25.9,62.30847
26.0,44.16762
26.1,73.37765
26.2,94.290115
26.3,72.542915
26.4,86.21394
26.5,62.38713
26.6,87.99466
26.7,61.500416
26.8,44.1131
26.9,50.36169
27.0,48.598682
27.1,66.89414
27.2,56.500973
27.3,60.8295
27.4,55.203835
27.5,51.33337
27.6,58.776657
27.7,87.8465
27.8,83.79131
27.9,70.09069
28.0,55.689632
28.1,38.553608
28.2,33.158764
28.3,47.28195
28.4,47.38083
28.5,50.44187
28.6,45.299614
28.7,46.55328
28.8,38.707623
28.9,70.80801
29.0,66.75598
29.1,59.401493
29.2,75.86174
29.3,69.310715
29.4,50.42555
29.5,70.57216
29.6,105.469666
29.7,102.22666
29.8,83.73722
29.9,93.72567
30.0,98.19494
30.1,83.19522
30.2,93.969406
30.3,73.279884
30.4,98.855316
30.5,76.47879
30.6,87.02338
30.7,92.80717
30.8,76.88931
30.9,77.48351
31.0,72.05629
31.1,54.250652
31.2,54.058746
31.3,50.928333
31.4,51.175934
31.5,70.308365
31.6,55.582466
31.7,50.916573
31.8,56.35788
31.9,72.43239
32.0,55.22955
32.1,70.58115
32.2,101.45169
32.3,92.17222
32.4,80.75786
32.5,77.92318
32.6,76.01462
32.7,56.177765
32.8,71.88559
32.9,71.7064
33.0,73.04798
33.1,54.63878
33.2,52.3188
33.3,38.32996
33.4,35.994926
33.5,48.124348
33.6,50.25878
33.7,61.266083
33.8,67.77896
