time,rmsd
0.0,1.0445372e-06
0.1,0.86544913
0.2,1.0863605
0.3,1.0626692
0.4,1.0855664
0.5,1.2348528
0.6,1.070793
0.7,1.5186745
0.8,1.4376204
0.9,1.642722
1.0,1.0567987
1.1,1.5549843
1.2,1.7399464
1.3,2.1929843
1.4,1.5374793
1.5,1.694683
1.6,1.7142042
1.7,1.3196089
1.8,1.5285261
1.9,1.3111644
2.0,2.1394212
2.1,3.0287898
2.2,2.4752102
2.3,1.8756001
2.4,2.2206318
2.5,2.3311994
2.6,1.8071704
2.7,1.6021845
2.8,2.16824
2.9,2.1500318
3.0,2.3046455
3.1,3.061721
3.2,1.9106011
3.3,2.079062
3.4,2.037785
3.5,2.2114234
3.6,1.9048299
3.7,2.699614
3.8,2.5801334
3.9,2.8951464
4.0,1.9096626
4.1,1.6005683
4.2,2.2905207
4.3,2.3097906
4.4,2.4756103
4.5,2.910753
4.6,3.2860563
4.7,2.5212502
4.8,2.0152583
4.9,2.4350255
5.0,1.9910039
5.1,2.9697344
5.2,3.2121737
5.3,3.0143692
5.4,3.3884335
5.5,2.1590674
5.6,2.3338635
5.7,2.4430654
5.8,2.1982274
5.9,2.083616
6.0,2.8596249
6.1,2.3337805
6.2,2.6147184
6.3,4.394483
6.4,3.7644763
6.5,4.384405
6.6,4.5316057
6.7,4.148081
6.8,4.629647
6.9,4.764961
7.0,4.796509
7.1,3.769736
7.2,3.91356
7.3,3.8618603
7.4,3.324524
7.5,3.6197317
7.6,3.3942597
7.7,3.430281
7.8,3.653502
7.9,3.6700945
8.0,3.7175903
8.1,3.620546
8.2,2.7607193
8.3,3.9790697
8.4,3.4258494
8.5,4.045016
8.6,3.7169201
8.7,3.5502284
8.8,3.6239502
8.9,2.9048607
9.0,3.3795063
9.1,3.5084152
9.2,3.2539368
9.3,3.3486843
9.4,3.1228259
9.5,3.4443746
9.6,3.7548273
9.7,3.3208
9.8,3.0215921
9.9,3.0957718
10.0,3.512728
10.1,3.188793
10.2,3.0768447
10.3,2.7138069
10.4,3.499035
10.5,3.233102
10.6,3.0159898
10.7,3.078272
10.8,3.2514567
10.9,3.2229378
11.0,3.1175296
11.1,2.7672727
11.2,3.8674421
11.3,3.4169264
11.4,2.8422554
11.5,3.4053242
11.6,3.4175067
11.7,3.034928
11.8,2.9763386
11.9,3.2855697
12.0,3.248232
12.1,2.9748495
12.2,2.7807477
12.3,3.1908815
12.4,3.2703369
12.5,2.991466
12.6,3.0326874
12.7,3.4276814
12.8,3.5672345
12.9,3.146727
13.0,3.1162734
13.1,3.1297214
13.2,3.5428636
13.3,3.111842
13.4,3.2201083
13.5,3.084534
13.6,3.1755977
13.7,2.809035
13.8,2.7415495
13.9,2.7219431
14.0,3.2376676
14.1,3.3143673
14.2,3.2294798
14.3,3.0681965
14.4,3.482259
14.5,3.2119682
14.6,3.543823
14.7,3.408833
14.8,3.5968719
14.9,3.718519
15.0,2.9310327
15.1,3.2706735
15.2,3.3931415
15.3,3.1917942
15.4,3.3692114
15.5,3.2209437
15.6,3.1996684
15.7,2.9592545
15.8,2.964091
15.9,3.0853975
16.0,2.754304
16.1,2.4906428
16.2,3.2036219
16.3,2.904827
16.4,2.636228
16.5,3.1182477
16.6,2.6878443
16.7,2.7823024
16.8,3.2225592
16.9,2.8207965
17.0,2.6970563
17.1,3.015745
17.2,2.3754747
17.3,2.647726
17.4,2.7833593
17.5,2.7364233
17.6,2.8239279
17.7,3.1138222
17.8,3.105584
17.9,2.7193892
18.0,3.2880483
18.1,3.2631226
18.2,2.9919791
18.3,2.8686657
18.4,2.77608
18.5,2.9124174
18.6,3.150102
18.7,3.0558615
18.8,3.1687567
18.9,3.0819688
19.0,3.3402514
19.1,3.093177
19.2,2.8903708
19.3,3.1869466
19.4,3.0330315
19.5,2.8068416
19.6,2.9696772
19.7,2.8428445
19.8,3.361615
19.9,3.2781394
20.0,3.1336176
20.1,3.326997
20.2,2.70712
20.3,3.1256194
20.4,3.1395843
20.5,2.9838243
20.6,3.8162525
20.7,3.317671
20.8,3.1603184
20.9,3.3598542
21.0,3.1224105
21.1,3.7213633
21.2,3.225078
21.3,3.9279249
21.4,3.6465733
21.5,3.0605567
21.6,3.5812118
21.7,4.0286474
21.8,3.165471
21.9,3.116693
22.0,3.0976596
22.1,2.853619
22.2,3.461413
22.3,3.0598726
22.4,3.294171
22.5,3.5199552
22.6,3.0257814
22.7,3.6522067
22.8,3.2206068
22.9,3.7770288
23.0,3.3196516
23.1,3.7437925
23.2,2.6997306
23.3,3.075115
23.4,3.4597352
23.5,3.0618813
23.6,3.0386534
23.7,3.0045142
23.8,2.9928617
23.9,2.8353777
24.0,3.0209002
24.1,2.8273623
24.2,2.8225505
24.3,3.2152464
24.4,3.209112
24.5,2.856256
24.6,3.2344425
24.7,3.459893
24.8,3.1761224
24.9,3.230028
25.0,2.6185267
25.1,2.9986928
25.2,3.4096038
25.3,2.826064
25.4,3.1610296
25.5,2.8572426
25.6,3.028971
25.7,3.1685917
25.8,2.9464343
25.9,2.9657235
26.0,3.0177252
26.1,3.103816
26.2,3.3796632
26.3,3.402136
26.4,2.8467746
26.5,3.267011
26.6,3.1874218
26.7,2.8228729
26.8,2.9763112
26.9,3.0611575
27.0,3.461139
27.1,3.6785214
27.2,3.292553
27.3,3.3244672
27.4,2.9536939
27.5,2.6909394
27.6,2.950687
27.7,3.014832
27.8,2.9585867
27.9,2.9523315
28.0,2.8591633
28.1,2.9452646
28.2,2.8362823
28.3,2.8545337
28.4,2.9230692
28.5,2.9080281
28.6,2.9429264
28.7,3.2903025
28.8,3.202551
28.9,3.016777
29.0,3.5656462
29.1,3.0896943
29.2,3.2555652
29.3,2.9175935
29.4,3.2691674
29.5,2.9449563
29.6,2.918961
29.7,2.862445
29.8,2.9513574
29.9,2.8985264
30.0,3.1573694
30.1,2.864215
30.2,3.0762134
30.3,2.6983478
30.4,2.650775
30.5,2.9535835
30.6,2.7562425
30.7,3.2179785
30.8,3.156289
30.9,3.190474
31.0,2.9068394
31.1,3.4400485
31.2,3.4687035
31.3,2.879972
31.4,2.9347787
31.5,3.394601
31.6,2.9398017
31.7,3.1174164
31.8,3.120714
31.9,3.4338696
32.0,3.1421478
32.1,3.330721
32.2,3.8622088
32.3,3.0627363
32.4,2.7706082
32.5,2.9201996
32.6,3.0196736
32.7,3.2552454
32.8,3.1785188
32.9,3.2326593
33.0,3.4430838
33.1,3.100392
33.2,2.8868282
33.3,3.4040132
33.4,3.5467796
33.5,3.8519046
33.6,3.6783948
33.7,2.9634824
33.8,3.1718967
33.9,3.4622855
34.0,3.3567321
34.1,3.917612
34.2,3.545651
34.3,3.369784
34.4,3.9515915
34.5,3.7071784
34.6,3.180534
34.7,3.3501318
34.8,3.5176017
34.9,3.2717433
35.0,3.7632806
35.1,3.6767726
35.2,3.5901084
35.3,3.6748621
35.4,3.7683377
35.5,4.0473623
35.6,3.5330276
35.7,3.5963943
35.8,3.921767
35.9,2.8722882
36.0,3.5409968
36.1,3.865324
36.2,3.769541
36.3,3.9427423
36.4,3.4127052
36.5,3.401644
36.6,4.0883083
36.7,3.545767
36.8,3.4978638
36.9,3.5613933
37.0,3.7497854
37.1,4.096389
37.2,4.674574
37.3,3.93246
37.4,3.6461024
37.5,3.7719593
37.6,3.681206
37.7,3.680262
37.8,3.771534
37.9,3.9317229
38.0,4.0082765
38.1,3.7960076
38.2,3.8194768
38.3,3.3937278
38.4,3.6763794
38.5,3.8325891
38.6,3.721687
38.7,4.1965365
38.8,3.6493118
38.9,4.0067854
39.0,3.6831334
39.1,4.0533853
39.2,4.4299192
39.3,4.0555587
39.4,4.2659674
39.5,4.0658865
39.6,4.0665994
39.7,3.8889437
39.8,3.946288
39.9,4.0537252
40.0,3.6258464
40.1,3.893095
40.2,3.7739878
40.3,4.13322
40.4,3.6745465
40.5,3.8291774
40.6,3.8565557
40.7,3.4476128
40.8,3.34302
40.9,3.6557417
41.0,3.4833565
41.1,3.3029988
41.2,3.2880101
41.3,3.6381226
41.4,3.5614085
41.5,3.7526066
41.6,3.3289912
41.7,3.2548773
41.8,3.496769
41.9,3.0769622
42.0,3.773319
42.1,3.410986
42.2,3.9047225
42.3,3.5133224
42.4,3.499588
42.5,4.0058208
42.6,3.6118693
42.7,3.4981441
42.8,3.558535
42.9,3.6667247
43.0,3.3037639
43.1,3.549566
43.2,3.8066313
43.3,3.6804984
43.4,3.2622323
43.5,3.6289232
43.6,3.594372
43.7,3.2962687
43.8,3.418668
43.9,3.4374685
44.0,3.774984
44.1,3.5604208
44.2,3.7202163
44.3,3.423882
44.4,3.4115386
44.5,3.6330097
44.6,3.4660907
44.7,4.1998224
44.8,3.6602077
44.9,3.77409
45.0,3.4937117
45.1,3.934839
45.2,3.6139932
45.3,4.193408
45.4,3.8346732
45.5,3.8749874
