time,rmsd
0.0,2.470301e-06
0.1,0.90305
0.2,1.1093087
0.3,1.3763196
0.4,1.5649848
0.5,1.4089359
0.6,1.3382341
0.7,1.459144
0.8,1.3473063
0.9,1.2891073
1.0,1.3820767
1.1,1.8651611
1.2,1.5189284
1.3,1.4903777
1.4,1.4791704
1.5,1.5348309
1.6,1.1651201
1.7,1.252969
1.8,1.157141
1.9,1.357507
2.0,2.1501608
2.1,1.5305185
2.2,1.36397
2.3,1.6306814
2.4,2.29377
2.5,2.3023453
2.6,2.107644
2.7,2.2809172
2.8,2.0388105
2.9,2.1128364
3.0,2.2423809
3.1,1.8712137
3.2,2.0941257
3.3,1.7963231
3.4,2.0347502
3.5,2.433084
3.6,2.593366
3.7,2.2974427
3.8,2.208057
3.9,2.4420586
4.0,2.4921515
4.1,1.9893589
4.2,1.6408385
4.3,1.9804475
4.4,1.6347257
4.5,1.7455353
4.6,2.1112723
4.7,2.0148792
4.8,2.0072734
4.9,2.2554867
5.0,1.8899244
5.1,1.8027734
5.2,2.1020923
5.3,2.1546524
5.4,2.1058
5.5,2.0181537
5.6,2.2884748
5.7,2.139855
5.8,1.994459
5.9,2.4070313
6.0,2.2935746
6.1,2.7599118
6.2,2.9639158
6.3,2.9436
6.4,2.9203928
6.5,2.622439
6.6,2.6085076
6.7,2.6357296
6.8,2.560994
6.9,2.190494
7.0,2.5451026
7.1,2.465078
7.2,2.0352917
7.3,2.607449
7.4,2.6138833
7.5,2.5387297
7.6,2.536036
7.7,2.3576615
7.8,3.0511725
7.9,2.3692713
8.0,2.4603252
8.1,3.038982
8.2,2.717949
8.3,2.7812545
8.4,3.2176611
8.5,2.9576654
8.6,2.935017
8.7,2.8381984
8.8,3.1004584
8.9,2.4726684
9.0,2.8752904
9.1,2.619642
9.2,2.7485223
9.3,3.1048572
9.4,2.9671993
9.5,3.0683844
9.6,3.022731
9.7,2.690075
9.8,2.8040142
9.9,3.052856
10.0,2.600138
10.1,2.2726314
10.2,2.7457192
10.3,2.9951725
10.4,3.688137
10.5,3.191081
10.6,2.9426513
10.7,2.938931
10.8,2.758709
10.9,3.1567752
11.0,3.0811431
11.1,3.0151825
11.2,3.3339517
11.3,3.6651604
11.4,2.9727585
11.5,2.7039516
11.6,2.3967707
11.7,3.395128
11.8,3.3822477
11.9,3.1215634
12.0,3.1762674
12.1,3.9035456
12.2,3.109885
12.3,3.552755
12.4,3.138867
12.5,3.738044
12.6,3.3994594
12.7,3.4549513
12.8,3.5388455
12.9,3.7691288
13.0,3.4280024
13.1,3.7365496
13.2,3.7716548
13.3,2.7784271
13.4,3.3025794
13.5,3.4343877
13.6,3.1433957
13.7,3.4344668
13.8,3.5907295
13.9,3.75116
14.0,3.4891496
14.1,3.3386366
14.2,3.1898477
14.3,3.1457665
14.4,2.7467706
14.5,3.0508614
14.6,3.0038645
14.7,3.3387327
14.8,3.6976051
14.9,3.4010515
15.0,3.647341
15.1,3.9130106
15.2,3.1799057
15.3,2.6966102
15.4,3.0813217
15.5,2.9606037
15.6,2.7549295
15.7,2.6586099
15.8,2.675145
15.9,3.311061
16.0,3.0797007
16.1,2.9768784
16.2,2.54543
16.3,3.149517
16.4,3.302425
16.5,2.8237498
16.6,2.9171002
16.7,4.8718147
16.8,4.932349
16.9,5.132112
17.0,4.4693294
17.1,4.5695405
17.2,4.478866
17.3,4.8739715
17.4,4.6531434
17.5,4.926494
17.6,4.8681235
17.7,5.776868
17.8,5.499305
17.9,4.259366
18.0,4.4353876
18.1,4.7462583
18.2,4.4624076
18.3,3.5049925
18.4,2.8201337
18.5,3.2081065
18.6,3.2628472
18.7,3.3920004
18.8,4.0057526
18.9,3.5126019
19.0,3.3432317
19.1,3.0684824
19.2,3.852758
19.3,3.2793906
19.4,4.138242
19.5,4.548755
19.6,4.8417315
19.7,5.830883
19.8,4.667206
19.9,4.914817
20.0,4.856146
20.1,3.803064
20.2,3.9678924
20.3,3.9202232
20.4,4.1923885
20.5,3.336862
20.6,3.71486
20.7,3.1750634
20.8,2.868251
20.9,2.841692
21.0,3.7433686
21.1,2.5852165
21.2,3.8838007
21.3,3.372369
21.4,3.4096048
21.5,3.183004
21.6,3.101989
21.7,3.287002
21.8,3.1412168
21.9,3.2474818
22.0,3.1695187
22.1,4.4430995
22.2,3.8428464
22.3,3.643523
22.4,4.415153
22.5,4.0336723
22.6,4.339057
22.7,4.000751
22.8,3.9037433
22.9,3.7765486
23.0,4.163235
23.1,4.4105053
23.2,4.301326
23.3,4.6661286
23.4,3.938248
23.5,3.93471
23.6,3.6101391
23.7,3.695906
23.8,4.408812
23.9,4.339807
24.0,4.716469
24.1,4.275415
24.2,4.340149
24.3,3.9253218
24.4,4.9174595
24.5,4.402223
24.6,4.083311
24.7,4.310911
24.8,3.9742844
24.9,4.6090198
25.0,3.985604
25.1,4.3228283
25.2,4.3458915
25.3,4.1941814
25.4,4.0631676
25.5,3.965349
25.6,4.2904935
25.7,3.9356148
25.8,3.1345956
25.9,3.3161626
26.0,3.593648
26.1,3.956994
26.2,3.694988
26.3,3.7786102
26.4,4.329237
26.5,3.7105474
26.6,3.5099664
26.7,3.4875097
26.8,3.6858554
26.9,3.9285398
27.0,3.6272466
27.1,4.075448
27.2,4.045931
27.3,3.7875738
27.4,3.4041314
27.5,3.4318058
27.6,3.4934516
27.7,3.4903302
27.8,3.2577314
27.9,3.583459
28.0,3.7616956
28.1,2.6223881
28.2,3.7001028
28.3,4.1026497
28.4,3.7646434
28.5,4.106378
28.6,4.6012297
28.7,4.874436
28.8,3.913258
28.9,3.6051977
29.0,3.420847
29.1,3.287802
29.2,3.3941712
29.3,3.650012
29.4,3.7606294
29.5,4.3234725
29.6,3.8634844
29.7,3.2352865
29.8,4.1876936
29.9,4.671543
30.0,3.904334
30.1,3.3960764
30.2,3.270407
30.3,3.6390104
30.4,3.8074403
30.5,4.032168
30.6,3.8182025
30.7,2.982225
30.8,3.3842685
30.9,3.3527937
31.0,2.9967422
31.1,3.6890988
31.2,3.8526342
31.3,3.7138903
31.4,3.8475099
31.5,3.6665177
31.6,4.3523273
31.7,4.2646337
31.8,3.7176173
31.9,4.99541
32.0,4.1130643
32.1,4.3906145
32.2,4.6681867
32.3,5.0653505
32.4,4.9166417
32.5,5.1474357
32.6,4.0464396
32.7,4.9819446
32.8,4.0249496
32.9,3.6742136
33.0,3.2983654
33.1,3.7047815
33.2,4.15526
33.3,3.7104452
33.4,3.5422614
33.5,3.454372
33.6,2.865793
33.7,3.3548472
33.8,3.1266515
33.9,3.1376114
34.0,2.8711982
34.1,3.1976333
34.2,3.2024798
34.3,3.713054
34.4,3.6152167
34.5,2.934541
34.6,3.629693
34.7,4.14077
34.8,3.2185977
34.9,3.3619254
35.0,3.2119682
35.1,3.262976
35.2,3.249195
35.3,3.4023192
35.4,3.5826612
35.5,3.7861714
35.6,3.2328484
35.7,3.4361713
35.8,3.1130297
35.9,3.2115862
36.0,3.8292298
36.1,3.2287736
36.2,3.1847885
36.3,3.5965834
36.4,2.8231637
36.5,3.1433165
36.6,3.118902
36.7,2.8866317
36.8,2.6492574
36.9,2.9504392
37.0,2.9844494
37.1,2.9519432
37.2,3.32018
37.3,3.3641586
37.4,3.5427876
37.5,3.6766393
37.6,4.07299
37.7,3.869471
37.8,3.1416168
37.9,4.521291
38.0,3.8446558
38.1,3.4496176
38.2,3.1081073
38.3,3.0835385
38.4,3.1708572
38.5,3.0798275
38.6,3.2602298
38.7,3.1799898
38.8,3.424668
38.9,2.9676957
39.0,3.2826164
39.1,4.092532
39.2,3.8943856
39.3,3.511704
39.4,3.7263703
39.5,3.2600496
39.6,3.3212175
39.7,3.482444
39.8,3.6499333
39.9,3.6108646
40.0,3.4601612
40.1,3.2289965
40.2,3.8241556
40.3,4.163568
40.4,3.676349
40.5,3.4066825
40.6,3.2832487
40.7,3.5172493
40.8,3.209783
40.9,3.9853091
41.0,3.8507042
41.1,3.1836483
41.2,3.2706702
41.3,3.361835
41.4,3.5124485
41.5,3.5072215
41.6,3.2537048
41.7,3.2920065
41.8,3.5519476
41.9,3.6318681
42.0,3.344432
42.1,3.2413576
42.2,3.6593132
42.3,3.464069
42.4,3.5208623
42.5,3.3997579
42.6,3.3421545
42.7,3.5141726
42.8,3.5018818
42.9,3.787672
43.0,3.3024971
43.1,3.363504
43.2,3.5266163
43.3,3.3007722
43.4,3.7783852
43.5,3.7501314
43.6,3.726659
43.7,3.7948039
43.8,3.9123023
43.9,3.567142
44.0,3.2055855
44.1,3.139696
44.2,2.93359
44.3,2.9140735
44.4,2.8668969
44.5,3.7716148
44.6,3.413315
44.7,3.3782437
44.8,3.0829768
44.9,3.2364762
45.0,3.004822
45.1,3.089161
45.2,3.024747
45.3,2.8975654
45.4,3.5026731
45.5,3.3941295
45.6,3.3769858
45.7,3.4233801
45.8,2.8874614
45.9,2.9659877
46.0,3.0304997
46.1,3.0921683
46.2,3.1814013
46.3,3.4157457
46.4,3.5224159
46.5,3.4123168
46.6,3.699638
46.7,3.724351
46.8,3.8540814
