time,rmsd
0.0,5.7508726e-07
0.1,0.8576602
0.2,0.60983026
0.3,0.60164857
0.4,1.0810668
0.5,1.2585568
0.6,0.93610543
0.7,1.2583443
0.8,0.6446144
0.9,0.7303457
1.0,1.0488378
1.1,1.2329078
1.2,0.766456
1.3,1.3467528
1.4,0.9006521
1.5,0.8203298
1.6,0.7463479
1.7,1.3236182
1.8,0.87445164
1.9,1.3862196
2.0,0.98280203
2.1,1.1592112
2.2,1.2528824
2.3,1.1256464
2.4,1.612614
2.5,1.6016792
2.6,1.5867846
2.7,1.410148
2.8,1.2128435
2.9,1.4060715
3.0,1.2876573
3.1,1.6025091
3.2,1.5066907
3.3,1.4126825
3.4,1.6530977
3.5,1.6808931
3.6,1.754206
3.7,2.0321155
3.8,1.5198326
3.9,1.2924056
4.0,1.5194802
4.1,1.6579581
4.2,2.1665976
4.3,1.6806166
4.4,1.1711637
4.5,1.484604
4.6,1.6229776
4.7,1.238479
4.8,2.5742102
4.9,3.465637
5.0,3.405347
5.1,4.3031263
5.2,4.1713023
5.3,3.896325
5.4,4.409933
5.5,4.314591
5.6,3.6520946
5.7,3.6228993
5.8,4.415157
5.9,5.039616
6.0,4.909123
6.1,5.519186
6.2,4.5061593
6.3,4.2594976
6.4,4.0123615
6.5,4.1957526
6.6,4.871723
6.7,4.383137
6.8,4.800966
6.9,3.7222402
7.0,4.563604
7.1,4.3313565
7.2,4.678748
7.3,4.5555534
7.4,4.2780666
7.5,4.055719
7.6,3.6727989
7.7,3.8508062
7.8,3.4231513
7.9,3.5647056
8.0,4.2652183
8.1,5.0601764
8.2,6.5994644
8.3,5.9855447
8.4,4.0684996
8.5,4.671555
8.6,4.1112638
8.7,4.5353465
8.8,4.2392507
8.9,4.365175
9.0,4.1192317
9.1,4.555438
9.2,4.686134
9.3,4.6160445
9.4,4.3972735
9.5,4.789869
9.6,4.3973703
9.7,4.5464573
9.8,4.824352
9.9,6.061595
10.0,4.211473
10.1,4.3462877
10.2,4.31694
10.3,4.258474
10.4,4.84238
10.5,4.160574
10.6,3.0569305
10.7,5.3041854
10.8,5.8171463
10.9,4.67887
11.0,4.8192654
11.1,5.1794825
11.2,4.31926
11.3,5.094923
11.4,4.5536814
11.5,4.6658354
11.6,3.9787962
11.7,4.343369
11.8,4.352676
11.9,4.627996
12.0,4.519596
12.1,4.384962
12.2,3.911123
12.3,3.5593107
12.4,4.6178136
12.5,3.4490237
12.6,3.3088665
12.7,3.1411033
12.8,3.574001
12.9,3.5197012
13.0,3.5730178
13.1,3.7909775
13.2,3.520252
13.3,3.9078329
13.4,3.9357688
13.5,3.6754413
13.6,3.4897301
13.7,4.2740316
13.8,3.7795386
13.9,4.0903873
14.0,3.8623836
14.1,4.8627386
14.2,3.5731294
14.3,3.8718588
14.4,3.5531797
14.5,3.9261825
14.6,4.371548
14.7,4.1372075
14.8,4.6859403
14.9,3.871292
15.0,3.8068721
15.1,3.8121326
15.2,3.5533576
15.3,4.0254235
15.4,3.579897
15.5,3.5757933
15.6,3.5726607
15.7,3.6940987
15.8,3.3061068
15.9,3.4264255
16.0,3.407486
16.1,3.5555959
16.2,3.2393003
16.3,3.701477
16.4,3.6048503
16.5,3.306136
16.6,3.9041393
16.7,3.622224
16.8,3.461384
16.9,3.4615357
17.0,3.685428
17.1,3.55636
17.2,3.932654
17.3,4.37876
17.4,4.481147
17.5,4.2411685
17.6,3.8157268
17.7,4.073095
17.8,3.7903168
17.9,3.4964783
18.0,3.3995297
18.1,3.8616679
18.2,3.6419618
18.3,3.6129267
18.4,3.322469
18.5,3.4633787
18.6,3.41001
18.7,4.603076
18.8,3.4475808
18.9,3.3552842
19.0,3.564057
19.1,3.3019264
19.2,3.3521748
19.3,3.6026554
19.4,3.4373248
19.5,3.3773859
19.6,3.3143969
19.7,3.301756
19.8,3.423487
19.9,3.379554
20.0,3.544627
20.1,3.5977952
20.2,3.1474073
20.3,3.8284724
20.4,3.6156967
20.5,3.6535535
20.6,3.5081055
20.7,3.7003677
20.8,3.33548
20.9,3.5117228
21.0,3.378711
21.1,3.5360985
21.2,4.8834486
21.3,4.6365194
21.4,4.9843946
21.5,4.8924966
21.6,3.9686012
21.7,4.4308352
21.8,3.063626
21.9,3.5112307
22.0,3.2981355
22.1,3.2767076
22.2,3.0322747
22.3,3.5882711
22.4,3.5599422
22.5,3.2603357
22.6,3.664821
22.7,3.257253
22.8,3.3088129
22.9,3.32844
23.0,3.9021661
23.1,3.1886437
23.2,3.4848611
23.3,3.3791978
23.4,3.0181353
23.5,3.5095801
23.6,3.6697652
23.7,3.1174798
23.8,3.3074586
23.9,3.6435015
24.0,3.743793
24.1,3.5866287
24.2,3.4132333
24.3,3.3773959
24.4,3.3081777
24.5,3.450637
24.6,3.3376596
24.7,3.39324
24.8,4.1496744
24.9,4.4699116
25.0,4.259119
25.1,4.2616324
25.2,3.0898633
25.3,3.607074
25.4,4.0428033
25.5,3.938474
25.6,3.7875614
25.7,4.316592
25.8,4.444316
25.9,3.073277
26.0,3.6566133
26.1,3.5324342
26.2,4.0257907
26.3,4.1921124
26.4,3.6842759
26.5,3.6954005
26.6,4.430434
26.7,3.817543
26.8,4.237329
26.9,4.578294
27.0,4.6976504
27.1,3.026827
27.2,3.737865
27.3,3.6681023
27.4,4.1809993
27.5,3.788851
27.6,3.589865
27.7,4.652475
27.8,4.2507405
27.9,4.47666
28.0,4.7493315
28.1,4.139963
28.2,4.237187
28.3,4.380153
28.4,4.7064123
28.5,5.2843986
28.6,5.115452
28.7,4.3950343
28.8,4.548528
28.9,4.3223667
29.0,4.165816
29.1,4.691316
29.2,4.1979604
29.3,4.350359
29.4,4.6396303
29.5,4.540939
29.6,4.3320336
29.7,4.266904
29.8,4.6850276
29.9,4.1268506
30.0,4.6454735
30.1,2.5459883
30.2,3.368386
30.3,3.5881975
30.4,3.5339267
30.5,3.4014394
30.6,3.5219898
30.7,3.0136304
30.8,3.710732
30.9,3.7054152
31.0,3.501927
31.1,3.7110064
31.2,3.5597386
31.3,3.7380612
31.4,3.4828792
31.5,3.9671493
31.6,3.4596765
31.7,3.8069127
31.8,3.317695
31.9,3.6021035
32.0,3.467333
32.1,3.9746442
32.2,3.5554051
32.3,3.8931954
32.4,4.0499964
32.5,4.4479856
32.6,3.5636892
32.7,3.9994082
32.8,3.7730784
32.9,3.6061153
33.0,3.721814
33.1,3.3096218
33.2,3.739239
33.3,3.765647
33.4,3.942253
33.5,3.525269
33.6,3.1987283
33.7,3.2250938
33.8,3.1085591
33.9,3.067454
34.0,3.856088
34.1,3.417233
34.2,3.868832
34.3,3.1521173
34.4,3.6055102
34.5,3.5773995
34.6,3.672431
34.7,3.7768724
34.8,3.1006966
34.9,3.025928
35.0,2.9164042
35.1,2.9306512
35.2,3.8201127
35.3,3.2808208
35.4,3.0538409
35.5,2.7869794
35.6,3.1460714
35.7,2.9788268
35.8,2.6573555
35.9,2.7317886
36.0,3.822337
36.1,2.9678278
36.2,3.908303
36.3,4.1688995
36.4,3.5826356
36.5,3.24548
36.6,2.7703593
36.7,3.2962236
36.8,3.4598556
36.9,3.697022
37.0,3.676113
37.1,3.766609
37.2,3.4429357
37.3,4.215966
37.4,3.8539681
37.5,3.4687219
37.6,3.756055
37.7,3.7661684
37.8,3.166573
37.9,3.6943288
38.0,3.4533207
38.1,3.8079262
38.2,3.5005655
38.3,3.6378796
38.4,3.2715297
38.5,3.4414468
38.6,3.3251572
38.7,3.5387084
38.8,3.2990668
38.9,3.6851547
39.0,3.5107834
39.1,3.670069
39.2,3.4910815
39.3,3.8850963
39.4,3.8846433
39.5,3.704681
39.6,3.629325
39.7,2.8507812
39.8,4.5692563
39.9,4.170664
40.0,4.2820816
40.1,5.7044773
40.2,5.2301807
40.3,5.4823318
40.4,5.7516236
40.5,12.668808
40.6,13.173068
40.7,13.344303
40.8,11.231514
40.9,16.633144
41.0,12.861413
41.1,13.536929
41.2,15.380843
41.3,16.673971
41.4,16.394049
41.5,16.587301
41.6,16.020933
41.7,16.122553
41.8,16.338123
41.9,16.13065
42.0,14.392067
42.1,16.606335
42.2,17.303932
42.3,17.569366
42.4,28.432999
42.5,32.665
42.6,25.617926
42.7,25.37229
42.8,36.41947
42.9,69.729836
43.0,74.02153
43.1,73.62602
43.2,69.67608
43.3,54.670227
43.4,95.839874
43.5,75.2294
43.6,85.987305
43.7,72.854385
43.8,74.37252
43.9,79.21731
44.0,88.673416
44.1,82.10495
44.2,94.21536
44.3,88.96533
44.4,87.3254
44.5,107.02922
44.6,83.71225
44.7,67.75012
44.8,74.961555
44.9,64.79694
45.0,83.358925
45.1,82.338
45.2,77.74972
45.3,59.84657
45.4,52.33417
45.5,51.783043
45.6,67.76406
45.7,63.105938
45.8,64.05357
45.9,48.87623
46.0,49.93872
46.1,79.359856
46.2,46.591686
46.3,44.742672
46.4,39.05424
46.5,70.981895
46.6,91.37585
46.7,49.8646
46.8,49.560204
46.9,92.12558
47.0,86.21636
47.1,80.05125
47.2,74.39539
47.3,64.922356
47.4,76.637764
47.5,52.626633
47.6,49.9121
47.7,41.15038
47.8,52.511456
47.9,60.54304
48.0,57.98909
48.1,91.08132
48.2,54.527004
48.3,85.85389
48.4,38.194057
48.5,43.052017
48.6,45.507008
48.7,61.855618
48.8,62.143593
48.9,56.965267
49.0,39.075474
49.1,41.330357
49.2,42.499325
49.3,61.927925
49.4,55.59734
49.5,54.804653
49.6,79.39882
49.7,75.4486
49.8,59.9972
49.9,50.56888
50.0,47.485126
50.1,54.880936
50.2,55.096416
50.3,52.250786
50.4,54.73135
50.5,53.407555
50.6,54.882305
50.7,61.305984
50.8,72.80728
50.9,56.129337
51.0,61.043453
51.1,61.709972
51.2,71.51921
51.3,71.68374
51.4,65.7494
51.5,63.72792
51.6,41.883347
51.7,29.635391
51.8,24.233591
