time,rmsd
0.0,5.27693e-07
0.1,0.7589409
0.2,0.9489113
0.3,0.8101073
0.4,1.1438546
0.5,0.86444646
0.6,1.0585158
0.7,1.3041735
0.8,1.065653
0.9,1.1230353
1.0,1.0239317
1.1,0.9690395
1.2,0.88859665
1.3,1.2077954
1.4,1.3609687
1.5,1.1743046
1.6,1.3429743
1.7,1.0539469
1.8,1.2897357
1.9,1.5623593
2.0,0.9593355
2.1,1.2747589
2.2,1.1806871
2.3,1.060864
2.4,1.3045022
2.5,1.3451607
2.6,1.1332146
2.7,0.863978
2.8,1.0735645
2.9,1.0726019
3.0,0.8544372
3.1,0.9279913
3.2,0.92022365
3.3,1.0946358
3.4,1.1739703
3.5,1.5206751
3.6,1.376228
3.7,1.6982583
3.8,2.4452596
3.9,2.1387208
4.0,2.2635021
4.1,1.749281
4.2,1.2997932
4.3,1.4016279
4.4,1.5618527
4.5,1.4058659
4.6,1.4094731
4.7,1.3636497
4.8,1.5166951
4.9,1.2965981
5.0,1.2398121
5.1,1.3926599
5.2,1.4826046
5.3,2.1889334
5.4,1.349371
5.5,1.479836
5.6,1.3698517
5.7,1.3805996
5.8,1.7500308
5.9,1.4449507
6.0,1.6828086
6.1,1.9210519
6.2,1.6972923
6.3,2.2500708
6.4,1.4832227
6.5,1.5385606
6.6,1.995123
6.7,1.7991372
6.8,1.9292638
6.9,2.78616
7.0,2.408079
7.1,3.0094202
7.2,2.2529435
7.3,1.7788241
7.4,2.5083354
7.5,2.5584745
7.6,2.710243
7.7,2.116759
7.8,2.3840911
7.9,2.161496
8.0,2.7222416
8.1,2.7382252
8.2,2.8036842
8.3,2.430039
8.4,2.4317305
8.5,2.340671
8.6,2.9111676
8.7,2.455515
8.8,2.594454
8.9,3.0013285
9.0,2.8745396
9.1,3.319064
9.2,3.3487997
9.3,2.9102383
9.4,2.657782
9.5,3.0401814
9.6,3.4275267
9.7,3.1348426
9.8,2.7982087
9.9,3.1183584
10.0,2.9714031
10.1,2.7084534
10.2,3.0017061
10.3,3.535765
10.4,2.3359554
10.5,2.9850426
10.6,2.878715
10.7,3.8164017
10.8,3.1831744
10.9,2.8677382
11.0,2.0933425
11.1,2.9350057
11.2,3.0122073
11.3,2.5776143
11.4,3.6185722
11.5,3.021011
11.6,3.1661499
11.7,3.3833566
11.8,2.8071678
11.9,2.1586502
12.0,2.8505013
12.1,2.7044015
12.2,2.3671129
12.3,2.6841936
12.4,3.0974865
12.5,3.5252151
12.6,3.028548
12.7,3.0687785
12.8,3.2899027
12.9,3.3388646
13.0,3.050787
13.1,3.0392618
13.2,3.6326861
13.3,3.5179574
13.4,3.7813973
13.5,3.7637794
13.6,3.132131
13.7,3.1463842
13.8,3.066504
13.9,2.8979068
14.0,2.8398037
14.1,3.0802329
14.2,3.3883464
14.3,2.8595173
14.4,3.5876102
14.5,3.3143227
14.6,3.1484349
14.7,3.8532991
14.8,2.8454068
14.9,3.0547233
15.0,3.9229352
15.1,3.5138464
15.2,3.8474255
15.3,3.2387943
15.4,3.6654587
15.5,2.799225
15.6,2.9611323
15.7,3.3310628
15.8,2.780496
15.9,3.380272
16.0,3.4378223
16.1,3.73201
16.2,3.2243888
16.3,3.4436054
16.4,4.232672
16.5,4.0549808
16.6,4.1521997
16.7,4.3433475
16.8,4.142519
16.9,3.6977475
17.0,3.348056
17.1,3.581532
17.2,3.4796336
17.3,4.0852485
17.4,4.0054536
17.5,3.574204
17.6,4.043496
17.7,3.1397357
17.8,3.4945016
17.9,2.8912
18.0,3.4168532
18.1,2.7915194
18.2,3.3017066
18.3,3.578607
18.4,3.2496393
18.5,3.122716
18.6,3.4746819
18.7,3.6417413
18.8,3.5585399
18.9,3.4656432
19.0,3.4186378
19.1,3.864336
19.2,3.2758315
19.3,3.426519
19.4,3.245143
19.5,3.128587
19.6,3.5864017
19.7,2.8685968
19.8,2.979331
19.9,3.4844682
20.0,3.1174266
20.1,2.921925
20.2,3.4270363
20.3,3.261487
20.4,3.0075893
20.5,2.8464348
20.6,2.8122866
20.7,3.657804
20.8,3.3849123
20.9,3.7530391
21.0,3.5576785
21.1,3.5242112
21.2,3.7250178
21.3,3.121337
21.4,3.287192
21.5,3.414868
21.6,3.0791187
21.7,3.2837646
21.8,3.3048608
21.9,3.2308874
22.0,3.4786386
22.1,3.267547
22.2,3.1247487
22.3,3.5572214
22.4,3.7728302
22.5,3.524986
22.6,3.7433026
22.7,3.7957485
22.8,3.9464936
22.9,3.5726628
23.0,3.9445505
23.1,3.4382207
23.2,3.9686995
23.3,3.7222176
23.4,3.217746
23.5,3.2216604
23.6,3.294686
23.7,3.8657682
23.8,3.595956
23.9,3.0847688
24.0,3.6514611
24.1,3.1288164
24.2,2.9920166
24.3,3.5314522
24.4,3.9009533
24.5,2.7623723
24.6,3.4971871
24.7,3.6528792
24.8,4.0231
24.9,3.5433671
25.0,3.1855853
25.1,3.3914955
25.2,3.887592
25.3,4.0541134
25.4,3.6534026
25.5,3.8091958
25.6,4.073967
25.7,3.9585333
25.8,3.9473128
25.9,3.7866817
26.0,3.3496845
26.1,3.663669
26.2,4.2946315
26.3,3.8157656
26.4,3.8063958
26.5,3.9157755
26.6,3.5085475
26.7,3.6560524
26.8,3.5115592
26.9,3.222718
27.0,3.7418709
27.1,3.5792322
27.2,3.6451807
27.3,3.4295912
27.4,2.6915848
27.5,3.6129515
27.6,4.2260118
27.7,3.3342154
27.8,3.4561174
27.9,3.342342
28.0,3.51361
28.1,4.423834
28.2,3.972221
28.3,3.6563885
28.4,3.4727452
28.5,3.2592075
28.6,3.9271877
28.7,3.3164623
28.8,3.1098895
28.9,3.0707412
29.0,4.229287
29.1,4.4323955
29.2,4.0328083
29.3,3.307016
29.4,4.289603
29.5,3.757609
29.6,3.6091635
29.7,3.6921828
29.8,3.6420362
29.9,4.2456284
30.0,3.8548212
30.1,3.443187
30.2,4.036853
30.3,3.2785504
30.4,3.8529663
30.5,3.8845773
30.6,3.5463784
30.7,3.9592142
30.8,3.7882347
30.9,3.8813076
31.0,3.6625063
31.1,3.4028354
31.2,3.523152
31.3,3.3860438
31.4,2.9589207
31.5,3.7123847
31.6,3.6823597
31.7,4.1182103
31.8,4.3373322
31.9,4.039848
32.0,3.7254872
32.1,3.677266
32.2,3.874584
32.3,3.7203069
32.4,3.7950597
32.5,4.2529244
32.6,3.9328427
32.7,4.235044
32.8,3.7685015
32.9,4.0216208
33.0,4.417436
33.1,4.0069804
33.2,3.6837075
33.3,3.7255092
33.4,3.7118666
33.5,3.4071681
33.6,3.690467
33.7,3.8880608
33.8,4.0486593
33.9,4.6224403
34.0,4.145266
34.1,3.3584664
34.2,2.8579345
34.3,3.8897054
34.4,3.0845854
34.5,3.831958
34.6,2.9781454
34.7,2.4856627
34.8,2.67153
34.9,2.7376704
35.0,3.0243762
35.1,3.0112057
35.2,2.8682165
35.3,3.3401449
35.4,2.812333
35.5,2.6259396
35.6,3.1451938
35.7,3.37736
35.8,3.0925105
35.9,2.9977808
36.0,3.2519214
36.1,3.17287
36.2,4.363764
36.3,3.9916139
36.4,2.7015593
36.5,3.3421633
36.6,3.4916835
36.7,3.2553887
36.8,3.2868536
36.9,2.9597366
37.0,4.2025247
37.1,3.6298401
37.2,3.6450884
37.3,3.468127
37.4,3.9025536
37.5,3.3271973
37.6,3.1708372
37.7,4.0101547
37.8,4.1713886
37.9,3.3266382
38.0,3.2137554
38.1,3.2371225
38.2,3.4679444
38.3,3.2610977
38.4,3.5779896
38.5,3.3454916
38.6,4.3620133
38.7,3.5384314
38.8,3.6722353
38.9,3.6382422
39.0,3.547696
39.1,3.7024066
39.2,3.9570482
39.3,2.9148123
39.4,3.5627224
39.5,3.7825093
39.6,3.688784
39.7,3.611502
39.8,3.4467764
39.9,3.6689613
40.0,3.5519273
40.1,4.231736
40.2,3.5197163
40.3,4.054194
40.4,3.4979286
40.5,3.5819378
40.6,3.8658135
40.7,3.8879502
40.8,3.5677712
40.9,3.6020212
41.0,3.6446245
41.1,4.629744
41.2,4.093625
41.3,4.2271276
