time,rmsd
0.0,0.0
0.1,0.5695202
0.2,1.0074027
0.3,1.2386693
0.4,0.9736204
0.5,0.73195183
0.6,0.9442394
0.7,0.61158866
0.8,0.66157556
0.9,0.72836816
1.0,0.7085787
1.1,0.87120074
1.2,0.96647626
1.3,0.77681464
1.4,1.2189076
1.5,0.6796913
1.6,1.0833268
1.7,0.7189808
1.8,0.94604206
1.9,1.0061148
2.0,1.1004121
2.1,1.1567807
2.2,0.89806473
2.3,0.8599495
2.4,0.88824344
2.5,0.909568
2.6,1.0796564
2.7,1.0391477
2.8,1.3331926
2.9,1.0725515
3.0,1.1389301
3.1,1.50563
3.2,0.8436978
3.3,0.94736075
3.4,0.68578744
3.5,0.9977447
3.6,0.9245818
3.7,1.0360359
3.8,0.7403856
3.9,0.96638334
4.0,0.82816815
4.1,1.070343
4.2,1.0178304
4.3,0.9895696
4.4,0.99451804
4.5,0.73975253
4.6,1.0000343
4.7,0.7580397
4.8,0.93873537
4.9,1.2016352
5.0,1.6232612
5.1,0.820114
5.2,0.99234855
5.3,1.4360238
5.4,1.2093562
5.5,1.2066234
5.6,1.2300843
5.7,0.9343567
5.8,1.364681
5.9,1.5139519
6.0,1.181974
6.1,1.1909329
6.2,1.0776489
6.3,1.3109055
6.4,1.3764215
6.5,1.64476
6.6,1.5669279
6.7,1.2511095
6.8,1.238917
6.9,1.4189514
7.0,1.4119035
7.1,1.9102025
7.2,1.616301
7.3,1.5627332
7.4,1.6128343
7.5,1.6060287
7.6,1.712939
7.7,1.4915415
7.8,1.4629159
7.9,1.6138434
8.0,1.6466961
8.1,2.0025506
8.2,2.0297573
8.3,2.4525697
8.4,2.2706063
8.5,2.6171901
8.6,2.3663187
8.7,2.5527241
8.8,2.3962233
8.9,2.1913466
9.0,1.9617052
9.1,2.8807428
9.2,2.7438638
9.3,2.4405732
9.4,2.67878
9.5,2.898929
9.6,2.2545512
9.7,2.2538705
9.8,2.6333978
9.9,2.420455
10.0,1.7403624
10.1,1.6183776
10.2,1.632461
10.3,1.6183811
10.4,1.498874
10.5,1.3892493
10.6,1.4881048
10.7,1.8640203
10.8,1.2287729
10.9,1.4153962
11.0,1.6449056
11.1,1.4983472
11.2,1.5014856
11.3,1.5045409
11.4,1.4059749
11.5,1.6353439
11.6,2.0464723
11.7,2.0301304
11.8,1.5477805
11.9,1.9010837
12.0,1.6710571
12.1,2.0119352
12.2,2.7805026
12.3,3.125741
12.4,4.091602
12.5,4.4144235
12.6,4.139471
12.7,3.8910215
12.8,4.0816536
12.9,4.0412946
13.0,4.205048
13.1,3.7259247
13.2,4.1340613
13.3,4.8443327
13.4,4.5097046
13.5,4.169598
13.6,4.424092
13.7,4.604954
13.8,4.4900494
13.9,3.0629883
14.0,3.585031
14.1,3.1618288
14.2,4.1375337
14.3,5.795854
14.4,20.090895
14.5,13.572426
14.6,32.532394
14.7,12.29719
14.8,15.412941
14.9,21.312628
15.0,32.697
15.1,24.626392
15.2,24.545542
15.3,28.929247
15.4,28.475752
15.5,29.384163
15.6,31.002523
15.7,30.71324
15.8,44.442493
15.9,43.28274
16.0,53.592354
16.1,56.585148
16.2,58.242958
16.3,44.089195
16.4,42.548836
16.5,39.87245
16.6,41.71459
16.7,45.17794
16.8,38.01944
16.9,19.67347
17.0,20.19164
17.1,29.516941
17.2,32.984055
17.3,71.75997
17.4,58.18821
17.5,64.81667
17.6,55.03608
17.7,36.515213
17.8,34.51259
17.9,46.7887
18.0,52.5381
18.1,59.618065
18.2,45.43028
18.3,34.87549
18.4,38.61681
18.5,27.24368
18.6,17.80678
18.7,18.951197
18.8,18.129292
18.9,25.897188
19.0,69.480774
19.1,64.09455
19.2,59.2048
19.3,67.037094
19.4,71.73717
19.5,87.581505
19.6,87.567474
19.7,91.70849
19.8,93.49251
19.9,91.30854
20.0,70.601105
20.1,92.09788
20.2,100.42837
20.3,103.638016
20.4,97.6235
20.5,94.90067
20.6,77.604546
20.7,62.341522
20.8,43.01585
20.9,29.51757
21.0,31.340204
21.1,55.460045
21.2,75.99712
21.3,79.078926
21.4,73.48128
21.5,62.587692
21.6,65.88085
21.7,66.24046
21.8,52.81683
21.9,60.070126
22.0,75.64008
22.1,35.91222
22.2,39.94996
22.3,25.503958
22.4,28.189083
22.5,14.762657
22.6,26.663706
22.7,33.63724
22.8,14.51493
22.9,20.969763
23.0,10.773825
23.1,20.141653
23.2,24.045582
23.3,27.478678
23.4,21.051928
23.5,16.141363
23.6,14.817727
23.7,28.378765
23.8,50.940422
23.9,71.98495
24.0,40.752968
24.1,45.118637
24.2,48.58745
24.3,54.50327
24.4,60.408104
24.5,44.184322
24.6,32.200462
24.7,46.332306
24.8,60.10602
24.9,76.59495
25.0,66.30895
25.1,75.62704
25.2,37.383724
25.3,66.86098
25.4,38.901787
25.5,48.703156
25.6,71.028244
25.7,63.87832
25.8,59.46489
25.9,54.824768
26.0,47.096535
26.1,49.201454
26.2,32.24047
26.3,17.119743
26.4,8.068979
26.5,15.163158
26.6,26.86894
26.7,27.746107
26.8,53.590054
26.9,50.364883
27.0,44.67767
27.1,41.853676
27.2,42.254047
27.3,38.514153
27.4,37.54518
27.5,36.480095
27.6,51.220966
27.7,31.68432
27.8,32.691925
27.9,47.928326
28.0,64.765564
28.1,80.61408
28.2,61.761703
28.3,67.15781
28.4,88.237755
28.5,91.33086
28.6,85.32689
28.7,97.94555
28.8,74.10498
28.9,88.84704
29.0,75.3155
29.1,96.77632
29.2,102.55811
29.3,105.83422
29.4,88.2564
29.5,94.00615
29.6,85.31754
29.7,72.29569
29.8,67.79303
29.9,53.220413
30.0,55.212227
30.1,77.50975
30.2,53.963078
30.3,67.09312
30.4,47.60987
30.5,56.377415
30.6,40.81406
30.7,38.00184
30.8,56.580086
30.9,39.98586
31.0,37.240665
31.1,34.47622
31.2,33.47315
31.3,33.563362
31.4,33.81837
31.5,34.106728
31.6,42.361538
31.7,50.4482
31.8,50.890663
31.9,48.598915
32.0,53.27671
32.1,76.37365
32.2,68.54057
32.3,70.78398
32.4,64.77392
32.5,53.746265
32.6,53.031147
32.7,52.763283
32.8,55.72589
32.9,57.451595
33.0,68.94916
33.1,63.617935
33.2,63.510986
33.3,64.54046
33.4,65.16365
33.5,66.37213
33.6,64.53202
33.7,56.610256
33.8,73.34956
33.9,71.594986
34.0,76.983246
34.1,75.90228
34.2,46.906395
34.3,72.66727
34.4,79.71543
34.5,91.45767
34.6,96.571976
34.7,96.43411
34.8,88.34872
34.9,59.25083
35.0,55.66022
35.1,92.30569
35.2,106.62021
35.3,88.58158
35.4,74.05804
35.5,81.37927
35.6,98.629456
35.7,67.2669
35.8,87.66647
35.9,95.10526
36.0,83.48187
36.1,88.318344
36.2,82.683754
36.3,101.0278
36.4,103.12987
36.5,52.37769
36.6,45.472603
36.7,52.593803
36.8,83.66123
36.9,78.16413
37.0,72.72494
37.1,73.66797
37.2,95.29417
37.3,97.21243
37.4,78.49107
37.5,70.800835
37.6,67.10543
37.7,61.92835
37.8,37.408073
37.9,33.493088
38.0,22.398457
38.1,31.297104
38.2,21.744781
38.3,28.295496
38.4,41.59598
38.5,39.36486
38.6,67.44844
38.7,23.343605
38.8,24.427309
38.9,35.293404
39.0,26.067307
39.1,51.11587
39.2,82.97416
39.3,44.191917
39.4,28.860256
39.5,36.200195
39.6,53.98933
39.7,66.68445
39.8,62.978577
39.9,68.429825
40.0,88.61535
40.1,79.0529
40.2,87.52093
40.3,82.34401
40.4,89.52555
40.5,83.78086
40.6,53.574566
40.7,69.22506
40.8,48.23663
40.9,78.869896
41.0,69.21336
41.1,67.30014
41.2,61.135193
41.3,45.640427
41.4,52.33626
41.5,44.95627
41.6,40.646698
41.7,46.882248
41.8,45.47574
41.9,64.80629
42.0,61.239796
42.1,54.036514
42.2,73.60083
42.3,57.475098
42.4,72.69597
42.5,67.65912
42.6,63.61916
42.7,80.96021
42.8,99.25239
42.9,97.11763
43.0,89.22835
43.1,83.29603
43.2,83.99017
43.3,67.07974
43.4,67.048676
43.5,55.555668
43.6,70.34942
43.7,57.52555
43.8,43.93062
43.9,25.842901
44.0,24.46651
44.1,70.27367
44.2,81.30512
44.3,70.37073
44.4,66.1821
44.5,34.305973
44.6,38.74015
44.7,45.30747
44.8,47.278202
44.9,43.9109
45.0,51.079636
45.1,55.862507
45.2,51.825527
45.3,44.49311
45.4,65.62857
45.5,45.78546
45.6,53.21974
45.7,43.301132
45.8,41.756268
45.9,39.664433
46.0,31.73414
46.1,31.47139
46.2,69.5363
46.3,55.305454
46.4,54.26309
46.5,45.61017
46.6,46.07982
46.7,50.507668
46.8,64.92141
46.9,68.823265
47.0,56.390583
47.1,62.432697
47.2,58.22949
47.3,35.736717
47.4,57.039215
47.5,58.78097
47.6,45.76202
47.7,37.192284
47.8,42.117004
47.9,57.144547
48.0,87.022835
48.1,75.59615
48.2,47.40636
48.3,78.839035
48.4,121.51183
48.5,106.7324
48.6,105.801636
48.7,95.58965
48.8,98.28534
48.9,83.57701
49.0,82.13893
49.1,75.33806
