time,rmsd
0.0,2.1061219e-06
0.1,0.9901013
0.2,1.0560685
0.3,0.93190366
0.4,0.8726744
0.5,1.0635537
0.6,1.4562335
0.7,1.3144164
0.8,1.2706226
0.9,0.9475884
1.0,1.3071526
1.1,1.1281518
1.2,0.95781463
1.3,1.062431
1.4,0.8305099
1.5,1.1437902
1.6,1.1784978
1.7,1.3931326
1.8,1.2506037
1.9,1.2313582
2.0,1.7511122
2.1,1.4912051
2.2,1.5948855
2.3,1.2494131
2.4,1.2939297
2.5,1.1969831
2.6,1.1573308
2.7,1.352527
2.8,1.2396382
2.9,1.3919837
3.0,1.7743915
3.1,1.3567075
3.2,2.1533315
3.3,1.4486119
3.4,1.4350321
3.5,1.5303797
3.6,1.6016164
3.7,1.7429087
3.8,1.7841247
3.9,1.2333605
4.0,1.3391088
4.1,1.3851806
4.2,1.5178481
4.3,1.939735
4.4,1.5784019
4.5,1.851609
4.6,1.7684968
4.7,1.8037329
4.8,1.7919536
4.9,1.7237872
5.0,1.5612644
5.1,1.6030984
5.2,1.8544275
5.3,1.6742504
5.4,1.5923591
5.5,2.2858126
5.6,1.5284895
5.7,1.7984666
5.8,2.2538686
5.9,1.7705703
6.0,1.8290048
6.1,1.8809729
6.2,1.8500915
6.3,2.0800877
6.4,1.9986324
6.5,1.5317763
6.6,2.1523976
6.7,1.7283124
6.8,2.0020564
6.9,1.9758599
7.0,2.1033936
7.1,2.5819602
7.2,2.3161702
7.3,2.0415635
7.4,2.323133
7.5,2.4605618
7.6,2.3509347
7.7,2.3060648
7.8,2.5011742
7.9,1.8526201
8.0,1.850172
8.1,2.1673527
8.2,2.2157156
8.3,1.7419403
8.4,2.3154366
8.5,2.3308644
8.6,1.898107
8.7,2.2652073
8.8,2.4486284
8.9,2.5049531
9.0,2.3181496
9.1,2.2701364
9.2,2.286503
9.3,1.8136617
9.4,1.7989526
9.5,1.9648868
9.6,1.9935838
9.7,2.2890313
9.8,2.3090947
9.9,1.9147083
10.0,2.0814092
10.1,2.4273303
10.2,2.1865754
10.3,1.4501263
10.4,2.7524629
10.5,2.5681827
10.6,2.5707104
10.7,2.1376853
10.8,2.2575173
10.9,2.6983361
11.0,2.6587422
11.1,2.689961
11.2,2.3500037
11.3,2.5349023
11.4,2.651654
11.5,2.7168274
