time,rmsd
0.0,4.7102384e-07
0.1,0.98855156
0.2,1.1288608
0.3,1.0430081
0.4,1.2507937
0.5,1.0355318
0.6,1.3063025
0.7,1.2356691
0.8,1.2793174
0.9,2.0255673
1.0,1.3942872
1.1,1.5095454
1.2,1.4234477
1.3,1.4677229
1.4,1.8211405
1.5,1.9687223
1.6,1.4474547
1.7,1.558721
1.8,1.3055739
1.9,1.3232061
2.0,1.9006702
2.1,1.5737269
2.2,1.7095983
2.3,1.215117
2.4,1.5157846
2.5,1.5133454
2.6,1.3341197
2.7,1.4551334
2.8,1.842642
2.9,1.5209914
3.0,1.9940487
3.1,1.5660996
3.2,1.4161962
3.3,1.2996241
3.4,1.587471
3.5,1.4123492
3.6,1.5386112
3.7,1.4716686
3.8,1.5780057
3.9,1.548041
4.0,1.5056863
4.1,1.8531154
4.2,1.5913733
4.3,1.5493642
4.4,1.3672504
4.5,1.6061077
4.6,1.4891024
4.7,1.417025
4.8,1.489462
4.9,1.3698517
5.0,1.61266
5.1,1.9648559
5.2,1.5303088
5.3,1.387585
5.4,1.4813305
5.5,1.3919327
5.6,1.4043207
5.7,1.4450947
5.8,1.4282018
5.9,1.3091993
6.0,1.4149759
6.1,1.3350056
6.2,1.6677133
6.3,1.5217934
6.4,1.5330625
6.5,1.5377641
6.6,1.2500244
6.7,1.3359958
6.8,1.3877332
6.9,1.2139523
7.0,1.2587668
7.1,1.4465734
7.2,1.3835379
7.3,1.4210768
7.4,1.4218887
7.5,1.317842
7.6,1.4535701
7.7,1.6068338
7.8,1.5548986
7.9,1.3729172
8.0,1.2875009
8.1,1.4076518
8.2,1.2570789
8.3,1.4209375
8.4,1.4669971
8.5,1.3738558
8.6,1.4265617
8.7,1.2679595
8.8,1.2559607
8.9,1.6823233
9.0,1.5202059
9.1,1.2951385
9.2,1.160113
9.3,1.4319751
9.4,1.5482954
9.5,1.3245691
9.6,1.5562611
9.7,1.613873
9.8,1.3895706
9.9,1.2600292
10.0,1.5277516
10.1,1.446088
10.2,1.4922622
10.3,1.3743151
10.4,1.5745509
10.5,1.6440074
10.6,1.6021978
10.7,1.4412986
10.8,1.9687341
10.9,1.2798443
11.0,1.3039261
11.1,1.4100261
11.2,1.2711834
11.3,1.2909471
11.4,1.5327559
11.5,1.2518353
11.6,1.6555543
11.7,1.4932514
11.8,1.5539781
11.9,1.6743009
12.0,1.5166329
12.1,1.4127613
12.2,1.4929633
12.3,1.4682583
12.4,1.3202825
12.5,1.5070432
12.6,1.2535948
12.7,1.4611351
12.8,1.7101338
12.9,1.2701528
13.0,1.3194879
13.1,1.2736063
13.2,1.4858986
13.3,1.2855732
13.4,1.4724659
13.5,1.9344594
13.6,1.343964
13.7,1.5229323
13.8,1.3009543
13.9,1.53656
14.0,1.4680989
14.1,1.3245836
14.2,1.5319995
14.3,1.4748755
14.4,1.614287
14.5,1.5297152
14.6,1.4966948
14.7,1.5402982
14.8,1.6126187
14.9,1.6934837
15.0,1.4648136
15.1,1.6064281
15.2,1.8355192
15.3,1.4541332
15.4,1.6334344
15.5,1.5702718
15.6,1.9301395
15.7,1.6178106
15.8,2.042946
15.9,1.8829579
16.0,1.5146594
16.1,1.7236369
16.2,1.8976414
16.3,1.5134882
16.4,1.5237896
16.5,1.4204074
16.6,1.5868001
16.7,1.8564727
16.8,1.9068257
16.9,2.0022326
17.0,2.2253187
17.1,1.8528162
17.2,2.0772228
17.3,2.2544317
17.4,2.236422
17.5,1.995808
17.6,1.7036558
17.7,2.1810048
17.8,1.8364828
17.9,2.3270357
18.0,1.8150651
18.1,2.2720013
18.2,1.9812145
18.3,2.0924506
18.4,1.808705
18.5,2.4276302
18.6,2.331644
18.7,2.0075798
18.8,2.1035347
18.9,2.291823
19.0,1.9322968
19.1,1.8340056
19.2,2.0318553
19.3,2.3374224
19.4,2.3095293
19.5,2.0261989
19.6,2.0866776
19.7,2.4511786
19.8,1.9626299
19.9,2.2402453
20.0,2.1371913
20.1,1.9553981
20.2,2.4352365
20.3,2.16802
20.4,2.1783931
20.5,1.9771651
20.6,2.3689377
20.7,2.381774
20.8,2.3561184
20.9,2.601007
21.0,2.5555384
21.1,2.1822834
21.2,2.2281072
21.3,2.5216641
21.4,2.5099962
21.5,2.2363918
21.6,2.2406356
21.7,1.9547836
21.8,2.1731796
21.9,2.6475866
22.0,2.7669048
22.1,2.5536373
22.2,2.2909222
22.3,2.388869
22.4,2.199255
22.5,2.6325927
22.6,2.4742198
22.7,2.5726135
22.8,2.4084673
22.9,2.181834
23.0,2.263428
23.1,2.0021868
23.2,2.0123594
23.3,2.1338458
23.4,2.1920836
23.5,2.4993181
23.6,2.2767737
23.7,2.4313579
23.8,2.4983594
23.9,2.0818806
24.0,2.507752
24.1,2.3093429
24.2,2.0091026
24.3,2.5701456
24.4,2.2277558
24.5,2.0527158
24.6,2.0914795
24.7,2.4062374
24.8,1.8685557
24.9,2.1808512
25.0,1.9927446
25.1,2.2006385
25.2,1.8852272
25.3,2.3890433
25.4,2.6487799
25.5,2.479131
25.6,2.0740573
25.7,2.0896368
25.8,2.2624705
25.9,2.4914737
26.0,2.424709
26.1,2.7238781
26.2,2.068091
26.3,2.3135517
26.4,2.306762
26.5,2.265584
26.6,2.4976208
26.7,2.0643358
26.8,1.955404
26.9,1.9275652
27.0,1.8219618
27.1,1.934756
27.2,1.9135054
27.3,2.2169497
27.4,2.2071493
27.5,2.3673565
27.6,2.2275188
27.7,2.5428457
27.8,2.2125373
27.9,2.333406
28.0,2.3645082
28.1,2.358115
28.2,2.513537
28.3,1.995693
28.4,2.0828714
28.5,2.0284898
28.6,1.864824
28.7,1.9630197
28.8,1.9270319
28.9,2.3830311
29.0,2.302608
29.1,1.8716575
29.2,2.0129468
29.3,2.1962051
29.4,2.2940226
29.5,2.1487935
29.6,2.0419815
29.7,2.1655197
29.8,1.9331089
29.9,2.0172398
30.0,2.1542675
30.1,1.9721863
30.2,1.9887768
30.3,2.0426178
30.4,2.00981
30.5,2.0073774
30.6,2.047432
30.7,2.059423
30.8,2.4152212
30.9,1.9949795
31.0,2.1304555
31.1,2.1946082
31.2,1.9752232
31.3,1.951045
31.4,2.182816
31.5,2.2762496
31.6,2.2593374
31.7,2.055529
31.8,1.9708983
31.9,2.2154813
32.0,2.0010917
32.1,2.1637063
32.2,2.101678
32.3,2.2797654
32.4,2.0434597
32.5,2.279402
32.6,2.50272
32.7,2.5243607
32.8,2.1128926
32.9,2.2383919
33.0,2.1458485
33.1,2.533341
33.2,2.8909433
33.3,2.7418215
33.4,2.6196935
33.5,2.9349384
33.6,3.8102016
33.7,5.0029254
33.8,5.0896006
33.9,5.9276743
34.0,5.441048
34.1,5.4022794
34.2,5.318105
34.3,5.143805
34.4,5.37416
34.5,5.3893566
34.6,4.8806157
34.7,5.2926536
34.8,4.857895
34.9,5.0189857
35.0,5.4411564
35.1,5.216048
35.2,5.114307
35.3,5.3188057
35.4,6.89024
35.5,5.682373
35.6,5.8725095
35.7,6.1267486
35.8,6.03386
35.9,5.7714252
36.0,6.0873513
36.1,6.209231
36.2,6.0265083
36.3,5.939093
36.4,5.7660375
36.5,6.2427645
36.6,5.7578206
36.7,5.9077005
36.8,5.8016114
36.9,5.7351418
37.0,5.899724
37.1,6.0353284
37.2,6.21958
37.3,6.2988315
37.4,5.680617
37.5,6.16436
37.6,6.0526175
37.7,6.479123
37.8,6.0253563
37.9,7.052165
38.0,6.5908346
38.1,6.1696787
38.2,6.269877
38.3,5.9930434
38.4,6.244294
38.5,6.1989193
38.6,6.6483545
38.7,7.205811
38.8,6.8792963
38.9,6.8665557
39.0,7.148369
39.1,6.963143
39.2,6.9862685
39.3,6.405141
39.4,5.6935287
39.5,6.9124436
39.6,5.933736
39.7,7.0036793
39.8,6.021284
39.9,6.4787326
40.0,6.1456914
40.1,6.765468
40.2,6.4878893
40.3,6.564106
40.4,6.505034
40.5,6.2298756
40.6,5.899699
40.7,6.911558
40.8,7.1309357
40.9,7.03674
41.0,7.4173026
41.1,7.4526844
41.2,7.1515923
41.3,7.1378036
41.4,7.0080457
41.5,6.1852436
41.6,6.716777
41.7,6.1863728
41.8,6.7282887
41.9,6.614832
42.0,6.1662774
42.1,5.9023633
42.2,5.835507
42.3,6.3504934
42.4,5.554493
42.5,5.7690167
42.6,5.827072
42.7,6.502509
42.8,6.2229633
42.9,5.833174
43.0,5.724082
43.1,5.6038523
43.2,5.974412
43.3,5.6882696
43.4,5.5811267
43.5,6.219859
43.6,6.6969137
43.7,6.1490126
43.8,5.8963914
43.9,6.815877
44.0,6.590299
44.1,6.406862
44.2,6.0685396
44.3,7.035362
44.4,6.472403
44.5,6.3467646
44.6,6.2602377
44.7,5.916494
44.8,6.3322024
44.9,6.1201696
45.0,6.283474
45.1,6.273313
45.2,6.2035027
45.3,6.5326257
45.4,5.917829
45.5,5.9501815
45.6,6.1225557
45.7,5.774118
45.8,5.7574434
45.9,6.10654
46.0,6.121451
46.1,5.785425
46.2,6.115418
46.3,6.547858
46.4,6.0673084
46.5,5.6971188
46.6,5.7717085
46.7,6.130549
46.8,6.4250975
46.9,6.2070847
47.0,5.968033
47.1,6.920791
47.2,6.537699
47.3,6.4652157
47.4,6.275889
47.5,5.6402135
47.6,5.7225695
47.7,5.587289
47.8,6.132949
47.9,6.0922847
48.0,6.31854
48.1,6.180726
48.2,6.484509
48.3,6.6001
48.4,6.8529024
48.5,6.755983
48.6,6.387544
48.7,6.5224724
48.8,6.225004
48.9,6.0347867
49.0,6.2821584
49.1,6.9010973
49.2,6.648479
49.3,6.650411
49.4,7.033204
49.5,6.8147125
49.6,6.4553795
49.7,7.6187315
49.8,6.996126
49.9,6.4727263
50.0,7.0662537
50.1,6.761677
50.2,5.8759217
50.3,5.428766
50.4,5.436829
50.5,6.0255504
50.6,5.008522
50.7,5.526551
50.8,6.9275007
50.9,6.6406865
51.0,6.74173
51.1,6.6019874
51.2,6.3891697
51.3,5.9911785
51.4,6.322735
51.5,6.029127
51.6,6.929665
51.7,7.293452
51.8,6.9860396
51.9,6.6025877
52.0,6.1152787
52.1,6.141965
52.2,6.698068
52.3,5.910835
52.4,6.247828
52.5,6.6786804
52.6,6.5881114
52.7,5.5457883
52.8,5.8749037
52.9,5.7342753
53.0,5.3007565
53.1,6.460545
53.2,6.1365876
53.3,6.5981727
53.4,6.253436
53.5,5.9470754
53.6,6.5206585
53.7,6.1872826
53.8,5.775178
53.9,6.311788
54.0,6.037264
54.1,7.080435
54.2,5.998708
54.3,6.27426
54.4,7.5027304
54.5,6.7108274
54.6,6.7139235
54.7,6.1060953
54.8,6.1924067
54.9,5.541648
55.0,6.472817
55.1,6.140409
55.2,6.5597405
55.3,6.708798
55.4,6.9054594
55.5,5.957737
55.6,7.200015
55.7,6.48096
55.8,6.4517612
55.9,6.815119
56.0,6.399932
56.1,6.6851487
56.2,6.4389257
56.3,6.6005096
56.4,6.926755
56.5,6.639098
56.6,6.736691
56.7,6.37258
56.8,6.3383827
56.9,6.378054
57.0,6.2645636
57.1,6.296719
57.2,6.479739
57.3,7.0671015
57.4,7.715015
57.5,6.7798285
57.6,6.329526
57.7,7.112233
57.8,6.921647
57.9,6.692941
58.0,7.2994437
58.1,6.655214
58.2,6.961022
58.3,6.4673104
58.4,7.364771
58.5,7.5531926
58.6,7.1328273
