time,rmsd
0.0,2.022642e-06
0.1,1.434595
0.2,1.0709684
0.3,1.5448633
0.4,2.1704624
0.5,1.6944362
0.6,2.1127708
0.7,1.1589848
0.8,1.8238529
0.9,1.1708912
1.0,1.0094483
1.1,1.3817241
1.2,1.6028342
1.3,1.182963
1.4,1.958428
1.5,1.4486455
1.6,1.2526103
1.7,1.6765172
1.8,1.5547669
1.9,1.589063
2.0,2.5775049
2.1,1.7465118
2.2,2.0485783
2.3,2.19767
2.4,1.9135966
2.5,2.196749
2.6,2.7175245
2.7,1.9871345
2.8,1.9588327
2.9,2.3226247
3.0,2.1522248
3.1,2.3743641
3.2,1.9318733
3.3,1.759779
3.4,1.4434614
3.5,1.7095902
3.6,1.8908982
3.7,2.1531613
3.8,2.2916565
3.9,1.9561429
4.0,1.8908914
4.1,1.9877243
4.2,2.383551
4.3,4.167024
4.4,2.2883213
4.5,3.24234
4.6,3.3602912
4.7,3.0417356
4.8,2.869356
4.9,2.4671388
5.0,2.0821893
5.1,2.0521371
5.2,1.3880113
5.3,1.7471102
5.4,2.611625
5.5,2.0198216
5.6,1.8131664
5.7,1.730284
5.8,1.5823811
5.9,1.5445256
6.0,1.6404116
6.1,2.0736675
6.2,1.6519694
6.3,1.8330234
6.4,2.2581775
6.5,2.3603761
6.6,2.2060454
6.7,1.9839549
6.8,2.3489907
6.9,1.6979846
7.0,2.2415504
7.1,1.8219155
7.2,2.2490993
7.3,2.3880866
7.4,2.077275
7.5,2.292648
7.6,1.6395614
7.7,1.6449804
7.8,2.2032151
7.9,2.704599
8.0,1.956389
8.1,2.232533
8.2,1.9493604
8.3,2.7426167
8.4,3.2569554
8.5,2.977571
8.6,2.7357283
8.7,2.9660811
8.8,2.9179068
8.9,3.215627
9.0,2.5267215
9.1,2.0324216
9.2,2.620468
9.3,2.4197695
9.4,2.7059717
9.5,2.935358
9.6,3.2739842
9.7,2.8336112
9.8,2.8042564
9.9,3.390934
10.0,2.8932123
10.1,3.7706115
10.2,2.8952565
10.3,3.1316376
10.4,3.402113
10.5,3.4326928
10.6,3.2882159
10.7,4.005141
10.8,3.7322288
10.9,3.4932735
11.0,3.878468
11.1,3.8784459
11.2,4.122754
11.3,4.761891
11.4,4.4339447
11.5,4.0973606
11.6,3.6559236
11.7,4.568029
11.8,4.239329
11.9,3.3078778
12.0,3.6746666
12.1,4.897872
12.2,4.003271
12.3,2.6950443
12.4,3.1100597
12.5,2.7660348
12.6,3.6747928
12.7,3.7626143
12.8,2.7603297
12.9,3.127482
13.0,3.0455623
13.1,2.8565943
13.2,2.9887514
13.3,2.7441397
13.4,2.7353227
13.5,3.0352237
13.6,3.601925
13.7,3.219449
13.8,3.57845
13.9,3.4948492
14.0,3.578277
14.1,2.4911737
14.2,3.4391007
14.3,3.1710167
14.4,3.1831064
14.5,3.606908
14.6,3.850133
14.7,4.167475
14.8,3.496068
14.9,3.0708244
15.0,2.5796876
15.1,3.269888
15.2,2.9916852
15.3,2.434964
15.4,3.3505332
15.5,3.020179
15.6,2.6525571
15.7,2.5605602
15.8,2.573685
15.9,2.9587576
16.0,3.376493
16.1,3.8935263
16.2,3.1357474
16.3,3.721593
16.4,4.347587
16.5,3.779724
16.6,3.3260348
16.7,3.7321649
16.8,3.1975367
16.9,3.553154
17.0,2.948393
17.1,3.1677299
17.2,4.2814164
17.3,4.3861947
17.4,5.4051814
17.5,5.3112893
17.6,5.2662716
17.7,4.966797
17.8,4.7163796
17.9,4.9267864
18.0,4.3801947
18.1,4.953741
18.2,4.904323
18.3,5.086383
18.4,5.05319
18.5,4.1259947
18.6,4.1724744
18.7,4.31114
18.8,4.6163125
18.9,3.1136816
19.0,3.5635946
19.1,3.3501215
19.2,3.3466053
19.3,2.7052314
19.4,2.7142923
19.5,2.531421
19.6,2.531309
19.7,2.0516694
19.8,2.9919143
19.9,2.9182503
20.0,2.9971247
20.1,2.6255565
20.2,2.675092
20.3,2.3993263
20.4,2.1876314
20.5,2.2499056
20.6,2.1238878
20.7,2.1297576
20.8,2.3551774
20.9,2.6250243
21.0,2.4211543
21.1,3.027207
21.2,3.000397
21.3,3.1579094
21.4,3.429805
21.5,3.6021519
21.6,3.1837378
21.7,2.8536499
21.8,2.425807
21.9,2.7159057
22.0,3.5360408
22.1,3.549264
22.2,2.4834013
22.3,3.2596939
22.4,3.221295
22.5,2.688146
22.6,2.844305
22.7,2.7280283
22.8,3.4746664
22.9,3.8873148
23.0,3.1035397
23.1,3.2520242
23.2,3.555656
23.3,3.0643406
23.4,2.6439867
23.5,3.0352788
23.6,3.510009
23.7,2.950071
23.8,2.8812096
23.9,3.5905516
24.0,3.1395593
24.1,2.9238794
24.2,3.2678583
24.3,3.644082
24.4,4.102749
24.5,3.270647
24.6,3.419341
24.7,4.183526
24.8,2.85905
24.9,3.3893607
25.0,3.7596402
25.1,4.4116654
25.2,4.5398655
25.3,4.488066
25.4,3.8382158
25.5,3.6021137
25.6,3.9514232
25.7,3.706054
25.8,3.0526304
25.9,2.7749276
26.0,3.5098438
26.1,3.5662138
26.2,4.1747217
26.3,4.397118
26.4,4.005254
26.5,4.3385987
26.6,4.3659854
26.7,4.4188123
26.8,3.7379293
26.9,3.8405495
27.0,4.081732
27.1,4.0977774
27.2,4.335785
27.3,4.0323105
27.4,4.2618628
27.5,3.6951864
27.6,3.5902169
27.7,3.8016615
27.8,4.068641
27.9,3.7815325
28.0,2.8965416
28.1,3.3439074
28.2,4.585007
28.3,4.2849183
28.4,3.0223973
28.5,3.475025
28.6,3.40338
28.7,3.51236
28.8,3.981376
28.9,4.270001
29.0,3.6544077
29.1,4.070619
29.2,5.335276
29.3,4.7493653
29.4,4.5445514
29.5,4.114418
29.6,4.903798
29.7,4.992462
29.8,4.1459765
29.9,4.095798
30.0,3.5340676
30.1,4.5416718
30.2,3.192729
30.3,3.8548388
30.4,4.510973
30.5,4.057305
30.6,4.3535414
30.7,4.2873807
30.8,3.561096
30.9,3.6504927
31.0,4.520231
31.1,3.9808898
31.2,3.3354368
31.3,2.7383816
31.4,3.456985
31.5,3.6189792
31.6,3.9726846
31.7,3.3849525
31.8,3.9417658
31.9,3.251069
32.0,3.5096133
32.1,2.9955513
32.2,2.9882424
32.3,3.0649168
32.4,3.5272975
32.5,3.1323533
32.6,3.330581
32.7,3.0681996
32.8,3.3846033
32.9,3.3453302
33.0,3.3241034
33.1,3.3275592
33.2,3.4075775
33.3,3.054451
33.4,3.4979634
33.5,2.9800556
33.6,3.0559003
33.7,3.2900157
33.8,3.1294994
33.9,3.783713
34.0,3.3307786
34.1,3.5189168
34.2,3.572895
34.3,3.3920565
34.4,3.4318378
34.5,2.8180568
34.6,3.6551557
34.7,3.6911433
34.8,3.0592825
34.9,2.9918535
35.0,2.9322772
35.1,2.938152
35.2,2.7870436
35.3,3.4741688
35.4,2.8416624
35.5,3.4814708
35.6,3.0548975
35.7,3.2961526
35.8,3.4583251
35.9,4.242466
36.0,2.9453523
36.1,3.5175972
36.2,3.2283206
36.3,3.5769124
36.4,3.2713938
36.5,3.6309128
36.6,2.6742172
36.7,3.2613306
36.8,2.933923
36.9,2.423456
37.0,3.101834
37.1,3.2101767
37.2,2.7642028
37.3,2.9886868
37.4,2.5127487
37.5,2.7711952
37.6,2.718065
37.7,3.313514
37.8,2.689473
37.9,2.707551
38.0,2.647398
38.1,2.9096968
38.2,3.408174
38.3,3.9957273
38.4,2.869948
38.5,2.7719588
38.6,2.787202
38.7,3.1227112
38.8,3.2496207
38.9,3.7246525
39.0,3.2194529
39.1,2.9842906
39.2,3.0605893
39.3,3.4400654
39.4,2.980955
39.5,3.0882754
39.6,2.5552573
39.7,2.6121294
39.8,3.2803352
39.9,2.6318662
40.0,3.3423464
40.1,3.080328
40.2,3.4587545
40.3,3.405464
40.4,3.3046842
40.5,3.8384006
40.6,3.2471135
40.7,3.214595
40.8,2.4844596
40.9,3.2100463
41.0,3.147682
41.1,2.8896613
41.2,3.0618825
41.3,3.247059
41.4,3.9370008
41.5,3.3371034
41.6,3.843851
41.7,3.8809297
41.8,3.1343908
41.9,4.151516
42.0,3.4518423
42.1,3.4515386
42.2,4.0846057
42.3,4.090488
42.4,4.1083727
42.5,3.6949487
42.6,3.4508774
42.7,3.3989491
42.8,3.4507859
42.9,2.6255503
43.0,4.2057934
43.1,3.6674805
43.2,3.7850182
43.3,4.127686
43.4,3.809843
43.5,3.7474942
43.6,3.4322867
43.7,3.7172832
43.8,3.8418612
43.9,3.6234157
44.0,3.5111947
44.1,3.8380706
44.2,3.40812
44.3,3.0763497
44.4,3.6597207
44.5,3.7464201
44.6,3.987537
44.7,4.0574403
44.8,3.9526768
44.9,4.610038
45.0,4.3791714
45.1,4.017565
45.2,4.197919
45.3,3.3264923
45.4,2.7837155
45.5,3.6296866
45.6,3.271599
45.7,3.8889544
45.8,3.8583126
45.9,4.418916
46.0,4.0298166
46.1,3.851001
46.2,4.147011
46.3,3.3236043
46.4,4.1303363
46.5,3.7018502
46.6,3.5075583
46.7,3.689354
46.8,3.9356492
46.9,3.4901943
47.0,4.3564506
47.1,4.0304856
47.2,3.8544762
47.3,4.200019
47.4,3.641738
47.5,4.163618
47.6,4.314347
47.7,4.1275363
47.8,3.9479973
47.9,3.5933914
48.0,3.2942486
48.1,4.1618595
48.2,3.1833522
48.3,3.3768535
48.4,3.9383025
48.5,5.1432633
48.6,3.4092917
48.7,3.2638488
48.8,3.0914164
48.9,3.5673115
49.0,3.4859483
49.1,4.001313
49.2,3.607231
49.3,3.7667162
49.4,3.4765613
49.5,3.5146995
49.6,3.6718752
49.7,2.9220958
49.8,3.7774794
49.9,3.2833784
50.0,2.9847035
50.1,2.7960634
50.2,3.3065035
50.3,2.5590913
50.4,3.1711326
50.5,3.2764137
50.6,3.5134158
50.7,3.7231154
50.8,3.7411284
50.9,3.9307153
51.0,3.925754
51.1,3.7952936
51.2,4.0893483
51.3,4.143805
51.4,3.3904414
51.5,4.309078
51.6,4.186643
51.7,3.8828087
51.8,3.9475846
51.9,4.0828414
52.0,4.523272
52.1,3.8226688
52.2,4.188497
52.3,3.3308094
52.4,3.254564
52.5,3.8474493
52.6,4.3580065
52.7,3.275022
52.8,3.4625173
52.9,3.9005196
53.0,2.6225572
53.1,3.283593
53.2,3.996801
53.3,3.7917092
53.4,4.1820965
53.5,4.505368
53.6,4.359342
53.7,4.176565
53.8,3.6350598
53.9,3.05492
54.0,3.4005785
54.1,3.6398492
54.2,3.1120927
54.3,4.220956
54.4,4.2493424
54.5,3.093717
54.6,3.228173
54.7,3.12147
54.8,3.7698152
54.9,3.5261483
55.0,3.562292
55.1,3.8844922
55.2,3.168013
55.3,3.0657957
55.4,3.643983
55.5,3.2688012
55.6,3.8276744
55.7,3.2123537
55.8,3.2446616
55.9,4.1045656
56.0,3.7877073
56.1,3.2784154
56.2,3.473028
56.3,3.7470958
56.4,3.4475467
56.5,3.1602728
56.6,3.1485298
56.7,4.403944
56.8,4.4396114
56.9,4.0677843
57.0,3.8822098
57.1,3.4775076
57.2,3.786636
57.3,2.8039405
57.4,3.2086658
57.5,3.0820596
57.6,3.6865509
57.7,3.5398223
57.8,3.4952166
57.9,3.7171886
58.0,3.7251706
58.1,4.0862594
58.2,3.7109532
58.3,4.3757405
58.4,3.5011754
58.5,3.382487
58.6,3.527358
58.7,3.696235
58.8,3.5894082
58.9,3.3013504
59.0,3.9587255
59.1,3.0106018
59.2,3.5578978
59.3,4.1613746
59.4,4.1385894
59.5,2.6480587
59.6,2.3278315
59.7,3.1868215
59.8,3.2811131
59.9,4.010211
60.0,4.571004
60.1,3.1148884
60.2,2.3780994
