time,rmsd
0.0,0.0
0.1,0.6932665
0.2,1.0259389
0.3,0.47496322
0.4,1.3684412
0.5,1.1638511
0.6,1.0817538
0.7,0.34403938
0.8,0.5507064
0.9,0.7749807
1.0,1.275443
1.1,0.88905126
1.2,0.36025953
1.3,0.960543
1.4,0.32016414
1.5,0.7665847
1.6,0.77207017
1.7,1.5127668
1.8,0.4413291
1.9,1.3180181
2.0,0.56354773
2.1,0.70036066
2.2,0.91582
2.3,0.6028727
2.4,1.3139943
2.5,0.34481344
2.6,0.45003313
2.7,0.37762126
2.8,1.2802485
2.9,1.8170946
3.0,1.7911168
3.1,1.0632564
3.2,0.79539526
3.3,0.70773584
3.4,0.85989994
3.5,0.6705389
3.6,0.7801305
3.7,0.7292287
3.8,0.7002534
3.9,0.75956094
4.0,0.667268
4.1,0.3040961
4.2,0.5269343
4.3,0.5492726
4.4,0.73085016
4.5,0.83980757
4.6,0.67350465
4.7,0.858231
4.8,0.6954863
4.9,0.873366
5.0,0.47268045
5.1,0.6404175
5.2,0.6144281
5.3,0.5661346
5.4,0.43088496
5.5,0.42739105
5.6,0.44799542
5.7,0.78402644
5.8,0.4307814
5.9,0.5272312
6.0,0.70291847
6.1,0.6142107
6.2,0.57407004
6.3,0.72321284
6.4,0.81051594
6.5,0.61216277
6.6,0.62456965
6.7,0.7883571
6.8,0.8639206
6.9,0.783998
7.0,0.5731296
7.1,0.56625473
7.2,0.56380737
7.3,0.70121056
7.4,0.71447533
7.5,0.51063573
7.6,0.5102632
7.7,0.4771202
7.8,0.7074297
7.9,1.4149455
8.0,1.4302045
8.1,0.75751776
8.2,1.000312
8.3,0.4853734
8.4,0.67788434
8.5,0.935687
8.6,0.5670127
8.7,0.6272443
8.8,0.5081722
8.9,0.4178428
9.0,0.47852582
9.1,1.1728204
9.2,0.56747663
9.3,0.36296263
9.4,0.5634466
9.5,0.6171016
9.6,0.6750311
9.7,1.2949013
9.8,0.72147125
9.9,0.5594504
10.0,0.79555726
10.1,0.76826286
10.2,0.780556
10.3,0.62203705
10.4,0.6662612
10.5,0.6732275
10.6,0.4908087
10.7,0.51369715
10.8,0.70034647
10.9,0.50040257
11.0,0.8796984
11.1,1.1717446
11.2,0.79202867
11.3,0.6537145
11.4,0.63978815
11.5,0.52973056
11.6,0.7396694
11.7,0.37736827
11.8,0.584847
11.9,0.65940183
12.0,0.72019905
12.1,0.6128619
12.2,0.7335472
12.3,0.8185922
12.4,0.8056749
12.5,0.6924186
12.6,1.0470831
12.7,1.2527294
12.8,0.4818114
12.9,0.9498766
13.0,0.5323556
13.1,0.72311705
13.2,0.7015856
13.3,0.9176358
13.4,0.6511267
13.5,0.7354774
13.6,0.7257441
13.7,0.5421246
13.8,0.7367299
13.9,0.8230016
14.0,0.71933377
14.1,0.6995923
14.2,0.5272154
14.3,0.76096696
14.4,0.97296005
14.5,1.2184689
14.6,1.0323325
14.7,0.79374343
14.8,0.5324541
14.9,0.6730442
15.0,0.92985207
15.1,0.78234994
15.2,0.6459836
15.3,0.38322896
15.4,0.9630827
15.5,0.7052587
15.6,0.75182754
15.7,0.91515225
15.8,1.3046794
15.9,0.4918546
16.0,0.65428674
16.1,0.767694
16.2,0.5919449
16.3,0.62893933
16.4,0.5537598
16.5,0.42631274
16.6,0.64916635
16.7,0.5010757
16.8,0.5871124
16.9,0.6795035
17.0,1.0616792
17.1,0.6280331
17.2,0.55166996
17.3,0.6021332
17.4,0.61905015
17.5,0.6551604
17.6,0.71274483
17.7,0.69261277
17.8,0.47829956
17.9,0.5528971
18.0,0.71540874
18.1,0.5509543
18.2,0.7253082
18.3,0.94572973
18.4,0.79137367
18.5,0.5913707
18.6,0.72050977
18.7,0.74171484
18.8,0.7737947
18.9,0.6354428
19.0,1.517412
19.1,0.66489565
19.2,0.79667413
19.3,0.7016392
19.4,0.52862006
19.5,0.88868386
19.6,0.78448
19.7,0.62838054
19.8,0.6787193
19.9,0.77465284
20.0,0.7353389
20.1,0.78389066
20.2,1.3775071
20.3,0.4314577
20.4,0.3467694
20.5,0.6737292
20.6,0.48245716
20.7,0.7228592
20.8,0.6216813
20.9,1.2800118
21.0,0.5222919
21.1,0.5933455
21.2,0.7052819
21.3,0.55772126
21.4,0.965647
21.5,0.6912288
21.6,0.6640726
21.7,0.6125258
21.8,0.79389733
21.9,0.38634375
22.0,1.6938051
22.1,0.64993787
22.2,0.95714885
22.3,0.9886881
22.4,0.54096335
22.5,1.1982442
