time,rmsd
0.0,8.9188734e-07
0.1,0.9443721
0.2,0.77438504
0.3,1.0381073
0.4,0.98354363
0.5,0.98152524
0.6,0.8433491
0.7,1.0027764
0.8,0.8921904
0.9,0.8792346
1.0,0.9198241
1.1,0.95446116
1.2,0.8136313
1.3,0.8924283
1.4,1.0032216
1.5,0.7292633
1.6,0.96003884
1.7,0.869212
1.8,1.0527508
1.9,1.438205
2.0,1.226141
2.1,1.5530717
2.2,1.3059008
2.3,1.3028255
2.4,1.3656743
2.5,1.1698376
2.6,1.1444129
2.7,1.052132
2.8,1.4388894
2.9,1.1888992
3.0,1.3714244
3.1,1.5207527
3.2,1.0965182
3.3,1.0349222
3.4,1.62962
3.5,1.3117418
3.6,1.2987587
3.7,1.2677913
3.8,1.6014769
3.9,1.1940099
4.0,1.2597393
4.1,1.4679542
4.2,1.4901611
4.3,1.1613948
4.4,1.2128636
4.5,1.18574
4.6,1.6280906
4.7,1.7247217
4.8,1.6118388
4.9,1.5598211
5.0,1.8498963
5.1,1.3408974
5.2,1.9695207
5.3,1.8188798
5.4,2.1377265
5.5,1.9854383
5.6,1.6526366
5.7,2.4120107
5.8,2.0177648
5.9,1.864348
6.0,1.8211613
6.1,1.7876999
6.2,1.6948427
6.3,1.5804007
6.4,2.0594916
6.5,1.9670073
6.6,1.8224901
6.7,2.0738432
6.8,2.012728
6.9,2.2241485
7.0,1.7043892
7.1,1.8208671
7.2,1.446811
7.3,1.4534273
7.4,1.6387383
7.5,1.6319954
7.6,1.6175522
7.7,1.5850784
7.8,1.8718209
7.9,2.267327
8.0,1.9455775
8.1,1.902371
8.2,1.7221175
8.3,1.7548869
8.4,2.0945609
8.5,1.7570438
8.6,2.5128658
8.7,2.206909
8.8,1.8540739
8.9,1.7051198
9.0,1.8141502
9.1,2.0240438
9.2,1.6808394
9.3,1.8598611
9.4,2.4183307
9.5,1.9426755
9.6,2.1268017
9.7,2.3575249
9.8,2.5019965
9.9,2.1647606
10.0,2.6367948
10.1,1.9395301
10.2,1.705264
10.3,2.4772108
10.4,2.20271
10.5,1.9935961
10.6,2.4053936
10.7,2.3191226
10.8,1.787441
10.9,2.3717175
11.0,2.9892662
11.1,2.5334775
11.2,1.8998933
11.3,2.7083375
11.4,2.4380016
11.5,2.8642998
11.6,2.6215596
11.7,2.703288
11.8,2.8609076
11.9,2.7002292
12.0,2.7959695
12.1,2.3040037
12.2,2.2978778
12.3,2.8021486
12.4,2.6943629
12.5,2.7417402
12.6,2.535632
12.7,3.0540776
12.8,2.5057673
12.9,2.3545988
13.0,2.7804182
13.1,2.7341032
13.2,2.6939507
13.3,2.6899772
13.4,2.4586523
13.5,2.8082654
13.6,2.800859
13.7,2.337642
13.8,2.4947932
13.9,2.9059875
14.0,3.5003388
14.1,3.399437
14.2,3.5402396
14.3,4.0036902
14.4,3.8889108
14.5,4.255545
14.6,5.3263273
14.7,4.987626
14.8,4.4365325
14.9,4.1194286
15.0,4.4589977
15.1,3.781022
15.2,4.8757834
15.3,4.2734237
15.4,4.0834117
15.5,4.6514573
15.6,5.1955533
15.7,4.358921
15.8,4.422166
15.9,4.4961033
16.0,4.716725
16.1,5.382482
16.2,4.8522415
16.3,4.8740644
16.4,4.7686114
16.5,4.837757
16.6,5.1169853
16.7,5.0057335
16.8,5.3311214
16.9,5.674527
17.0,5.0432124
17.1,4.7239757
17.2,5.3019533
17.3,5.574594
17.4,5.2712736
17.5,4.973003
17.6,5.5390368
17.7,4.761477
17.8,6.028048
17.9,6.7940245
18.0,7.7206025
18.1,7.7986298
18.2,7.496595
18.3,7.040412
18.4,7.2629504
18.5,7.807225
18.6,7.7235994
18.7,7.5336947
18.8,8.223312
18.9,7.564367
19.0,7.4793878
19.1,7.9761343
19.2,7.5002923
19.3,7.1742015
19.4,7.360172
19.5,7.681025
19.6,7.454507
19.7,7.4945602
19.8,8.050409
19.9,7.7991257
20.0,7.672673
20.1,7.55467
20.2,7.290513
20.3,7.642413
20.4,6.949888
20.5,7.208901
20.6,6.802582
20.7,6.721792
20.8,6.326802
20.9,7.2280273
21.0,7.1979103
21.1,7.5386324
21.2,7.182787
21.3,7.40442
21.4,6.477029
21.5,6.885613
21.6,6.734818
21.7,6.5908766
21.8,7.0192933
21.9,6.521552
22.0,7.4449215
22.1,7.121257
22.2,7.2627397
22.3,6.409751
22.4,6.398771
22.5,6.952184
22.6,6.991948
22.7,6.5184784
22.8,6.636975
22.9,6.713066
23.0,6.507969
23.1,6.350978
23.2,6.699955
23.3,6.5947094
23.4,6.292851
23.5,6.6945944
23.6,6.79224
23.7,6.404679
23.8,6.5196567
23.9,8.046537
24.0,7.1107073
24.1,6.874697
24.2,6.4325128
24.3,8.433219
24.4,7.5734105
24.5,8.027499
24.6,7.5658894
24.7,7.415576
24.8,7.4980755
24.9,7.823492
25.0,7.4166107
25.1,7.158579
25.2,7.378393
25.3,7.703559
25.4,8.127649
25.5,7.9946938
25.6,8.211598
25.7,7.456732
25.8,7.74389
25.9,7.8845296
26.0,7.6809855
26.1,7.5496235
26.2,7.6164374
26.3,7.276601
26.4,7.587954
26.5,7.64708
26.6,7.325562
26.7,7.4916058
26.8,7.4408402
26.9,7.9749928
27.0,7.976212
27.1,7.761933
27.2,7.747394
27.3,7.505148
27.4,7.467776
27.5,7.755141
27.6,7.590096
27.7,7.7303367
27.8,7.9854794
27.9,7.8268123
28.0,7.682091
28.1,7.4063215
28.2,7.2999864
28.3,7.623529
28.4,7.6707435
28.5,7.9336214
28.6,7.7031384
28.7,7.6915607
28.8,7.0555406
28.9,7.088091
29.0,7.264677
29.1,8.171237
29.2,7.6098857
29.3,7.9029274
29.4,7.9824395
29.5,7.9758887
29.6,7.3019266
29.7,7.712793
29.8,7.599776
29.9,7.411786
30.0,7.1384745
30.1,7.9654427
30.2,7.79178
30.3,7.841127
30.4,7.5261927
30.5,7.482523
30.6,7.5436244
30.7,8.399726
30.8,7.7314925
30.9,7.7072897
31.0,7.7547774
31.1,7.7545314
31.2,7.962459
31.3,7.464944
31.4,7.5882072
31.5,7.4328265
31.6,7.879446
31.7,7.5936413
31.8,7.385213
31.9,8.362093
32.0,8.099057
32.1,7.7461324
32.2,7.764601
32.3,7.6893864
32.4,7.7033587
32.5,8.1925955
32.6,8.139951
32.7,7.7707634
32.8,7.574648
32.9,7.47374
33.0,7.678243
33.1,8.104201
33.2,8.268774
33.3,8.036775
33.4,7.5780835
33.5,7.834416
33.6,7.4049435
33.7,7.077763
33.8,7.254081
33.9,7.25032
34.0,7.8964725
34.1,7.5081835
34.2,6.7828507
34.3,7.4485836
34.4,7.434371
34.5,7.5444546
34.6,7.4759936
34.7,7.8570266
34.8,7.362938
34.9,7.54128
35.0,7.637245
35.1,8.764018
35.2,7.718004
35.3,8.310193
35.4,8.299803
35.5,8.010423
35.6,8.342329
35.7,7.321683
35.8,7.7887473
35.9,8.229738
36.0,8.37031
36.1,8.272173
36.2,8.137151
36.3,8.004844
