time,rmsd
0.0,2.1731029e-07
0.1,0.88395184
0.2,1.0273793
0.3,0.9590012
0.4,0.92973876
0.5,1.2086943
0.6,1.217335
0.7,0.92609817
0.8,1.0184046
0.9,0.96552235
1.0,1.3323815
1.1,1.1333754
1.2,1.0215398
1.3,0.92624915
1.4,0.9704434
1.5,0.9655289
1.6,1.1339961
1.7,1.1612358
1.8,0.9354627
1.9,1.2517831
2.0,1.26405
2.1,1.1028866
2.2,1.0459094
2.3,1.1532472
2.4,1.2375505
2.5,0.98447174
2.6,1.0122263
2.7,1.1584665
2.8,0.8746431
2.9,1.3020195
3.0,1.0426642
3.1,1.1181022
3.2,1.2016193
3.3,1.6079499
3.4,1.2686292
3.5,1.3480278
3.6,1.0353101
3.7,1.3419386
3.8,0.8622072
3.9,1.4806242
4.0,1.2648349
4.1,1.1458976
4.2,1.2593576
4.3,1.5455114
4.4,0.9945979
4.5,1.2321448
4.6,1.1005899
4.7,1.2204806
4.8,0.94164455
4.9,1.2840658
5.0,1.1929815
5.1,1.5358424
5.2,1.1832708
5.3,1.0463196
5.4,1.0203024
5.5,1.2944431
5.6,1.181551
5.7,0.97002304
5.8,0.9996127
5.9,1.2739801
6.0,1.6610179
6.1,1.643499
6.2,1.2741896
6.3,1.108776
6.4,1.4109188
6.5,1.3420691
6.6,1.4364638
6.7,1.5141983
6.8,1.6369662
6.9,1.6084386
7.0,1.037625
7.1,1.4914709
7.2,1.0397187
7.3,0.89117014
7.4,1.310885
7.5,0.9978789
7.6,1.0965837
7.7,1.2084484
7.8,1.3248081
7.9,1.237096
8.0,0.89964294
8.1,0.9324864
8.2,1.0006973
8.3,0.98350424
8.4,1.064597
8.5,1.0649062
8.6,0.9317429
8.7,1.1112868
8.8,1.2414911
8.9,0.98941237
9.0,1.0112607
9.1,0.9507056
9.2,1.1526618
9.3,0.8922668
9.4,1.0379078
9.5,1.0486791
9.6,1.238518
9.7,1.1318078
9.8,1.0993295
9.9,0.93361104
10.0,0.92861664
10.1,1.1830988
10.2,1.1308755
10.3,1.1716796
10.4,1.2377607
10.5,1.3971183
10.6,1.2783802
10.7,1.117739
10.8,1.1182439
10.9,1.110935
11.0,1.2936
11.1,1.1960282
11.2,1.0763017
11.3,1.4465932
11.4,1.2699169
11.5,1.4439611
11.6,1.5884095
11.7,1.0885289
11.8,1.09845
11.9,1.3892229
12.0,1.1310436
12.1,1.0476156
12.2,1.0756742
12.3,1.1239177
12.4,1.3880596
12.5,1.0189476
12.6,1.2094886
12.7,1.1123737
12.8,1.3765094
12.9,1.3251245
13.0,1.0880605
13.1,1.1919878
13.2,1.2319905
13.3,1.1800337
13.4,1.1510818
13.5,1.3593158
13.6,1.113085
13.7,0.94161737
13.8,1.0391876
13.9,1.2955223
14.0,1.2023265
14.1,1.136912
14.2,1.1197616
14.3,1.1065065
14.4,1.2454989
14.5,1.4919555
14.6,1.4563998
14.7,1.2063736
14.8,1.4560506
14.9,1.15868
15.0,1.0713545
15.1,1.1109178
15.2,1.4828433
15.3,1.3508497
15.4,1.1449589
15.5,1.181765
15.6,1.2243727
15.7,1.1192209
15.8,1.3058226
15.9,1.2154387
16.0,1.2389288
16.1,1.1900516
16.2,1.0842338
16.3,1.2501256
16.4,1.247131
16.5,1.0673916
16.6,1.004683
16.7,1.156545
16.8,1.1713254
16.9,1.2849789
17.0,1.4108434
17.1,1.15277
17.2,1.0519016
17.3,1.1373056
17.4,1.3589664
17.5,1.1204622
17.6,1.0363177
17.7,1.1154525
17.8,1.1502515
17.9,1.2304643
18.0,0.9957518
18.1,1.0879177
18.2,1.1184015
18.3,1.3005072
18.4,1.1508262
18.5,1.104666
18.6,1.2780257
18.7,1.5938796
18.8,1.4538223
18.9,1.4382764
19.0,1.2557752
19.1,1.3921413
19.2,1.171384
19.3,1.2410384
19.4,1.5064323
19.5,1.5623735
19.6,1.5585146
19.7,1.3701342
19.8,1.6131612
19.9,1.3238685
20.0,1.0797306
20.1,1.6098894
20.2,1.3479692
20.3,1.4490515
20.4,1.3405491
20.5,1.39299
20.6,1.3675779
20.7,1.7424598
20.8,1.1912509
20.9,1.1928718
21.0,1.4158356
21.1,2.0464246
21.2,1.5288507
21.3,1.721403
21.4,1.5852013
21.5,1.7247404
21.6,1.6924883
21.7,1.7494569
21.8,1.7382711
21.9,1.5215949
22.0,1.9491518
22.1,2.426448
22.2,1.5803761
22.3,1.5556017
22.4,1.4925833
22.5,1.4183893
22.6,1.704759
22.7,1.7757355
22.8,1.8026873
22.9,1.5142363
23.0,1.5188278
23.1,2.0010004
23.2,2.00226
23.3,2.0813448
23.4,1.7382238
23.5,2.3767362
23.6,1.413235
23.7,1.9071968
23.8,2.0069585
23.9,1.8989943
24.0,1.6639977
24.1,1.9487541
24.2,1.5229325
24.3,1.772646
24.4,2.0920641
24.5,1.8256117
24.6,2.0346558
24.7,1.8504016
24.8,2.191341
24.9,2.0555832
25.0,2.2434998
25.1,1.8190484
25.2,1.9614918
25.3,1.9174409
25.4,2.4156373
25.5,1.8818771
25.6,2.0809522
25.7,1.6943996
25.8,1.8934183
25.9,1.547449
26.0,1.6142346
26.1,1.6580386
26.2,2.1335285
26.3,1.891545
26.4,2.1804473
26.5,1.8686937
26.6,1.8454504
26.7,1.8680612
26.8,2.0994973
26.9,2.0512652
27.0,2.0357082
27.1,1.7398003
27.2,1.8995169
27.3,2.035918
27.4,1.898394
27.5,1.7944547
27.6,2.0630078
27.7,1.7660879
27.8,2.160589
27.9,1.9203008
28.0,2.1476917
28.1,1.805191
28.2,1.9587996
28.3,2.3837686
28.4,1.9364212
28.5,2.0850012
28.6,2.124228
28.7,1.827508
28.8,1.6341777
28.9,1.720679
29.0,2.2978528
29.1,2.084866
29.2,1.7698156
29.3,1.9784257
