time,rmsd
0.0,0.0
0.1,0.5371665
0.2,0.505263
0.3,0.71669817
0.4,0.45958102
0.5,0.4054328
0.6,0.9346171
0.7,0.7192449
0.8,0.60764444
0.9,0.76657945
1.0,0.8254876
1.1,0.6790283
1.2,0.8301626
1.3,0.840671
1.4,0.71522963
1.5,0.785392
1.6,0.6559997
1.7,0.9120651
1.8,0.7085366
1.9,0.61393845
2.0,0.9288889
2.1,0.7877911
2.2,0.92983294
2.3,0.71816266
2.4,0.6143528
2.5,0.8523017
2.6,1.102824
2.7,0.5776733
2.8,0.59042716
2.9,0.8558633
3.0,0.8270202
3.1,1.0439752
3.2,0.8397781
3.3,0.7857226
3.4,0.68184847
3.5,0.83468777
3.6,0.7681666
3.7,0.7169649
3.8,0.795405
3.9,0.69448173
4.0,0.71137977
4.1,1.0513413
4.2,1.1177051
4.3,0.67705286
4.4,0.777937
4.5,0.55774325
4.6,0.39917645
4.7,0.5619753
4.8,0.6922723
4.9,0.92478263
5.0,0.8045195
5.1,0.63477653
5.2,0.8884208
5.3,0.5945487
5.4,0.6699013
5.5,0.54066163
5.6,0.87899673
5.7,0.7733714
5.8,0.9778436
5.9,0.7632875
6.0,0.77818424
6.1,0.9022601
6.2,0.74301296
6.3,0.61818385
6.4,0.7691591
6.5,0.9484023
6.6,0.8884075
6.7,0.4526854
6.8,0.91146415
6.9,0.7572172
7.0,1.0580845
7.1,0.99909526
7.2,0.7697313
7.3,0.8700335
7.4,0.39978278
7.5,0.3219583
7.6,0.67818254
7.7,0.3174579
7.8,0.48754698
7.9,0.21983464
8.0,0.79845995
8.1,0.70072603
8.2,0.61465347
8.3,0.5257302
8.4,0.4921647
8.5,0.90465945
8.6,0.678979
8.7,0.8334123
8.8,0.6611201
8.9,0.7026294
9.0,0.8762271
9.1,0.7089712
9.2,0.7709195
9.3,0.8331869
9.4,0.77176356
9.5,0.78579646
9.6,0.83493614
9.7,0.71567124
9.8,0.6898455
9.9,0.7042819
10.0,1.0120348
10.1,0.954892
10.2,0.36179513
10.3,0.49819157
10.4,0.5400802
10.5,0.68241256
10.6,0.25566924
10.7,0.25609204
10.8,0.6469594
10.9,0.42963368
11.0,0.7273396
11.1,0.88894546
11.2,0.80086654
11.3,0.76261824
11.4,0.6968788
11.5,0.63577205
11.6,0.84431124
11.7,0.7352897
11.8,0.95984083
11.9,0.6643883
12.0,0.6383881
12.1,0.44912034
12.2,0.3348318
12.3,0.516638
12.4,0.5407254
12.5,0.49228063
12.6,0.16323319
12.7,0.30533445
12.8,0.515322
12.9,0.33394605
13.0,0.33541808
13.1,0.30057693
13.2,0.51983255
13.3,0.26387087
13.4,0.44256136
13.5,0.44715655
13.6,0.44902578
13.7,0.41958463
13.8,0.20261163
13.9,0.36521584
14.0,0.9350099
14.1,0.9073494
14.2,0.8283504
14.3,0.98475224
14.4,0.9028023
14.5,0.8563462
14.6,0.6781856
14.7,0.8479859
14.8,0.99916035
14.9,0.9760834
15.0,1.116413
15.1,0.6745175
15.2,0.9012853
15.3,0.45956242
15.4,0.48863462
15.5,0.8529596
15.6,1.0244116
15.7,1.364938
15.8,1.12243
15.9,1.1171386
16.0,1.1630403
16.1,0.9887675
16.2,1.2132924
16.3,1.0913999
16.4,1.0582495
16.5,1.4733671
16.6,1.2059671
16.7,1.2013919
16.8,0.9194131
16.9,1.2296
17.0,0.91031903
17.1,0.8634722
17.2,0.97537124
17.3,0.9205707
17.4,0.8235577
17.5,1.0794803
17.6,1.1737919
17.7,1.1343938
17.8,1.0763198
17.9,1.0053657
18.0,0.9935885
18.1,0.8506428
18.2,1.0334693
18.3,1.0754927
18.4,1.5154953
18.5,1.1268777
18.6,1.1720362
18.7,1.1378454
18.8,1.3070992
18.9,1.1161996
19.0,1.2239317
19.1,1.004644
19.2,1.1331996
19.3,1.1777161
19.4,1.2397319
19.5,1.3087885
19.6,1.1466013
19.7,1.1876639
19.8,1.1786754
19.9,1.3335819
20.0,1.3494338
20.1,1.5219209
20.2,1.3308115
20.3,1.2554388
20.4,1.5396832
20.5,1.2135831
20.6,1.4324257
20.7,1.4659873
20.8,1.3583127
20.9,1.092323
21.0,1.3180938
21.1,1.3473921
21.2,1.2549326
21.3,1.246714
21.4,1.0759302
21.5,1.1005183
21.6,1.3993499
21.7,1.1656857
21.8,1.3026938
21.9,0.9359314
22.0,1.1640966
22.1,1.0108523
22.2,1.0207021
22.3,1.2863166
22.4,1.4330105
22.5,1.2424607
22.6,1.3126526
22.7,1.3928716
22.8,0.9030861
22.9,0.817405
23.0,0.7880726
23.1,1.1540848
23.2,1.1895834
23.3,1.8658271
23.4,1.682257
23.5,1.2662824
23.6,1.5592219
23.7,2.3681018
23.8,2.2041507
23.9,1.9019842
24.0,2.2863967
24.1,2.1159463
24.2,1.3049632
24.3,2.3945274
24.4,2.1495175
24.5,1.1664889
24.6,2.198036
24.7,2.0278296
24.8,1.7062054
24.9,2.070121
25.0,2.0664718
25.1,1.2509854
25.2,1.6632279
25.3,1.2079405
25.4,2.0672388
25.5,2.2185016
25.6,2.6073482
25.7,1.918175
25.8,2.3526936
25.9,2.0954485
26.0,2.2968352
26.1,2.002898
26.2,2.05786
26.3,2.2751293
26.4,2.0377707
26.5,1.9557742
26.6,1.9302064
26.7,1.8128716
26.8,1.819648
26.9,2.1039202
27.0,2.029822
27.1,1.9823763
27.2,2.2080824
27.3,2.3157926
27.4,2.3230295
27.5,1.8438312
27.6,2.1659853
27.7,2.4450886
27.8,2.1288052
27.9,2.1172736
28.0,2.4712713
28.1,2.77939
28.2,2.3148298
28.3,2.468607
28.4,2.4034736
28.5,2.2961643
28.6,2.34562
28.7,2.245267
28.8,2.1691558
28.9,2.373954
29.0,2.1002457
29.1,2.1183298
29.2,1.8257035
29.3,1.9180454
29.4,2.080081
29.5,2.1269588
29.6,1.6243906
29.7,1.2748039
29.8,1.6696026
29.9,1.4171361
30.0,1.8832304
30.1,1.8404906
30.2,2.4646099
30.3,2.9539633
30.4,4.9135
30.5,4.7732735
30.6,4.889584
30.7,5.0691614
30.8,4.8303547
30.9,4.956269
31.0,4.962231
31.1,4.765829
31.2,5.353393
31.3,6.0034165
31.4,5.632171
31.5,5.085453
31.6,4.984283
31.7,5.28677
31.8,5.179965
31.9,4.9105015
32.0,5.0930924
32.1,4.9700108
32.2,4.7828946
32.3,4.8260202
32.4,4.743789
32.5,4.856444
32.6,4.810451
32.7,4.942904
32.8,4.9619465
32.9,4.8787336
33.0,4.701519
33.1,4.860406
33.2,5.4029493
33.3,5.13331
33.4,4.8804107
33.5,5.2930765
33.6,4.695168
33.7,4.899365
33.8,5.356008
33.9,5.2543573
34.0,5.485123
34.1,4.9362197
34.2,4.813571
34.3,4.736211
34.4,4.8791275
