time,rmsd
0.0,1.0218662e-06
0.1,0.7882037
0.2,0.9132544
0.3,1.1341217
0.4,0.90012795
0.5,1.2949814
0.6,0.8009272
0.7,0.96043795
0.8,0.8939706
0.9,0.876231
1.0,0.9954131
1.1,1.3164185
1.2,1.0965033
1.3,0.9814043
1.4,0.9738305
1.5,1.5668082
1.6,1.087608
1.7,1.270603
1.8,1.601544
1.9,1.573282
2.0,1.425392
2.1,1.1484972
2.2,1.3584325
2.3,1.0381753
2.4,1.3285437
2.5,1.1516213
2.6,0.95991296
2.7,1.1840723
2.8,0.95336336
2.9,0.9996463
3.0,1.0346531
3.1,1.3164479
3.2,1.304608
3.3,1.2570822
3.4,1.599128
3.5,1.3468714
3.6,1.0081763
3.7,0.9300774
3.8,1.0602407
3.9,0.8943197
4.0,1.2494154
4.1,0.9583389
4.2,1.3044316
4.3,1.2802442
4.4,1.006638
4.5,1.0308077
4.6,1.1665493
4.7,0.93369395
4.8,1.0665202
4.9,1.1843841
5.0,1.129881
5.1,1.1230799
5.2,1.2714791
5.3,1.0557545
5.4,1.0983516
5.5,1.0261168
5.6,1.2535403
5.7,1.3636338
5.8,1.0404711
5.9,1.1754316
6.0,1.1930525
6.1,1.2421373
6.2,1.2397006
6.3,1.2302651
6.4,1.1740775
6.5,1.2077724
6.6,1.1923023
6.7,1.2264622
6.8,1.1790807
6.9,1.2115608
7.0,1.2226892
7.1,1.2662727
7.2,1.6056901
7.3,1.4472597
7.4,1.18892
7.5,1.147943
7.6,1.170408
7.7,1.0602275
7.8,1.2322581
7.9,1.218573
8.0,1.1691542
8.1,1.2391334
8.2,1.1803592
8.3,1.4808251
8.4,1.128689
8.5,1.1406754
8.6,1.0839005
8.7,1.2519189
8.8,1.3049858
8.9,1.1580952
9.0,1.2938236
9.1,1.2347143
9.2,1.1197339
9.3,1.3310932
9.4,1.2700354
9.5,0.9909445
9.6,1.196846
9.7,1.204519
9.8,1.3430302
9.9,1.2291813
10.0,1.1763003
10.1,1.1989723
10.2,1.3402215
10.3,1.2229315
10.4,1.3748178
10.5,1.2153249
10.6,1.1960537
10.7,1.4344172
10.8,1.1379423
10.9,1.3510767
11.0,1.4106286
11.1,1.4127374
11.2,1.5620502
11.3,1.4124354
11.4,1.3477186
11.5,1.6124842
11.6,1.4812961
11.7,1.5268472
11.8,1.5039064
11.9,1.4664595
12.0,1.2897484
12.1,1.6157771
12.2,1.4985458
12.3,1.5143168
12.4,1.3410827
12.5,1.6706702
12.6,1.364508
12.7,1.3212343
12.8,1.4428926
12.9,1.31475
13.0,1.6889933
13.1,1.3834605
13.2,1.3618965
13.3,1.3112277
13.4,1.306705
13.5,1.4001921
13.6,1.2811388
13.7,1.2212936
13.8,1.2366314
13.9,1.3486769
14.0,1.3987198
14.1,1.1221805
14.2,1.2336879
14.3,1.2963833
14.4,1.3751582
14.5,1.4258342
14.6,1.3606064
14.7,1.2797507
14.8,1.535414
14.9,1.8004597
15.0,1.8477138
15.1,1.3481156
15.2,1.5806246
15.3,1.2699155
15.4,1.3717242
15.5,1.3213005
15.6,1.3133942
15.7,1.4299703
15.8,1.3680843
15.9,1.6695993
16.0,1.7243439
16.1,1.8387374
16.2,1.3933984
16.3,1.6505224
16.4,1.80056
16.5,1.564796
16.6,2.0237715
16.7,1.511324
16.8,2.0104501
16.9,1.8279772
17.0,1.5911677
17.1,1.8141315
17.2,1.8328735
17.3,1.8657377
17.4,1.7838783
17.5,1.7112752
17.6,1.8161131
17.7,2.0075421
17.8,2.067862
17.9,2.1822407
18.0,1.8832499
18.1,1.9610982
18.2,1.5590293
18.3,1.6542591
18.4,1.6951102
18.5,1.6747802
18.6,2.1055734
18.7,1.9015062
18.8,1.5951858
18.9,1.3994495
19.0,1.7280042
19.1,1.6844027
19.2,1.672227
19.3,1.7938356
19.4,2.0238936
19.5,2.0116956
19.6,2.438287
19.7,2.1127462
19.8,1.7449186
19.9,1.8208112
20.0,2.172697
20.1,2.1172845
20.2,2.3071125
20.3,2.5837204
20.4,2.1602533
20.5,2.3452668
20.6,2.2443528
20.7,1.5383964
20.8,1.5961227
20.9,1.622054
21.0,1.6601137
21.1,1.9008962
21.2,1.9676428
21.3,2.8332474
21.4,2.7881305
21.5,2.190955
21.6,2.0256279
21.7,2.4852538
21.8,2.2154112
21.9,1.7269787
22.0,1.8685397
22.1,1.9580401
22.2,1.7518145
22.3,1.7570351
22.4,1.8120444
22.5,2.039214
22.6,1.7606174
22.7,2.0595164
22.8,2.08104
22.9,1.7383103
23.0,1.6985989
23.1,2.230403
23.2,2.2321858
23.3,2.0889614
23.4,1.860228
23.5,2.0672178
23.6,1.8753467
23.7,2.2216241
23.8,1.7006102
23.9,2.1212552
24.0,2.586887
24.1,2.5769167
24.2,2.5367749
24.3,2.123789
24.4,2.2155926
24.5,2.2239704
24.6,2.409709
24.7,2.0764558
24.8,2.5419688
24.9,3.192271
25.0,2.3007805
25.1,3.0348284
25.2,2.396968
25.3,2.351943
25.4,1.9869313
25.5,1.9426693
25.6,2.0222797
25.7,2.454962
25.8,2.333354
25.9,2.3437676
26.0,1.9076557
26.1,2.6925418
26.2,2.9141917
26.3,2.3899364
26.4,2.2323093
26.5,2.4492025
26.6,1.7559149
26.7,2.0528312
26.8,2.2980726
26.9,3.2953997
27.0,2.3513255
27.1,2.8842964
