time,rmsd
0.0,9.960803e-07
0.1,0.4779494
0.2,0.51752555
0.3,0.6692366
0.4,0.661765
0.5,0.51586825
0.6,0.36188164
0.7,0.6668113
0.8,0.58436686
0.9,0.50809383
1.0,0.545719
1.1,0.65946054
1.2,0.57295954
1.3,0.37771878
1.4,0.6752167
1.5,0.5934836
1.6,0.56775755
1.7,0.50327593
1.8,0.47763127
1.9,0.35467687
2.0,0.35338476
2.1,0.51137275
2.2,0.5354048
2.3,0.58537817
2.4,0.46754295
2.5,0.97969466
2.6,0.54513717
2.7,0.8043805
2.8,0.7940349
2.9,0.88537496
3.0,0.7619124
3.1,0.7908619
3.2,0.69597155
3.3,0.7041931
3.4,0.79877317
3.5,0.671139
3.6,0.3395856
3.7,0.67095196
3.8,0.54223007
3.9,0.3232551
4.0,0.39512536
4.1,0.8091427
4.2,0.4824835
4.3,0.47816807
4.4,0.4043243
4.5,0.50698036
4.6,0.4752573
4.7,0.4576488
4.8,0.50757134
4.9,0.78476846
5.0,0.8318061
5.1,0.64015794
5.2,0.9333113
5.3,0.29084143
5.4,0.5017899
5.5,0.4169139
5.6,0.47079068
5.7,0.47304943
5.8,0.40931463
5.9,0.58021736
6.0,0.6485659
6.1,0.594734
6.2,0.6061331
6.3,0.7199137
6.4,0.4473228
6.5,0.65253425
6.6,0.7315163
6.7,0.76294845
6.8,0.43128914
6.9,0.7088683
7.0,0.20775276
7.1,0.31400254
7.2,0.3510352
7.3,0.42940015
7.4,0.34251425
7.5,0.60586196
7.6,0.96957934
7.7,0.9070826
7.8,0.60465205
7.9,0.8792915
8.0,0.8253578
8.1,0.63761574
8.2,1.0193849
8.3,1.160237
8.4,1.0311693
8.5,1.0158117
8.6,0.5096359
8.7,1.1810614
8.8,1.2816157
8.9,1.1078141
9.0,0.7939359
9.1,0.8007589
9.2,0.98523873
9.3,1.1047387
9.4,0.76989055
9.5,0.48344776
9.6,1.0022815
9.7,0.974962
9.8,0.7851227
9.9,0.8656058
10.0,1.0556262
10.1,1.0164198
10.2,0.64849067
10.3,1.3982282
10.4,0.31500778
10.5,0.57655275
10.6,0.5531415
10.7,1.5314655
10.8,1.3725262
10.9,1.3440683
11.0,1.1569047
11.1,1.3861151
11.2,1.1653666
11.3,1.3579748
11.4,1.3855993
11.5,1.493446
11.6,1.3368664
11.7,1.2843416
11.8,1.1203481
11.9,1.3905667
12.0,1.5355625
12.1,0.9118106
12.2,1.1521146
12.3,0.95305157
12.4,1.1901659
12.5,1.6997819
12.6,1.0277618
12.7,1.4479771
12.8,1.2459804
12.9,1.2838962
13.0,1.0545217
13.1,1.4029202
13.2,1.5935225
13.3,1.2734313
13.4,1.3093032
13.5,1.2688726
13.6,1.4208801
13.7,1.6430572
13.8,1.0414853
13.9,1.0380458
14.0,1.4442167
14.1,1.1724032
14.2,1.4265984
14.3,1.5878512
14.4,1.165517
14.5,1.3339069
14.6,1.4325187
14.7,1.4113656
14.8,1.1967064
14.9,1.2059827
15.0,1.4247097
15.1,1.2619195
15.2,1.3144083
15.3,1.5009626
15.4,1.3972194
15.5,1.2622253
15.6,1.5300289
15.7,1.4391593
15.8,1.1976845
15.9,1.2857563
16.0,1.7958817
16.1,2.0383055
16.2,1.2415051
16.3,1.4974269
16.4,1.89242
16.5,2.0804443
16.6,2.6089168
16.7,2.0272965
16.8,2.1311274
16.9,2.115782
17.0,2.453694
17.1,2.421359
17.2,1.7122085
17.3,1.8218607
17.4,1.9866155
17.5,1.8052218
17.6,1.9024833
17.7,2.0787446
17.8,2.0838943
17.9,1.8118308
18.0,1.6279945
18.1,1.6831269
18.2,1.6800472
18.3,1.5010734
18.4,1.1467488
18.5,1.7571142
18.6,1.5668505
18.7,1.6530024
18.8,1.4660108
18.9,1.748922
19.0,1.5282433
19.1,1.6249797
19.2,1.3339661
19.3,1.6962209
19.4,1.3601655
19.5,1.7437646
19.6,1.7115165
19.7,1.5543337
19.8,2.1963067
19.9,2.3087995
20.0,1.8100843
20.1,1.9260054
20.2,1.8493904
20.3,1.3890896
20.4,2.1216683
20.5,1.9019759
20.6,2.1874056
20.7,1.2990507
20.8,1.0138624
20.9,2.018637
21.0,1.8496025
21.1,1.7638569
21.2,1.802297
21.3,1.3987412
21.4,1.3456842
21.5,1.2129107
21.6,1.4171445
21.7,1.7736706
21.8,2.0962017
21.9,1.2087718
22.0,1.4712791
22.1,1.5861317
22.2,2.1956358
22.3,1.9583787
22.4,2.1869864
22.5,2.3493323
22.6,2.2458217
22.7,2.110142
22.8,1.8819914
22.9,1.5988466
23.0,1.8242666
23.1,2.4474566
23.2,2.9489388
23.3,2.9982436
23.4,2.9790833
23.5,2.8747268
23.6,3.3896744
23.7,3.0594442
23.8,3.2554862
23.9,3.1385977
24.0,2.8614712
24.1,3.048429
24.2,2.3505085
24.3,2.724436
24.4,1.7462797
24.5,2.9538403
24.6,2.729553
24.7,3.0406024
24.8,1.523534
24.9,1.5200076
25.0,2.7273886
25.1,2.8692913
25.2,3.2919178
25.3,1.8380508
25.4,2.4481142
25.5,2.3279054
25.6,2.6293843
25.7,3.4063177
25.8,7.104473
25.9,13.612595
26.0,13.693449
26.1,13.40752
26.2,13.088404
26.3,12.141044
26.4,12.571834
26.5,13.04972
26.6,12.496405
26.7,27.083477
