time,rmsd
0.0,8.3317724e-07
0.1,0.8724564
0.2,0.98166984
0.3,0.9439627
0.4,0.9539159
0.5,1.0570958
0.6,0.8884367
0.7,0.98452693
0.8,0.8174322
0.9,1.1206601
1.0,0.9973269
1.1,0.836111
1.2,1.061695
1.3,0.8627485
1.4,0.9007911
1.5,0.86744577
1.6,0.8751139
1.7,1.018645
1.8,1.0517279
1.9,1.0995369
2.0,0.9131199
2.1,1.0325952
2.2,0.91927016
2.3,0.9472708
2.4,0.99580306
2.5,0.94179374
2.6,1.1983985
2.7,1.0876765
2.8,1.2652018
2.9,1.2553794
3.0,1.4502614
3.1,1.2307081
3.2,1.0367361
3.3,1.3754458
3.4,1.4465023
3.5,1.5951924
3.6,1.2702223
3.7,1.3337451
3.8,1.7073454
3.9,1.3476063
4.0,1.4686737
4.1,1.5986719
4.2,1.4382656
4.3,1.2424155
4.4,1.4500223
4.5,1.7350997
4.6,1.2095026
4.7,1.8785142
4.8,2.0773885
4.9,1.8889892
5.0,1.3632561
5.1,1.574302
5.2,1.924129
5.3,2.102762
5.4,1.8505614
5.5,2.2129745
5.6,1.959237
5.7,1.391859
5.8,1.5582011
5.9,1.7453995
6.0,1.7930102
6.1,2.3228009
6.2,2.190285
6.3,1.7622273
6.4,1.9239432
6.5,1.5711408
6.6,2.1050255
6.7,2.0000606
6.8,2.2353964
6.9,2.1334195
7.0,2.3143013
7.1,1.9842523
7.2,1.5532982
7.3,1.5094886
7.4,1.4228176
7.5,1.813888
7.6,2.2088046
7.7,2.6196053
7.8,2.146814
7.9,1.6163915
8.0,2.3865116
8.1,2.117946
8.2,2.7547266
8.3,2.1625292
8.4,1.9445188
8.5,1.7976068
8.6,1.9103653
8.7,1.7675493
8.8,1.802611
8.9,1.9803519
9.0,1.6033875
9.1,2.5438993
9.2,3.385432
9.3,2.9176245
9.4,2.6767957
9.5,3.0811822
9.6,2.2876356
9.7,3.847677
9.8,3.1214545
9.9,3.3908904
10.0,3.2542703
10.1,3.4878583
10.2,3.6139395
10.3,3.4775076
10.4,3.5803509
10.5,3.358209
10.6,4.4598303
10.7,4.8592033
10.8,3.9472253
10.9,4.196327
11.0,4.219087
11.1,4.047335
11.2,4.2552476
11.3,3.570874
11.4,4.1508474
11.5,4.295943
11.6,4.8033395
11.7,5.3118887
11.8,4.7433095
11.9,4.521199
12.0,4.500785
12.1,3.8332305
12.2,3.9008734
12.3,4.258016
12.4,4.8183694
12.5,3.7842317
12.6,5.0437512
12.7,4.278344
12.8,3.5424285
12.9,4.0521507
13.0,4.237819
13.1,3.8274407
13.2,3.6294835
13.3,3.8716424
13.4,3.763453
13.5,4.2771897
13.6,3.9568648
13.7,3.904733
13.8,4.552374
13.9,4.4778056
14.0,4.3908515
14.1,3.748516
14.2,4.978661
14.3,5.342436
14.4,4.641683
14.5,4.240006
14.6,4.976268
14.7,4.496029
14.8,4.622016
14.9,4.310215
15.0,4.458223
15.1,4.7486415
15.2,4.6043777
15.3,4.285457
15.4,4.726085
15.5,4.5742927
15.6,4.095154
15.7,4.345592
15.8,4.2166324
15.9,4.1433983
16.0,4.70123
16.1,4.1087484
16.2,4.3345695
16.3,4.0945144
16.4,3.963377
16.5,4.2792115
16.6,4.1702876
16.7,4.9805374
16.8,4.6420007
16.9,3.9766135
17.0,4.5414257
17.1,4.315763
17.2,4.9082537
17.3,4.4396353
17.4,4.489063
17.5,3.9040756
17.6,3.13657
17.7,4.5243955
17.8,4.242745
17.9,4.4194827
18.0,4.5514855
18.1,4.0572047
18.2,4.4028716
18.3,4.4884105
18.4,4.81797
18.5,4.357403
18.6,4.2861886
18.7,4.264256
18.8,4.458192
18.9,4.109602
19.0,3.7796404
19.1,3.9765913
19.2,4.4654927
19.3,3.9092536
19.4,4.153109
19.5,4.475387
19.6,3.9309497
19.7,3.841918
19.8,4.1709642
19.9,4.056866
20.0,4.208858
20.1,4.261775
20.2,4.0646696
20.3,3.947237
20.4,4.2949877
20.5,4.662471
20.6,4.716154
20.7,4.470269
20.8,4.430346
20.9,4.953471
21.0,3.8984103
21.1,4.647261
21.2,5.2343497
21.3,4.6853004
21.4,4.441834
21.5,4.708871
21.6,4.641764
21.7,4.3264337
21.8,3.8390324
21.9,4.361801
22.0,4.140495
22.1,4.09931
22.2,4.2142177
22.3,4.59282
22.4,4.7041745
22.5,3.5742805
22.6,4.145899
22.7,4.2759814
22.8,4.37308
22.9,3.9437363
23.0,3.8711185
23.1,3.910893
23.2,4.228089
23.3,4.4170413
23.4,4.64651
23.5,4.047835
23.6,4.2754707
23.7,4.288853
23.8,4.1230545
23.9,5.2294903
24.0,4.858939
24.1,4.7934318
24.2,4.538578
24.3,4.210982
24.4,4.3525147
24.5,4.7349586
24.6,4.7022505
24.7,4.930362
24.8,4.9983435
24.9,4.478777
25.0,4.5169597
25.1,4.4040766
25.2,4.7595334
25.3,4.2559056
25.4,4.8526344
25.5,4.246725
25.6,4.418543
25.7,4.4314165
25.8,4.798339
25.9,4.543687
26.0,4.1317306
26.1,4.029627
26.2,4.4443808
26.3,4.5619793
26.4,4.7817097
26.5,5.2638526
26.6,3.8274086
26.7,4.4745812
26.8,4.418553
26.9,4.6804833
27.0,4.278873
27.1,4.69641
27.2,5.2285995
27.3,5.2939734
27.4,5.0502653
27.5,5.3299828
27.6,4.390707
27.7,5.2061934
27.8,4.86127
27.9,3.8478377
28.0,4.3908987
28.1,4.7912245
28.2,4.407537
28.3,5.0637217
28.4,4.6289744
28.5,3.5649664
28.6,3.915556
28.7,4.1273203
28.8,4.3914704
28.9,4.4317245
29.0,4.22032
29.1,4.3994045
29.2,3.9505122
29.3,3.9914804
29.4,4.3856893
29.5,3.581164
29.6,3.715836
29.7,4.4553003
29.8,4.372202
29.9,4.008411
30.0,3.760507
30.1,3.9383764
30.2,4.405641
30.3,3.622263
30.4,3.9654033
30.5,3.7842236
30.6,4.3130236
30.7,4.407884
30.8,4.1667843
30.9,3.9887779
31.0,4.6345634
31.1,4.417804
31.2,4.6994057
31.3,4.6623764
31.4,3.9287262
31.5,4.0089664
31.6,4.7375193
31.7,4.1891346
31.8,3.9612157
31.9,4.256581
32.0,4.158867
32.1,3.7613897
32.2,3.8860543
32.3,4.171998
32.4,3.5912783
32.5,3.900737
32.6,4.698227
32.7,4.3103614
32.8,4.2936025
32.9,3.7409573
