time,rmsd
0.0,1.094284e-06
0.1,1.24743
0.2,1.2436165
0.3,1.099598
0.4,0.9514069
0.5,1.1954846
0.6,1.3867078
0.7,1.2197758
0.8,1.2461511
0.9,1.4396207
1.0,2.2302616
1.1,1.6413825
1.2,1.1697506
1.3,1.0406753
1.4,1.0815942
1.5,0.8095629
1.6,1.2672993
1.7,1.2552278
1.8,1.241469
1.9,1.9219882
2.0,1.3250535
2.1,1.6018353
2.2,2.145041
2.3,1.8338987
2.4,1.6207211
2.5,1.9193729
2.6,2.1066818
2.7,1.6200618
2.8,1.459626
2.9,2.555023
3.0,1.9370892
3.1,2.4230227
3.2,2.0779736
3.3,2.3570764
3.4,2.1959717
3.5,2.049829
3.6,2.056723
3.7,1.7420887
3.8,2.048523
3.9,2.2464786
4.0,2.1394176
4.1,1.8039778
4.2,1.9682424
4.3,2.1419702
4.4,1.7332484
4.5,2.3795972
4.6,2.094761
4.7,1.8172143
4.8,2.144629
4.9,2.1836224
5.0,2.537529
5.1,2.6196969
5.2,2.4500258
5.3,2.4077086
5.4,2.3824458
5.5,2.048049
5.6,1.4657977
5.7,2.0857818
5.8,1.8293843
5.9,1.6251037
6.0,2.2149894
6.1,2.3965278
6.2,2.6843262
6.3,2.27576
6.4,2.7833483
6.5,3.0109477
6.6,2.3109856
6.7,2.0165317
6.8,2.9498098
6.9,2.5482473
7.0,2.5569994
7.1,2.7751532
7.2,2.1192906
7.3,2.4196908
7.4,2.6327178
7.5,2.0026622
7.6,2.2057788
7.7,2.8401847
7.8,2.504033
7.9,2.077317
8.0,2.3293047
8.1,2.3749392
8.2,2.1536174
8.3,2.5324078
8.4,2.0657973
8.5,2.2272005
8.6,1.5619397
8.7,2.1426857
8.8,2.3796463
8.9,2.8559477
9.0,2.3503397
9.1,2.576933
9.2,2.6781373
9.3,2.5692937
9.4,2.9365869
9.5,2.1754184
9.6,2.4196482
9.7,2.9858136
9.8,2.290174
9.9,2.4247417
10.0,1.7531365
10.1,2.3874164
10.2,2.5473976
10.3,2.6163719
10.4,3.1189344
10.5,2.6023154
10.6,2.5741634
10.7,2.369671
10.8,2.6032805
10.9,2.8467622
11.0,2.5432506
11.1,2.2267046
11.2,1.801763
11.3,2.5223198
11.4,1.7999147
11.5,2.5636034
11.6,2.0495474
11.7,1.9331443
11.8,2.0994537
11.9,2.5535202
12.0,2.9771461
12.1,2.0897453
12.2,2.298729
12.3,2.9958978
12.4,2.1186163
12.5,2.1975088
12.6,2.5580816
12.7,2.3363476
12.8,2.234635
12.9,2.2780833
13.0,2.1024926
13.1,1.9575225
13.2,1.8650768
13.3,2.2426379
13.4,2.2319596
13.5,3.0937214
13.6,2.3901868
13.7,2.0455644
13.8,2.2204633
13.9,2.859549
14.0,2.1694212
14.1,2.4213219
14.2,3.3420467
14.3,2.673739
14.4,3.0430906
14.5,2.7019978
14.6,2.8098938
14.7,2.660795
14.8,2.8028173
14.9,2.8689811
15.0,2.6511524
15.1,2.5242784
15.2,2.5785944
15.3,2.1294744
15.4,3.0309153
15.5,2.7483613
15.6,2.0452864
15.7,2.6239986
15.8,2.145003
15.9,2.3486931
16.0,2.741088
16.1,2.6155396
16.2,2.7928874
16.3,2.3680263
16.4,2.783594
16.5,2.4415772
16.6,2.3049333
16.7,2.1027968
16.8,3.087328
16.9,2.3499234
17.0,2.949955
17.1,2.2265575
17.2,2.615892
17.3,2.966162
17.4,1.5631343
17.5,2.6052675
17.6,2.2950134
17.7,3.0741827
17.8,2.4320111
17.9,2.1995149
18.0,2.6312425
18.1,2.6692996
18.2,2.7233284
18.3,2.8965826
18.4,3.1553607
18.5,3.03653
18.6,2.6768277
18.7,2.5119622
18.8,2.7020383
18.9,2.4563622
19.0,2.4539843
19.1,2.5350933
19.2,2.791374
19.3,2.4929392
19.4,2.703646
19.5,3.3088403
19.6,3.0000246
19.7,3.0402434
19.8,2.3995357
19.9,2.8557699
20.0,2.6202652
20.1,2.0257835
20.2,2.9024556
20.3,3.1535954
20.4,3.0430067
20.5,2.531463
20.6,2.5988212
20.7,2.4167597
20.8,2.3386796
20.9,2.1782975
21.0,3.129446
21.1,2.0130992
21.2,2.2353024
21.3,2.9248853
21.4,2.2313886
21.5,2.891524
21.6,3.0778384
21.7,3.0204337
21.8,2.5203161
21.9,3.1143239
