time,rmsd
0.0,1.4689042e-06
0.1,0.9064587
0.2,1.3195317
0.3,1.0485137
0.4,1.0154738
0.5,0.8343083
0.6,0.9048805
0.7,0.882484
0.8,0.8378631
0.9,0.99111277
1.0,1.1386254
1.1,1.1702743
1.2,1.1333284
1.3,1.0163711
1.4,1.1082319
1.5,1.1745965
1.6,0.9193447
1.7,1.7984412
1.8,1.3169386
1.9,1.0763024
2.0,1.2021585
2.1,1.1350302
2.2,1.3540193
2.3,1.386851
2.4,1.2324302
2.5,1.1355163
2.6,1.2000304
2.7,1.033975
2.8,1.353601
2.9,1.1337676
3.0,1.2184161
3.1,1.0402322
3.2,1.2577287
3.3,1.3881264
3.4,1.3871745
3.5,1.3224294
3.6,1.1747923
3.7,1.1186452
3.8,1.3116009
3.9,1.1523478
4.0,1.4078368
4.1,1.428244
4.2,1.2825018
4.3,1.8272495
4.4,1.7851547
4.5,2.139912
4.6,1.7629659
4.7,1.7498301
4.8,1.8152968
4.9,2.1195707
5.0,1.6502368
5.1,1.5391389
5.2,1.865821
5.3,2.1378372
5.4,2.350402
5.5,3.6051824
5.6,2.445437
5.7,2.6660254
5.8,2.5875115
5.9,2.85339
6.0,2.6392653
6.1,2.9579332
6.2,2.7437131
6.3,2.836516
6.4,2.6590865
6.5,2.9230983
6.6,3.4960752
6.7,3.2161345
6.8,2.6582615
6.9,3.1118422
7.0,3.1968167
7.1,4.1758084
7.2,4.7439413
7.3,5.126981
7.4,5.171906
7.5,4.944462
7.6,4.7845683
7.7,5.083305
7.8,5.271166
7.9,4.7664485
8.0,4.4145656
8.1,5.4916897
8.2,5.2313814
8.3,5.354664
8.4,6.737872
8.5,6.2293744
8.6,5.237029
8.7,5.258915
8.8,3.753134
8.9,4.5401826
9.0,6.0425515
9.1,5.7404175
9.2,7.1241074
9.3,6.0021763
9.4,6.7436495
9.5,6.5649776
9.6,6.8344007
9.7,7.540871
9.8,7.6484833
9.9,7.769504
10.0,8.684189
10.1,7.633072
10.2,8.253836
10.3,7.7681303
10.4,7.7068405
10.5,7.348322
10.6,7.668134
10.7,8.074274
10.8,8.644324
10.9,7.8200483
11.0,7.963317
11.1,7.8282804
11.2,7.876481
11.3,8.527134
11.4,7.925938
11.5,8.267379
11.6,8.103728
11.7,7.3261075
11.8,8.224314
11.9,8.155009
12.0,9.428281
12.1,9.771067
12.2,9.022817
12.3,8.890935
12.4,8.592817
12.5,9.2601595
12.6,8.822409
12.7,8.555226
12.8,8.447504
12.9,8.974658
13.0,8.690824
13.1,8.973996
13.2,8.889562
13.3,8.749256
13.4,8.960025
13.5,9.829501
13.6,9.72396
13.7,9.647111
13.8,9.995874
13.9,9.204092
14.0,9.059714
14.1,8.9611
14.2,8.495686
14.3,7.846095
14.4,8.417755
14.5,8.059804
14.6,7.962415
14.7,8.363505
14.8,7.9346557
14.9,8.069402
15.0,9.226146
15.1,7.7788157
15.2,8.544842
15.3,8.427787
15.4,8.348662
15.5,8.663263
15.6,8.536404
15.7,8.712641
15.8,8.961439
15.9,8.944756
16.0,8.73158
16.1,9.368047
16.2,8.839895
16.3,9.029637
16.4,9.285009
16.5,8.383208
16.6,9.013057
16.7,8.846472
16.8,8.699427
16.9,8.464035
17.0,7.802925
17.1,8.73056
17.2,8.963536
17.3,9.289086
17.4,9.255535
17.5,8.797058
17.6,8.618246
17.7,8.17859
17.8,8.82177
17.9,7.818087
18.0,8.553483
18.1,8.45797
18.2,8.275821
18.3,8.265314
18.4,8.347352
18.5,9.370362
18.6,9.208113
18.7,9.035027
18.8,8.780556
18.9,9.223526
19.0,9.648728
19.1,8.722669
19.2,9.094352
19.3,9.31112
19.4,8.778905
19.5,8.308975
19.6,8.686606
19.7,8.879217
19.8,9.08772
19.9,8.323214
20.0,8.39686
20.1,8.386408
20.2,9.224929
20.3,9.0433035
